source_id,target_id,relationship
BSDRHeadquartersAddress,BSDR LLC headquarters address,rdf-schema#label
DTCCDataRepositoryHeadquartersAddress,,rdf-schema#isDefinedBy
DTCCDataRepositoryHeadquartersAddress,headquarters address for DTCC Data Repository (U.S) LLC,core#definition
L-549300H9ZM7RDBM87W85-LEI,DTCC Data Repository (U.S) LLC legal entity identifier,rdf-schema#label
BSDRBusinessEntityIdentifier,DelawareBusinessEntitiesRegistry,isRegisteredIn
ICETradeVaultLLC-US-DE,ICETradeVaultLLCBusinessEntityIdentifier,isIdentifiedBy
ChicagoMercantileExchangeHeadquartersAddress,UnitedStatesOfAmerica,hasCountry
DTCCDataRepositoryLLC-US-NY,ddr-us,rdf-schema#seeAlso
ICETradeVaultLLCHeadquartersAddress,30328,hasPostalCode
L-549300KE78SX8RVDNO58-LEI,549300KE78SX8RVDNO58,hasTag
ICETradeVaultLLC-US-DE,,rdf-schema#isDefinedBy
BSDRDateEstablished,date that BSDR LLC was established,core#definition
ChicagoMercantileExchangeInc-US-DE,ChicagoMercantileExchangeDateEstablished,hasDateEstablished
BSDRLLC-US-DE,BSDRHeadquartersAddress,hasHeadquartersAddress
DTCCDataRepositoryDateEstablished,Date,22-rdf-syntax-ns#type
ICETradeVaultLLC-US-DE,"ICE Trade Vault, LLC",hasLegalName
BloombergSDR,,rdf-schema#isDefinedBy
ChicagoMercantileExchangeHeadquartersAddress,headquarters address for Chicago Mercantile Exchange (CME),core#definition
ICETradeVaultLLCBusinessEntityIdentifier,DelawareCorporationsRegulator,isRegisteredBy
ICETradeVaultLLCDateEstablished,,rdf-schema#isDefinedBy
,"Copyright (c) 2018-2024 Object Management Group, Inc.",copyright
DTCCDataRepository,,rdf-schema#isDefinedBy
BSDRLLC-US-DE,PrivateCompanyWithLimitedLiability,22-rdf-syntax-ns#type
,SwapsIndividuals.rdf version of this ontology was revised to move designated contract market to the markets ontology in FBC.,core#changeNote
BloombergSDR,Bloomberg SDR,rdf-schema#label
BSDRBusinessEntityIdentifier,Delaware Division of Corporations business entity identifier for BSDR LLC,core#definition
