id,type,name
headquarters address for BSDR LLC,Entity,headquarters address for BSDR LLC
549300KE78SX8RVDNO58,Entity,549300KE78SX8RVDNO58
ddr-us,Entity,ddr-us
IntercontinentalExchange,Entity,IntercontinentalExchange
L-5493006SPIZKPPCPBB70-LEI,Entity,L-5493006SPIZKPPCPBB70-LEI
New York State Division of Corporations business entity identifier for DTCC Data Repository (U.S.) LLC,Entity,New York State Division of Corporations business entity identifier for DTCC Data Repository (U.S.) LLC
Illinois,Entity,Illinois
2012-08-22,Entity,2012-08-22
UnitedStatesOfAmerica,Entity,UnitedStatesOfAmerica
date that DTCC Data Repository (U.S) LLC was established,Entity,date that DTCC Data Repository (U.S) LLC was established
Bloomberg SDR,Entity,Bloomberg SDR
30328,Entity,30328
BSDR,Entity,BSDR
owl#NamedIndividual,Entity,owl#NamedIndividual
L-SNZ2OJLFK8MNNCLQOF39-LEI,Entity,L-SNZ2OJLFK8MNNCLQOF39-LEI
"business entity identifier for ICE Trade Vault, LLC",Entity,"business entity identifier for ICE Trade Vault, LLC"
LegalEntityIdentifier,Entity,LegalEntityIdentifier
ICETradeVaultLLCDateEstablished,Entity,ICETradeVaultLLCDateEstablished
BSDR LLC,Entity,BSDR LLC
BSDR date established,Entity,BSDR date established
PhysicalAddress,Entity,PhysicalAddress
date that BSDR LLC was established,Entity,date that BSDR LLC was established
BSDR LLC legal entity identifier,Entity,BSDR LLC legal entity identifier
4156912,Entity,4156912
Chicago Mercantile Exchange (CME) date established,Entity,Chicago Mercantile Exchange (CME) date established
MIT,Entity,MIT
Georgia,Entity,Georgia
headquarters address for Chicago Mercantile Exchange (CME),Entity,headquarters address for Chicago Mercantile Exchange (CME)
"ICE Trade Vault, LLC US-DE",Entity,"ICE Trade Vault, LLC US-DE"
DTCCDataRepository,Entity,DTCCDataRepository
SelfRegulatingOrganization,Entity,SelfRegulatingOrganization
"Copyright (c) 2018-2024 EDM Council, Inc.",Entity,"Copyright (c) 2018-2024 EDM Council, Inc."
DTCCDataRepositoryHeadquartersAddress,Entity,DTCCDataRepositoryHeadquartersAddress
ICETradeVaultLLCHeadquartersAddress,Entity,ICETradeVaultLLCHeadquartersAddress
RegistrationIdentifier,Entity,RegistrationIdentifier
