id,type,name
realized variable leg,Entity,realized variable leg
Nf296cdc7cc204e088960899c2e39c68e,Entity,Nf296cdc7cc204e088960899c2e39c68e
swap terms,Entity,swap terms
or back office processes,Entity,or back office processes
"In most cases, a swap has two legs, one expressing the obligations of the seller and one expressing the obligations of the buyer. However, it is possible to represent more complex swaps, with one, three or more legs. The legs can be almost anything but usually one leg involves cash flows based on a notional principal amount that both parties agree to.",Entity,"In most cases, a swap has two legs, one expressing the obligations of the seller and one expressing the obligations of the buyer. However, it is possible to represent more complex swaps, with one, three or more legs. The legs can be almost anything but usually one leg involves cash flows based on a notional principal amount that both parties agree to."
swap leg event,Entity,swap leg event
"Payments may be fixed or variable, which is independent from the function of the leg (payments, return etc.). The schedule may be expressed in one of two ways: as an explicit schedule of dates or as a formula for determining payment dates in advance (taking into account for example roll rules for non working days).",Entity,"Payments may be fixed or variable, which is independent from the function of the leg (payments, return etc.). The schedule may be expressed in one of two ways: as an explicit schedule of dates or as a formula for determining payment dates in advance (taking into account for example roll rules for non working days)."
is leg of,Entity,is leg of
 version of this ontology was modified to eliminate duplication of concepts in LCC.,Entity, version of this ontology was modified to eliminate duplication of concepts in LCC.
exchanges,Entity,exchanges
2,Entity,2
has return leg,Entity,has return leg
has funding leg,Entity,has funding leg
CreditDerivative,Entity,CreditDerivative
party to a swap and therefore a legal party to the contract that embodies that transaction,Entity,party to a swap and therefore a legal party to the contract that embodies that transaction
DispersionSwap,Entity,DispersionSwap
Nb355d7330845489fbb816fb866381f05,Entity,Nb355d7330845489fbb816fb866381f05
indicates the leg of a return swap whose payments are based on the return of an underlying asset,Entity,indicates the leg of a return swap whose payments are based on the return of an underlying asset
SD,Entity,SD
total return leg,Entity,total return leg
N80dfede7727040728f18ae53aa76b4d7,Entity,N80dfede7727040728f18ae53aa76b4d7
Na04b2db3df794ff1a62d8d417dddcea6,Entity,Na04b2db3df794ff1a62d8d417dddcea6
owl#Restriction,Entity,owl#Restriction
ReturnLeg,Entity,ReturnLeg
"For some swaps this may be a commitment to net up the difference between a strike and an outcome, rather than to make a series of cashflows over time. For credit default swaps there are conditional commitments, contingent on the occurrence of a credit event.",Entity,"For some swaps this may be a commitment to net up the difference between a strike and an outcome, rather than to make a series of cashflows over time. For credit default swaps there are conditional commitments, contingent on the occurrence of a credit event."
swap paying party,Entity,swap paying party
" Listing in SEC, and move two properties, hasPayingParty and hasReceivingParty to DerivativesBasics to facilitate wider use.",Entity," Listing in SEC, and move two properties, hasPayingParty and hasReceivingParty to DerivativesBasics to facilitate wider use."
"Swap data repositories ('SDRs') are new entities created by the Dodd-Frank Wall Street Reform and Consumer Protection Act ('Dodd-Frank Act') in order to provide a central facility for swap data reporting and recordkeeping. Under the Dodd- Frank Act, all swaps, whether cleared or uncleared, are required to be reported to registered SDRs. The Dodd-Frank Act added new Section 21 to the Commodity Exchange Act ('CEA'), governing registration and regulation of SDRs and establishing registration requirements and core duties and responsibilities for SDRs.",Entity,"Swap data repositories ('SDRs') are new entities created by the Dodd-Frank Wall Street Reform and Consumer Protection Act ('Dodd-Frank Act') in order to provide a central facility for swap data reporting and recordkeeping. Under the Dodd- Frank Act, all swaps, whether cleared or uncleared, are required to be reported to registered SDRs. The Dodd-Frank Act added new Section 21 to the Commodity Exchange Act ('CEA'), governing registration and regulation of SDRs and establishing registration requirements and core duties and responsibilities for SDRs."
N63f258bf4fd6429fa9600d57f793f987,Entity,N63f258bf4fd6429fa9600d57f793f987
hasBuyer,Entity,hasBuyer
TransactionConfirmation,Entity,TransactionConfirmation
SwapPayingParty,Entity,SwapPayingParty
"Usually, the principal does not change hands. Each cash flow comprises one leg of the swap. One cash flow is generally fixed, while the other is variable, that is, based on a a benchmark interest rate, floating currency exchange rate or index price.",Entity,"Usually, the principal does not change hands. Each cash flow comprises one leg of the swap. One cash flow is generally fixed, while the other is variable, that is, based on a a benchmark interest rate, floating currency exchange rate or index price."
IndexReturnSwap,Entity,IndexReturnSwap
Na00056ca704e4e419d93d262385e5fc3,Entity,Na00056ca704e4e419d93d262385e5fc3
swap confirmation,Entity,swap confirmation
"A three-leg financial swap is a more complex type of swap agreement where three different payment streams (or 'legs') are involved, as opposed to the traditional two-leg swaps (like fixed-for-floating interest rate swaps). This structure can be useful for sophisticated risk management or hedging strategies, particularly when exposure to multiple interest rates or currencies is desired.",Entity,"A three-leg financial swap is a more complex type of swap agreement where three different payment streams (or 'legs') are involved, as opposed to the traditional two-leg swaps (like fixed-for-floating interest rate swaps). This structure can be useful for sophisticated risk management or hedging strategies, particularly when exposure to multiple interest rates or currencies is desired."
1,Entity,1
over-the-counter statistical derivative that allows one to hedge risks associated with the observed average correlation of a collection of underlying products,Entity,over-the-counter statistical derivative that allows one to hedge risks associated with the observed average correlation of a collection of underlying products
N0245221bd5754800963acddbc080d68b,Entity,N0245221bd5754800963acddbc080d68b
"return leg based on the income generated by the underlying asset as well as any appreciation, decrease in value, capital gains, and fees on any increase in value",Entity,"return leg based on the income generated by the underlying asset as well as any appreciation, decrease in value, capital gains, and fees on any increase in value"
isPlayedBy,Entity,isPlayedBy
hasPartyRole,Entity,hasPartyRole
BasisSwap,Entity,BasisSwap
N7c1813c075434e92b3c34eb50b24a5f1,Entity,N7c1813c075434e92b3c34eb50b24a5f1
hasPaymentSchedule,Entity,hasPaymentSchedule
Ne0d0f9b8356c43cb8ed0c5b59261a7bd,Entity,Ne0d0f9b8356c43cb8ed0c5b59261a7bd
N95596848ed024ebf9fcca51d1b39ef2b,Entity,N95596848ed024ebf9fcca51d1b39ef2b
swap that depends on some statistical measure of the performance of the underlier,Entity,swap that depends on some statistical measure of the performance of the underlier
SwapParty,Entity,SwapParty
MajorSwapParticipant,Entity,MajorSwapParticipant
Ne8779d3712fa4efea35552e46f0db30b,Entity,Ne8779d3712fa4efea35552e46f0db30b
SDR,Entity,SDR
identifier that uniquely identifies a specific event in the lifecycle of a swap,Entity,identifier that uniquely identifies a specific event in the lifecycle of a swap
 version of this ontology was modified to move swap execution facility to the markets ontology in FBC.,Entity, version of this ontology was modified to move swap execution facility to the markets ontology in FBC.
"A basis swap can have two legs of the same tenor but different indices, e.g., 3 month LIBOR vs. 3 month TIBOR. The difference in this case is not driven by different interest rate periods but from different markets, i.e., the difference in efficiency between the two markets. The objective is to hedge against basis risk which is the difference in price between two markets. See also forward swap, as a means for controlling interest rate.",Entity,"A basis swap can have two legs of the same tenor but different indices, e.g., 3 month LIBOR vs. 3 month TIBOR. The difference in this case is not driven by different interest rate periods but from different markets, i.e., the difference in efficiency between the two markets. The objective is to hedge against basis risk which is the difference in price between two markets. See also forward swap, as a means for controlling interest rate."
"return leg based strictly on the income generated by the underlying asset, excluding appreciation, decrease in value, capital gains, and fees on any increase in value",Entity,"return leg based strictly on the income generated by the underlying asset, excluding appreciation, decrease in value, capital gains, and fees on any increase in value"
hasNotionalAmount,Entity,hasNotionalAmount
index return swap,Entity,index return swap
variance leg,Entity,variance leg
swap dealer,Entity,swap dealer
"In a total return swap that is index-based, the change in the level of the index will be equal to the returns generated by the change in price of each of the contracts that comprise the index plus a return based upon interest earned on any cash collateral posted upon the purchase of the contracts comprising the index.",Entity,"In a total return swap that is index-based, the change in the level of the index will be equal to the returns generated by the change in price of each of the contracts that comprise the index plus a return based upon interest earned on any cash collateral posted upon the purchase of the contracts comprising the index."
MIT,Entity,MIT
Nfda5bf28b2b148a48414b11a456cd5c0,Entity,Nfda5bf28b2b148a48414b11a456cd5c0
dispersion leg,Entity,dispersion leg
simple return leg,Entity,simple return leg
N9974b87702c54bdb9ae15e43df7320a6,Entity,N9974b87702c54bdb9ae15e43df7320a6
"Swaps.rdf version of the ontology was modified to clarify the definition of swap and swap leg, and better integrate the related details (DER-113).",Entity,"Swaps.rdf version of the ontology was modified to clarify the definition of swap and swap leg, and better integrate the related details (DER-113)."
total return swap,Entity,total return swap
PaymentSchedule,Entity,PaymentSchedule
"swap lifecycle event, such as a payment or rate reset event, that applies to one leg of a swap",Entity,"swap lifecycle event, such as a payment or rate reset event, that applies to one leg of a swap"
N9ac058dd68e1402eba4b409c0f284659,Entity,N9ac058dd68e1402eba4b409c0f284659
"The fixed amount may be with respect to some variable or a monetary amount. The realization of a strike leg is not a cashflow per se, but a netting out against the terms defined in the other leg of a statistical swap.",Entity,"The fixed amount may be with respect to some variable or a monetary amount. The realization of a strike leg is not a cashflow per se, but a netting out against the terms defined in the other leg of a statistical swap."
"Copyright (c) 2016-2024 EDM Council, Inc.",Entity,"Copyright (c) 2016-2024 EDM Council, Inc."
N9d08d5b53a10469e8248f873f7518910,Entity,N9d08d5b53a10469e8248f873f7518910
return swap,Entity,return swap
RealizedVariableLeg,Entity,RealizedVariableLeg
Swaps Ontology,Entity,Swaps Ontology
ExcessReturnSwap,Entity,ExcessReturnSwap
fixed payment stream terms,Entity,fixed payment stream terms
N86cafb94153c4f4db172734e2655c952,Entity,N86cafb94153c4f4db172734e2655c952
