id,type,name
Nordea Bank AB,Entity,Nordea Bank AB
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
Deutsche Bank,Entity,Deutsche Bank
"The 'all' ontology for the North American Extension of FBC is provided for convenience for FIBO users. This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE) and Financial Business and Commerce (FBC) Version 2.0 domains, including all of FND but excluding individuals for European governments and jurisdictions, financial services and regulatory organizations and related registries, as well as the related LCC region-specific ontologies.",Entity,"The 'all' ontology for the North American Extension of FBC is provided for convenience for FIBO users. This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE) and Financial Business and Commerce (FBC) Version 2.0 domains, including all of FND but excluding individuals for European governments and jurisdictions, financial services and regulatory organizations and related registries, as well as the related LCC region-specific ontologies."
agnos.ai UK Ltd.,Entity,agnos.ai UK Ltd.
Exprentis,Entity,Exprentis
Thematix Partners LLC,Entity,Thematix Partners LLC
Statistics Canada,Entity,Statistics Canada
Citigroup,Entity,Citigroup
Federated Knowledge LLC,Entity,Federated Knowledge LLC
Wells Fargo,Entity,Wells Fargo
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
"EDMC Financial Industry Business Ontology (FIBO) Financial Business and Commerce (FBC) Domain, North American Extension",Entity,"EDMC Financial Industry Business Ontology (FIBO) Financial Business and Commerce (FBC) Domain, North American Extension"
,Entity,
"Pinnacle Bank (Morgan Hill, California)",Entity,"Pinnacle Bank (Morgan Hill, California)"
Quarule,Entity,Quarule
2015-08-13T18:00:00,Entity,2015-08-13T18:00:00
Office of Financial Research (US Dept of the Treasury),Entity,Office of Financial Research (US Dept of the Treasury)
"Capacity Post, Inc.",Entity,"Capacity Post, Inc."
"Adaptive, Inc.",Entity,"Adaptive, Inc."
Credit Suisse,Entity,Credit Suisse
owl#Ontology,Entity,owl#Ontology
2023-03-31T18:00:00,Entity,2023-03-31T18:00:00
State Street Bank and Trust,Entity,State Street Bank and Trust
John F. Gemski,Entity,John F. Gemski
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
University of Central Florida,Entity,University of Central Florida
 No Magic,Entity, No Magic
MIT,Entity,MIT
"The financial business and commerce domain covers business concepts that are common to common to a number of finance areas, such as loans, securities, and corporate actions, including products and services, financial intermediaries, registrars and regulators, and financial instruments and products.",Entity,"The financial business and commerce domain covers business concepts that are common to common to a number of finance areas, such as loans, securities, and corporate actions, including products and services, financial intermediaries, registrars and regulators, and financial instruments and products."
Bloomberg LP,Entity,Bloomberg LP
"Financial Business and Commerce Domain, North American Extension",Entity,"Financial Business and Commerce Domain, North American Extension"
