source_id,target_id,relationship
,Statistics Canada,contributor
,,owl#imports
,Exprentis,contributor
,Thematix Partners LLC,contributor
,Deutsche Bank,contributor
,MIT,license
,State Street Bank and Trust,contributor
,,rdf-schema#seeAlso
,agnos.ai UK Ltd.,contributor
,Bloomberg LP,contributor
,Quarule,contributor
,John F. Gemski,contributor
,"EDMC Financial Industry Business Ontology (FIBO) Financial Business and Commerce (FBC) Domain, North American Extension and Examples",title
,,owl#versionIRI
,Wells Fargo,contributor
,"The financial business and commerce domain covers business concepts that are common to common to a number of finance areas, such as loans, securities, and corporate actions, including products and services, financial intermediaries, registrars and regulators, and financial instruments and products.",abstract
,owl#Ontology,22-rdf-syntax-ns#type
,"Capacity Post, Inc.",contributor
,2023-01-30T18:00:00,modified
,Office of Financial Research (US Dept of the Treasury),contributor
, No Magic,contributor
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,Citigroup,contributor
,Federated Knowledge LLC,contributor
,"Adaptive, Inc.",contributor
,Nordea Bank AB,contributor
,"Financial Business and Commerce Domain, North American Extensions and Examples",rdf-schema#label
,Credit Suisse,contributor
,"Pinnacle Bank (Morgan Hill, California)",contributor
,2015-08-13T18:00:00,issued
,"The 'all' ontology for the North American Extension of FBC with Examples is provided for convenience for FIBO users. This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND) and Business Entities (BE) domains, including all of FND but excluding individuals for European government entities, jurisdictions, financial services entities, regulatory agencies, and the like, with the anticipation that additional examples will be added over time.",explanatoryNote
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
,Tahoe Blue Ltd,contributor
