source_id,target_id,relationship
,"The financial business and commerce domain covers business concepts that are common to common to a number of finance areas, such as loans, securities, and corporate actions, including products and services, financial intermediaries, registrars and regulators, and financial instruments and products. This extension includes all reference data from FND, BE, and FBC combined, rather than limiting that content to Europe and North America.",abstract
,Statistics Canada,contributor
,,owl#imports
,"Financial Business and Commerce Domain, Reference Individuals Extension",rdf-schema#label
,Exprentis,contributor
,Thematix Partners LLC,contributor
,Deutsche Bank,contributor
,MIT,license
,State Street Bank and Trust,contributor
,,rdf-schema#seeAlso
,agnos.ai UK Ltd.,contributor
,Bloomberg LP,contributor
,Quarule,contributor
,John F. Gemski,contributor
,,owl#versionIRI
,Wells Fargo,contributor
,owl#Ontology,22-rdf-syntax-ns#type
,2023-01-30T18:00:00,modified
,"Capacity Post, Inc.",contributor
,Citigroup,contributor
, No Magic,contributor
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,Office of Financial Research (US Dept of the Treasury),contributor
,Federated Knowledge LLC,contributor
,"Adaptive, Inc.",contributor
,Nordea Bank AB,contributor
,"The 'all' ontology for the Reference Individuals Extension of FBC is provided for convenience for FIBO users. This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE) and Financial Business and Commerce (FBC) domains, including all of FND, and all of BE excluding example individuals, as well as all of FBC excluding examples.",explanatoryNote
,Credit Suisse,contributor
,"EDMC Financial Industry Business Ontology (FIBO) Financial Business and Commerce (FBC) Domain, Reference Individuals Extension",title
,"Pinnacle Bank (Morgan Hill, California)",contributor
,2015-08-13T18:00:00,issued
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
,Tahoe Blue Ltd,contributor
