source_id,target_id,relationship
Mainz,owl#NamedIndividual,22-rdf-syntax-ns#type
Kingston,owl#NamedIndividual,22-rdf-syntax-ns#type
Valletta,the international business center of Valletta,description
MYLA,Labuan,identifies
Stockholm,the international business center of Stockholm,description
Shenzhen,Shenzhen,rdf-schema#label
BDDH,FpMLBusinessCenterCodeScheme,isMemberOf
Lilongwe,Lilongwe,rdf-schema#label
Seattle,UnitedStatesOfAmerica,isPartOf
Dodoma,Dodoma,rdf-schema#label
Jersey_City,owl#NamedIndividual,22-rdf-syntax-ns#type
Basseterre,Municipality,22-rdf-syntax-ns#type
TZDA,Dar_es_Salaam,identifies
CNBE,"the FpML business center code for Beijing, China",description
Freetown,the international business center of Freetown,description
MNUB,MNUB,rdf-schema#label
Munich,BusinessCenter,22-rdf-syntax-ns#type
ATVI,ATVI,rdf-schema#label
Basel,the international business center of Basel,description
CACL,FpMLBusinessCenterCodeScheme,isMemberOf
NLRO,NLRO,rdf-schema#label
Skopje,Skopje,rdf-schema#label
USWT,"the FpML business center code for Wichita, United States",description
IEDU,owl#NamedIndividual,22-rdf-syntax-ns#type
Manila,owl#NamedIndividual,22-rdf-syntax-ns#type
UGKA,FpMLBusinessCenterCodeScheme,isMemberOf
SGSI,BusinessCenterCode,22-rdf-syntax-ns#type
USGovernmentSecuritiesBusinessDay,the business day adjustment convention for U.S. Government Securities,description
Unterschleisshem,Municipality,22-rdf-syntax-ns#type
Almaty,the international business center of Almaty,description
Atlanta,UnitedStatesOfAmerica,isPartOf
CYNI,"the FpML business center code for Nicosia, Cyprus",description
Washington,owl#NamedIndividual,22-rdf-syntax-ns#type
GMBA,FpMLBusinessCenterCodeScheme,isMemberOf
USBO,USBO,hasTag
VNHC,VNHC,hasTag
Saint_Peter_Port,BusinessCenter,22-rdf-syntax-ns#type
USDT,USDT,hasTag
Palma_De_Mallorca,Spain,isPartOf
USWT,FpMLBusinessCenterCodeScheme,isMemberOf
MCMO,"the FpML business center code for Monaco, Monaco",description
Tripoli,Libya,isPartOf
HKHK,BusinessCenterCode,22-rdf-syntax-ns#type
Bologna,owl#NamedIndividual,22-rdf-syntax-ns#type
Lenexa,Lenexa,rdf-schema#label
MYKL,FpMLBusinessCenterCodeScheme,isMemberOf
Bishkek,Kyrgyzstan,isPartOf
Kiel,Municipality,22-rdf-syntax-ns#type
Hannover,the international business center of Hannover,description
Banja_Luka,owl#NamedIndividual,22-rdf-syntax-ns#type
SAAB,"the FpML business center code for Abha, Saudi Arabia",description
Douala,owl#NamedIndividual,22-rdf-syntax-ns#type
DEST,Stuttgart,identifies
AEAB,BusinessDayAdjustmentCode,22-rdf-syntax-ns#type
ECGU,owl#NamedIndividual,22-rdf-syntax-ns#type
USMN,owl#NamedIndividual,22-rdf-syntax-ns#type
Grindsted,Denmark,isPartOf
Skopje,NorthMacedonia,isPartOf
,,owl#versionIRI
, version of this ontology was modified to add municipalities required for the ISO revision to the MIC codes as of March 2022.,core#changeNote
Quito,Quito,rdf-schema#label
Taipei,the international business center of Taipei,description
Minneapolis,the international business center of Minneapolis,description
Jakarta,Jakarta,rdf-schema#label
Cordoba,Cordoba,rdf-schema#label
YEAD,"the FpML business center code for Aden, Yemen",description
JMKI,BusinessCenterCode,22-rdf-syntax-ns#type
DEST,FpMLBusinessCenterCodeScheme,isMemberOf
Hong_Kong,owl#NamedIndividual,22-rdf-syntax-ns#type
GGSP,GGSP,hasTag
Casablanca,Casablanca,rdf-schema#label
Bologna,Bologna,rdf-schema#label
KWKC,FpMLBusinessCenterCodeScheme,isMemberOf
AUBR,AUBR,hasTag
USHO,Houston,identifies
DELE,DELE,rdf-schema#label
PLWA,FpMLBusinessCenterCodeScheme,isMemberOf
Luanda,Luanda,rdf-schema#label
Bermuda,Bermuda,isPartOf
Brisbane,Brisbane,rdf-schema#label
Biella,owl#NamedIndividual,22-rdf-syntax-ns#type
Narberth,Municipality,22-rdf-syntax-ns#type
VGRT,owl#NamedIndividual,22-rdf-syntax-ns#type
Montreal,Montreal,rdf-schema#label
, version of this ontology was modified to add municipalities required for the ISO revision to the MIC codes as of September 2019.,core#changeNote
Jeddah,BusinessCenter,22-rdf-syntax-ns#type
San_Jose,BusinessCenter,22-rdf-syntax-ns#type
Manila,Manila,rdf-schema#label
