id,type,name
the international business center of Dodoma,Entity,the international business center of Dodoma
CaymanIslands,Entity,CaymanIslands
Hanoi,Entity,Hanoi
the international business center of Perth,Entity,the international business center of Perth
Sydney,Entity,Sydney
UnitedStatesOfAmerica,Entity,UnitedStatesOfAmerica
the international business center of San Salvador,Entity,the international business center of San Salvador
Gift_City,Entity,Gift_City
Bologna,Entity,Bologna
Uganda,Entity,Uganda
Tbilisi,Entity,Tbilisi
Curacao,Entity,Curacao
Fiac,Entity,Fiac
Bucharest,Entity,Bucharest
"the FpML business center code for San Salvador, El Salvador",Entity,"the FpML business center code for San Salvador, El Salvador"
Ghana,Entity,Ghana
KRSE,Entity,KRSE
Macau,Entity,Macau
"the FpML business center code for St. Helier, Channel Islands, Jersey",Entity,"the FpML business center code for St. Helier, Channel Islands, Jersey"
USCR,Entity,USCR
Bedminster,Entity,Bedminster
Ho_Chi_Minh_City,Entity,Ho_Chi_Minh_City
Port Vila,Entity,Port Vila
Mexico,Entity,Mexico
"the FpML business center code for Stockholm, Sweden",Entity,"the FpML business center code for Stockholm, Sweden"
the international business center of Vientiane,Entity,the international business center of Vientiane
"the FpML business center code for Winnipeg, Canada",Entity,"the FpML business center code for Winnipeg, Canada"
Tegucigalpa,Entity,Tegucigalpa
Saint Petersburg,Entity,Saint Petersburg
Georgia,Entity,Georgia
Labuan,Entity,Labuan
Finland,Entity,Finland
"BusinessCentersIndividuals.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",Entity,"BusinessCentersIndividuals.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate."
Montevideo,Entity,Montevideo
Lilongwe,Entity,Lilongwe
GETB,Entity,GETB
HongKong,Entity,HongKong
Teheran,Entity,Teheran
San_Pedro_Sula,Entity,San_Pedro_Sula
the FpML business center code for U.S. Government Securities Business Day (as defined in 2006 ISDA Definitions Section 1.11 and 2000 ISDA Definitions Section 1.11),Entity,the FpML business center code for U.S. Government Securities Business Day (as defined in 2006 ISDA Definitions Section 1.11 and 2000 ISDA Definitions Section 1.11)
Grindsted,Entity,Grindsted
"the FpML business center code for Taipei, Taiwan",Entity,"the FpML business center code for Taipei, Taiwan"
Serbia,Entity,Serbia
the international business center of Minneapolis,Entity,the international business center of Minneapolis
"the FpML business center code for Vientiane, Laos",Entity,"the FpML business center code for Vientiane, Laos"
PELI,Entity,PELI
VECA,Entity,VECA
Charlotte,Entity,Charlotte
"the FpML business center code for Mexico City, Mexico",Entity,"the FpML business center code for Mexico City, Mexico"
Bulgaria,Entity,Bulgaria
Bangalore,Entity,Bangalore
Ho Chi Minh (formerly Saigon),Entity,Ho Chi Minh (formerly Saigon)
Uruguay,Entity,Uruguay
"the FpML business center code for Mainz, Germany",Entity,"the FpML business center code for Mainz, Germany"
"the FpML business center code for Abuja, Nigeria",Entity,"the FpML business center code for Abuja, Nigeria"
"the FpML business center code for New York, United States",Entity,"the FpML business center code for New York, United States"
Cluj Napoca,Entity,Cluj Napoca
the international business center of Brasilia,Entity,the international business center of Brasilia
Tokyo,Entity,Tokyo
"the FpML business center code for Mumbai, India",Entity,"the FpML business center code for Mumbai, India"
"Copyright (c) 2020-2022 agnos.ai, UK Ltd.",Entity,"Copyright (c) 2020-2022 agnos.ai, UK Ltd."
"the FpML business center code for London, United Kingdom",Entity,"the FpML business center code for London, United Kingdom"
