source_id,target_id,relationship
StandardIndustrialClassificationCode,CodeElement,rdf-schema#subClassOf
hasEntityStatus,lei-cdf-format-version-2-1,adaptedFrom
N6c1790b2601b48f491106b60aa5cbe1a,XMLSchema#string,owl#onDataRange
hasPriorLegalName,wasFormerlyKnownAs,rdf-schema#subPropertyOf
EntityLegalFormRegistry,Registry,rdf-schema#subClassOf
FormalOrganization,Ne4c6ce401a68493185446c5ffa569598,rdf-schema#subClassOf
EntityValidationLevel,CodeElement,rdf-schema#subClassOf
hasValidationAuthority,"identifies the business registration authority for the legal entity, used by the Local Operating Unit (LOU) as the basis for validation, as defined in the GLEIF Registration Authorities List",core#definition
LegalEntityIdentifierRegistry,lei-cdf-format-version-2-1,adaptedFrom
PassportNumber,owl#Class,22-rdf-syntax-ns#type
N3493e4e80b284bcea3e98188dab4b5ac,hasRegistrationStatus,owl#onProperty
BusinessRegistry,Nd3cae07e926e4f219e4975fe0aed4d9d,rdf-schema#subClassOf
EntityExpirationReasonCorporateAction,owl#NamedIndividual,22-rdf-syntax-ns#type
hasTransliteratedLegalName,hasTransliteratedName,rdf-schema#subPropertyOf
Ndb41d8742592420eb04af15c05ca03c5,EntityLegalFormIdentifier,owl#someValuesFrom
InactiveStatus,"or operating, whether as a result of business closure, acquisition by or merger with another (or new) entity, or determination of illegitimacy",core#definition
hasRegistrationStatus,has registration status,rdf-schema#label
Nf4063e5455094713ac464c23c0da4760,FormalOrganization,owl#someValuesFrom
EntityLegalFormRegistry,iso-20275-entity-legal-forms-code-list,adaptedFrom
IssuedStatus,lei-cdf-format-version-2-1,adaptedFrom
hasRenewalDate,indicates the date by which a specific registration in the registry must be renewed or updated,core#definition
N3ca2488eae4d4d7594e397b77ed426f1,isClassifiedBy,owl#onProperty
NorthAmericanIndustryClassificationSystemScheme,owl#Class,22-rdf-syntax-ns#type
hasRenewalDate,owl#DatatypeProperty,22-rdf-syntax-ns#type
EntityValidationLevelFullyCorroborated,"Based on the validation procedures in use by the LOU responsible for the record, there is sufficient information contained in authoritative public sources to corroborate the information that the submitter has provided for the record.",core#definition
hasAutomaticallyTransliteratedLegalName,hasTransliteratedLegalName,rdf-schema#subPropertyOf
N04cd1882a7084c1e9a14f4491615f7b9,0,owl#minQualifiedCardinality
N3c31da74ca9745a4be03e06c7776a791,hasRegistryEntry,owl#onProperty
hasValidationAuthority,owl#ObjectProperty,22-rdf-syntax-ns#type
DuplicateStatus,duplicate status,rdf-schema#label
Nc3c75246bc704de8acc56945879737ae,hasEntityStatus,owl#onProperty
N1a3475808eb24c829cbc6c0cdfac2216,LegalEntityIdentifier,owl#someValuesFrom
Nd3cae07e926e4f219e4975fe0aed4d9d,hasRegistryName,owl#onProperty
Nc3c75246bc704de8acc56945879737ae,1,owl#maxQualifiedCardinality
hasValidationDate,hasRegistrationDate,rdf-schema#subPropertyOf
CancelledStatus,lei-cdf-format-version-2-1,adaptedFrom
PendingValidationStatus,pending validation status,rdf-schema#label
N6c1790b2601b48f491106b60aa5cbe1a,hasTag,owl#onProperty
,BusinessRegistries.rdf version of this ontology was modified per the issue resolutions identified in the FIBO FBC 1.1 RTF report.,core#changeNote
PendingTransferStatus,"status indicating that the registration has requested transfer to a different registration authority, and for which transfer is in progress",core#definition
N5327166d234f4dc2bdecf5babefb87f4,StandardIndustrialClassificationScheme,owl#onClass
isSelfMaintained,is self-maintained,rdf-schema#label
N3c31da74ca9745a4be03e06c7776a791,BusinessRegistryEntry,owl#someValuesFrom
hasAlternativeLanguageLegalName,denotes a registered legal name for the entity in an alternative language used in the legal jurisdiction in which the entity is registered,core#definition
hasEntityStatus,owl#ObjectProperty,22-rdf-syntax-ns#type
,"BusinessRegistries.rdf version of this ontology was modified to generalize certain unions where they were no longer required, use the composite date datatype where appropriate, add individuals for entity expiration reason and validation level to better align with the GLEIF LEI data, and move international registration authorities, such as SWIFT, to a separate ontology for better modularity.",core#changeNote
isSelfMaintained,bic?tl=en#BICPolicyandDatarecord,adaptedFrom
BusinessRegistrationAuthority,N328c966de30f4c709b0f108b5765111b,rdf-schema#subClassOf
hasAlternativeLanguageLegalName,owl#DatatypeProperty,22-rdf-syntax-ns#type
hasRenewalDate,bic?tl=en#BICPolicyandDatarecord,adaptedFrom
hasRegistrationStatus,RegistrationStatus,rdf-schema#range
hasValidationAuthority,lei-cdf-format-version-2-1,adaptedFrom
EntityStatus,lei-cdf-format-version-2-1,adaptedFrom
N03751a11ade849aa9031be8de27be48b,hasEntityExpirationReason,owl#onProperty
