id,type,name
EntityValidationLevel,Entity,EntityValidationLevel
entity expiration reason,Entity,entity expiration reason
indicates the level of validation performed by the registrar with respect to the legal entity,Entity,indicates the level of validation performed by the registrar with respect to the legal entity
MERGED,Entity,MERGED
"or operating, whether as a result of business closure, acquisition by or merger with another (or new) entity, or determination of illegitimacy",Entity,"or operating, whether as a result of business closure, acquisition by or merger with another (or new) entity, or determination of illegitimacy"
"status indicating that the registration is for an entity that has ceased operation, without having been merged into another entity",Entity,"status indicating that the registration is for an entity that has ceased operation, without having been merged into another entity"
CANCELLED,Entity,CANCELLED
issued status,Entity,issued status
CodeElement,Entity,CodeElement
"BusinessRegistries.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",Entity,"BusinessRegistries.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate."
N6c1790b2601b48f491106b60aa5cbe1a,Entity,N6c1790b2601b48f491106b60aa5cbe1a
LegalEntityIdentifierRegistryEntry,Entity,LegalEntityIdentifierRegistryEntry
"In some jurisdictions, there may be other possible values for entity status, such as suspended in the State of California, thus the individuals provided herein are not intended to be exhaustive.",Entity,"In some jurisdictions, there may be other possible values for entity status, such as suspended in the State of California, thus the individuals provided herein are not intended to be exhaustive."
Nef91e44ca27043de89b68335692133b5,Entity,Nef91e44ca27043de89b68335692133b5
N515c981bfac54f85b586d9657a38e21b,Entity,N515c981bfac54f85b586d9657a38e21b
hasValidationDate,Entity,hasValidationDate
hasExpiryDate,Entity,hasExpiryDate
Nd430535059574953aa072fe2cfd1a566,Entity,Nd430535059574953aa072fe2cfd1a566
BusinessRegistry,Entity,BusinessRegistry
hasValidationLevel,Entity,hasValidationLevel
BusinessRegistries.rdf version of this ontology was revised to eliminate circular and ambiguous definitions.,Entity,BusinessRegistries.rdf version of this ontology was revised to eliminate circular and ambiguous definitions.
or legal status of an entity,Entity,or legal status of an entity
INACTIVE,Entity,INACTIVE
transferred status,Entity,transferred status
N09b91a88ce744d73bb14b85330684073,Entity,N09b91a88ce744d73bb14b85330684073
hasTradingOrOperationalName,Entity,hasTradingOrOperationalName
expiration reason indicating that an entity ceased to operate,Entity,expiration reason indicating that an entity ceased to operate
ISSUED,Entity,ISSUED
isManagedBy,Entity,isManagedBy
owl#ObjectProperty,Entity,owl#ObjectProperty
N02c8da89d01445d98efdaf0290a9d3fd,Entity,N02c8da89d01445d98efdaf0290a9d3fd
has expiry date,Entity,has expiry date
ANNULLED,Entity,ANNULLED
BusinessRegisterIdentifier,Entity,BusinessRegisterIdentifier
has entity expiration reason,Entity,has entity expiration reason
"indicates the reason that an entity ceased to exist (i.e., disolved, merged with another entity, etc.)",Entity,"indicates the reason that an entity ceased to exist (i.e., disolved, merged with another entity, etc.)"
EntityValidationLevelEntitySuppliedOnly,Entity,EntityValidationLevelEntitySuppliedOnly
North American Industry Classification System scheme,Entity,North American Industry Classification System scheme
business registry,Entity,business registry
IssuedStatus,Entity,IssuedStatus
Release,Entity,Release
legal entity identifier registry,Entity,legal entity identifier registry
