id,type,name
2014-03-28T01:39:00,Entity,2014-03-28T01:39:00
Canada Revenue Agency registered charity program number registry,Entity,Canada Revenue Agency registered charity program number registry
ValueAddedTaxIdentificationNumber,Entity,ValueAddedTaxIdentificationNumber
BusinessRegistrationAuthority,Entity,BusinessRegistrationAuthority
N3a508cfc20a04edaab9491fdbbc197d8,Entity,N3a508cfc20a04edaab9491fdbbc197d8
"An organization may have more than one tax account through its subunits, this is handled through additional 4-digit subaccount numbers. This is used as both an account and an identifier for the registration.",Entity,"An organization may have more than one tax account through its subunits, this is handled through additional 4-digit subaccount numbers. This is used as both an account and an identifier for the registration."
CentralBank,Entity,CentralBank
CorporationIncomeTaxNumberRegistrationService,Entity,CorporationIncomeTaxNumberRegistrationService
Bank of Canada legal entity identifier,Entity,Bank of Canada legal entity identifier
"CARegulatoryAgencies.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",Entity,"CARegulatoryAgencies.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate."
Canadian Regulatory Agencies Ontology,Entity,Canadian Regulatory Agencies Ontology
registration identifier scheme for information return program numbers defined by the Canada Revenue Agency for the registration of a business or legal entity,Entity,registration identifier scheme for information return program numbers defined by the Canada Revenue Agency for the registration of a business or legal entity
BankOfCanadaHeadOfficeAddress,Entity,BankOfCanadaHeadOfficeAddress
PayrollDeductionsProgramNumberRegistry,Entity,PayrollDeductionsProgramNumberRegistry
Ncb4757dffc584248ba727b49f8f6c035,Entity,Ncb4757dffc584248ba727b49f8f6c035
Banque du Canada,Entity,Banque du Canada
business number,Entity,business number
Canada Revenue Agency corporation income tax number registry,Entity,Canada Revenue Agency corporation income tax number registry
"An organization may have more than one registered charity account through its subunits, this is handled through additional 4-digit subaccount numbers. This is used as both an account and an identifier for the registration.",Entity,"An organization may have more than one registered charity account through its subunits, this is handled through additional 4-digit subaccount numbers. This is used as both an account and an identifier for the registration."
Canada Revenue Agency payroll deductions program number registration service,Entity,Canada Revenue Agency payroll deductions program number registration service
head office address for the Canada Revenue Agency,Entity,head office address for the Canada Revenue Agency
owl#Restriction,Entity,owl#Restriction
Ne48ed171c5154f5e9b64754fbb29aa6a,Entity,Ne48ed171c5154f5e9b64754fbb29aa6a
This agency administers tax laws for the Canadian government and for several of the provinces and territories of Canada.,Entity,This agency administers tax laws for the Canadian government and for several of the provinces and territories of Canada.
head office address for the Bank of Canada,Entity,head office address for the Bank of Canada
Nb97755c92ff54a23aa1f7651722af052,Entity,Nb97755c92ff54a23aa1f7651722af052
CanadianBankingRegulatoryAgencyAndCentralBank,Entity,CanadianBankingRegulatoryAgencyAndCentralBank
register.html,Entity,register.html
GovernmentAgency,Entity,GovernmentAgency
owl#NamedIndividual,Entity,owl#NamedIndividual
RegisteredCharityProgramNumberRegistry,Entity,RegisteredCharityProgramNumberRegistry
CanadianJurisdiction,Entity,CanadianJurisdiction
dsplyBscSrch?request_locale=en,Entity,dsplyBscSrch?request_locale=en
CARegulatoryAgencies.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,CARegulatoryAgencies.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
000000000RT0001,Entity,000000000RT0001
