source_id,target_id,relationship
N8a5b51a7e1c94cf080f110a9d7ccab8c,22-rdf-syntax-ns#nil,22-rdf-syntax-ns#rest
N040cb3bb5946478fbcdf5682732fd35b,owl#Restriction,22-rdf-syntax-ns#type
DepositAccount,owl#Class,22-rdf-syntax-ns#type
N4e673fb3c0db46aaac23388d22323ee2,comprises,owl#onProperty
BasicBankAccountIdentifier,N08f0c2c2abe94115a26f72581e4c8487,rdf-schema#subClassOf
N73e544ca942a404ba1169dad554b96f0,owl#Restriction,22-rdf-syntax-ns#type
TransactionSubcategory,owl#Class,22-rdf-syntax-ns#type
AccountStatement,"Common kinds of account statements include checking account statements, usually provided monthly, and brokerage account statements, which are provided monthly or quarterly, depending on the terms of the account agreement. Monthly credit card bills are also considered account statements.",explanatoryNote
N44c339c39ee8405e99edfeda4fd9375a,recordsTransaction,owl#onProperty
AccountOwnership,Na3df79d3b93d4a2fa2f3708a6f1e492a,rdf-schema#subClassOf
N4cb0272390d24f049681424444746010,1,owl#qualifiedCardinality
Necaae456f5584ecb9c1ece528897c609,isPlayedBy,owl#onProperty
N5f12717a8f65402d863e799ffb21fe7a,1,owl#maxQualifiedCardinality
IndividualTransaction,Occurrence,rdf-schema#subClassOf
N47ecafacb83043f3b558c21e16ac2812,CloseDate,owl#onClass
Account,owl#Class,22-rdf-syntax-ns#type
hasStartingBalance,Balance,rdf-schema#range
N502f8b1fca1042b9a2e2e256843e61ac,1,owl#qualifiedCardinality
,Clients and Accounts Ontology,rdf-schema#label
Nac8b697b748a4ae683ed5a9e822df926,isClassifiedBy,owl#onProperty
LendingOfficer,lending officer,rdf-schema#label
hasCloseDate,owl#ObjectProperty,22-rdf-syntax-ns#type
Nd05109089aa547ea9b6108e3a9bbd174,0,owl#minQualifiedCardinality
, version of this ontology was modified to replace hasDefinition with isDefinedIn to clarify intent.,core#changeNote
CertificateOfDeposit,Nc816b0f4098549f1bf69fadbd988700d,rdf-schema#subClassOf
N842b84e496bc45028a2d6e77f496df87,holds,owl#onProperty
N45e3e996f3924e598204439d3028d68c,owl#Restriction,22-rdf-syntax-ns#type
,"ClientsAndAccounts.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",core#changeNote
IndividualTransaction,owl#Class,22-rdf-syntax-ns#type
N20a7587e85d84253bd7ae8ac773f7a46,isProvidedBy,owl#onProperty
Nf2217c0fddd94b17a55fd624e723542e,hasBalance,owl#onProperty
hasStartingBalance,AccountStatement,rdf-schema#domain
N06f5905b079d4130b34e42f4a6e17311,isIdentifiedBy,owl#onProperty
AccountSpecificServiceAgreement,N5c7fe4f1013544d3821c3cd8d9cdf6f1,rdf-schema#subClassOf
hasOpenDate,hasExplicitDate,rdf-schema#subPropertyOf
CloseDate,"account close date, transaction record close date, and so forth",core#example
N00524a5182f54fe1a1814bc7bd922cd9,1,owl#qualifiedCardinality
DemandDepositAccount,TransactionDepositAccount,rdf-schema#subClassOf
TransactionDepositAccount,transaction deposit account,rdf-schema#label
InternationalBankAccountIdentifier,"identifier for a bank account that is an expanded version of the basic bank account number (BBAN), intended for use internationally",core#definition
N3cb1b96dfe9843cb8489e33348e7d693,owl#Restriction,22-rdf-syntax-ns#type
N43e03fb348d64f6792b2ed7e373cac66,owl#Restriction,22-rdf-syntax-ns#type
N89d27aaec31c46f79b4a71f2d27e6f6f,owl#Restriction,22-rdf-syntax-ns#type
Na3df79d3b93d4a2fa2f3708a6f1e492a,hasOwnedAsset,owl#onProperty
OpenDate,owl#Class,22-rdf-syntax-ns#type
involvesMerchant,involves,rdf-schema#subPropertyOf
InvestmentOrDepositAccount,Account,rdf-schema#subClassOf
N10a61eb6cd504593af80c87a4e6daa96,1,owl#qualifiedCardinality
TimeDepositAccount,ContractualProduct,rdf-schema#subClassOf
hasBalance,relates an account to the net amount of money available in that account,core#definition
InternationalBankAccountIdentifier,international bank account number,synonym
isLinkedToAccount,owl#ObjectProperty,22-rdf-syntax-ns#type
N74f34129e0614403b8006ceb8126c9fa,N2dfb0ea25e6c4c0ca5a99f385e7702f1,owl#someValuesFrom
N502f8b1fca1042b9a2e2e256843e61ac,identifies,owl#onProperty
AccountIdentifier,ISO 13616-1:2007 Financial services - International bank account number (IBAN),adaptedFrom
AccountProvider,party that provides and services an account,core#definition
TransactionDate,transaction date,rdf-schema#label
TimeDepositOpenAccount,owl#Class,22-rdf-syntax-ns#type
Ne8a5a9c432354f3388cf0e7dc9f7d71f,owl#Restriction,22-rdf-syntax-ns#type
N37cbb2153b474e67b277ae317f7e407a,0,owl#minQualifiedCardinality
,ClientsAndAccounts.rdf version of the ontology was modified to eliminate deprecated elements that were deprecated more than six months ago (FND-386).,core#changeNote
,,owl#versionIRI
,ClientsAndAccounts.rdf version of the ontology was modified to replace additional concepts from several FIBO FND ontologies with their counterparts added to the Commons Ontology Library (Commons) v1.1.,core#changeNote
hasOpenDate,relates something to the date that it was created,core#definition
N31cd6921ae0c4fdaba04a4f7248cd349,CustomerAccount,owl#someValuesFrom
BankAccountIdentifier,identifier that identifies a demand deposit account provided by a bank,core#definition
N74f34129e0614403b8006ceb8126c9fa,owl#Restriction,22-rdf-syntax-ns#type
hasSecondaryAccountHolder,isHeldBy,rdf-schema#subPropertyOf
TransactionIdentifier,transaction identifier,rdf-schema#label
N1d88a823971c4502aa75d37d27d96789,isExemplifiedBy,owl#onProperty
CommercialLendingService,commercial lending service,rdf-schema#label
DepositAccount,"Deposit accounts include savings accounts, money market accounts, and transactional accounts, such as demand deposit accounts, among others.",core#example
N1bc38f91a0494083a8db7b972356f2a4,Account,owl#someValuesFrom
AccountIdentifier,owl#Class,22-rdf-syntax-ns#type
N5f12717a8f65402d863e799ffb21fe7a,owl#Restriction,22-rdf-syntax-ns#type
TransactionRecordIdentifier,N502f8b1fca1042b9a2e2e256843e61ac,rdf-schema#subClassOf
hasStartingBalance,hasBalance,rdf-schema#subPropertyOf
Nd05109089aa547ea9b6108e3a9bbd174,owl#Restriction,22-rdf-syntax-ns#type
PaymentDueDate,owl#Class,22-rdf-syntax-ns#type
N3cb1b96dfe9843cb8489e33348e7d693,1,owl#qualifiedCardinality
Nda07c78517f04d58b49ef03bf5dd32cf,owl#Class,22-rdf-syntax-ns#type
CustomerAccount,customer account,rdf-schema#label
AccountHolder,Owner,rdf-schema#subClassOf
TransactionIdentifier,Nd23a60ac9e684147b5b883831898f910,rdf-schema#subClassOf
hasPostingDate,hasExplicitDate,rdf-schema#subPropertyOf
CustomerAccount,Nc32d26ab64664b8aa1be1197873b86f9,rdf-schema#subClassOf
BasicBankAccountIdentifier,StructuredIdentifier,rdf-schema#subClassOf
hasSecondaryAccountHolder,has secondary account owner,synonym
N8d985ef37c2a467b97e83d36e7ed97a4,22-rdf-syntax-ns#nil,22-rdf-syntax-ns#rest
,ClientsAndAccounts.rdf version of this ontology was revised to clean up dead links and address text formatting hygiene issues.,core#changeNote
Na758a42c35344330bc084e90b717710e,owl#Restriction,22-rdf-syntax-ns#type
BrokerageAccount,The investor owns the assets contained in the brokerage account and must usually claim as income any capital gains incurred.,explanatoryNote
AccountHolder,N73e544ca942a404ba1169dad554b96f0,rdf-schema#subClassOf
N606b37ac11334051a0e16e4db67062c8,hasRecord,22-rdf-syntax-ns#first
Nd23a60ac9e684147b5b883831898f910,IndividualTransaction,owl#onClass
Ne8a5a9c432354f3388cf0e7dc9f7d71f,1,owl#qualifiedCardinality
