id,type,name
N1377c966b15a45ecab5cd6fe04242991,Entity,N1377c966b15a45ecab5cd6fe04242991
An account holder is named on the account and is authorized to conduct transactions associated with the account. Authorization is typically evidenced by signatures maintained on file by the account provider.,Entity,An account holder is named on the account and is authorized to conduct transactions associated with the account. Authorization is typically evidenced by signatures maintained on file by the account provider.
applies to account,Entity,applies to account
"ClientsAndAccounts.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",Entity,"ClientsAndAccounts.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate."
N10a61eb6cd504593af80c87a4e6daa96,Entity,N10a61eb6cd504593af80c87a4e6daa96
BankingProduct,Entity,BankingProduct
Nf2217c0fddd94b17a55fd624e723542e,Entity,Nf2217c0fddd94b17a55fd624e723542e
"identifier that uniquely identifies the financial institution and, when appropriate, the branch of that financial institution servicing an account",Entity,"identifier that uniquely identifies the financial institution and, when appropriate, the branch of that financial institution servicing an account"
Nf70c22ee4367476a892abd852b05d535,Entity,Nf70c22ee4367476a892abd852b05d535
indicates the account to which the transaction record or individual transaction applies,Entity,indicates the account to which the transaction record or individual transaction applies
InvestmentOrDepositAccount,Entity,InvestmentOrDepositAccount
N47ecafacb83043f3b558c21e16ac2812,Entity,N47ecafacb83043f3b558c21e16ac2812
DDA,Entity,DDA
any deposit account that is not explicitly considered a transaction account,Entity,any deposit account that is not explicitly considered a transaction account
hasContractDuration,Entity,hasContractDuration
relates an account statement to the amount of money available in that account at the beginning of the statement period,Entity,relates an account statement to the amount of money available in that account at the beginning of the statement period
N08f0c2c2abe94115a26f72581e4c8487,Entity,N08f0c2c2abe94115a26f72581e4c8487
isPlayedBy,Entity,isPlayedBy
ClientsAndAccounts.rdf version of this ontology was revised to link a credit agreement with an account and loosen transaction-related constraints such that the notion of a transaction can be applied to credit agreements generally.,Entity,ClientsAndAccounts.rdf version of this ontology was revised to link a credit agreement with an account and loosen transaction-related constraints such that the notion of a transaction can be applied to credit agreements generally.
CodeElement,Entity,CodeElement
FinancialAsset,Entity,FinancialAsset
N5f12717a8f65402d863e799ffb21fe7a,Entity,N5f12717a8f65402d863e799ffb21fe7a
N89d27aaec31c46f79b4a71f2d27e6f6f,Entity,N89d27aaec31c46f79b4a71f2d27e6f6f
CD,Entity,CD
owl#FunctionalProperty,Entity,owl#FunctionalProperty
has secondary account owner,Entity,has secondary account owner
Nac8b697b748a4ae683ed5a9e822df926,Entity,Nac8b697b748a4ae683ed5a9e822df926
Ne16869a7865f456bbaa136396b1bc483,Entity,Ne16869a7865f456bbaa136396b1bc483
financial asset in the form of an account,Entity,financial asset in the form of an account
payment due date,Entity,payment due date
hasEndingBalance,Entity,hasEndingBalance
unique identifier for record of transactions,Entity,unique identifier for record of transactions
hasTransactionDescription,Entity,hasTransactionDescription
Merchant,Entity,Merchant
isManagedBy,Entity,isManagedBy
N502f8b1fca1042b9a2e2e256843e61ac,Entity,N502f8b1fca1042b9a2e2e256843e61ac
N66eb23be52684bc8ae9b216c623ce9c1,Entity,N66eb23be52684bc8ae9b216c623ce9c1
has account co-owner,Entity,has account co-owner
involves merchant,Entity,involves merchant
owl#ObjectProperty,Entity,owl#ObjectProperty
TransactionDepositAccount,Entity,TransactionDepositAccount
LendingOfficer,Entity,LendingOfficer
corporate officer that has overarching responsibility for the relationship with a specific borrower or account,Entity,corporate officer that has overarching responsibility for the relationship with a specific borrower or account
"time deposit account that allows deposits (other than time certificates of deposit) for which there is in force a written contract with the depositor that neither the whole nor any part of such deposit may be withdrawn prior to (1) the date of maturity, which shall be not less than seven days after the date of the deposit, or (2) the expiration of a specified period of written notice of not less than seven days",Entity,"time deposit account that allows deposits (other than time certificates of deposit) for which there is in force a written contract with the depositor that neither the whole nor any part of such deposit may be withdrawn prior to (1) the date of maturity, which shall be not less than seven days after the date of the deposit, or (2) the expiration of a specified period of written notice of not less than seven days"
N82fd3037bb18474faa88969fb47bdb89,Entity,N82fd3037bb18474faa88969fb47bdb89
AccountAsAnAsset,Entity,AccountAsAnAsset
ServiceAgreement,Entity,ServiceAgreement
Record,Entity,Record
N4cb0272390d24f049681424444746010,Entity,N4cb0272390d24f049681424444746010
FuturesCommissionMerchant,Entity,FuturesCommissionMerchant
BrokerageFirm,Entity,BrokerageFirm
international bank account identifier,Entity,international bank account identifier
hasCorrespondingAccount,Entity,hasCorrespondingAccount
ClientsAndAccounts.rdf version of this ontology was revised to rename ownership related properties for consistent alignment with the ownership situational pattern.,Entity,ClientsAndAccounts.rdf version of this ontology was revised to rename ownership related properties for consistent alignment with the ownership situational pattern.
