source_id,target_id,relationship
ObligationDefault,DefaultEvent,rdf-schema#subClassOf
WriteDown,ObligationSpecificCreditEvent,rdf-schema#subClassOf
ObligationSpecificCreditEvent,credit event that relates to an individual credit agreement or debt instrument (reference obligation),core#definition
hasGracePeriod,Note that this may be a period denominated in business days or calendar days.,explanatoryNote
HardCreditEvent,DefaultEvent,rdf-schema#subClassOf
ObligationAcceleration,obligation acceleration,rdf-schema#label
Na563aba1e52840d6ae166834d9d7e022,BreachOfCovenant,owl#onClass
Na563aba1e52840d6ae166834d9d7e022,0,owl#minQualifiedCardinality
hasDefaultThresholdAmount,has default threshold amount,rdf-schema#label
ObligationRestructuring,"credit event that materially impacts an obligation, such as an interest rate reduction, principal reduction, deferral of interest or principal, change in priority ranking, or change in currency or composition of payment",core#definition
Moratorium,EntitySpecificCreditEvent,rdf-schema#subClassOf
FilingForBankruptcy,EntitySpecificCreditEvent,rdf-schema#subClassOf
Repudiation,repudiation,rdf-schema#label
hasGracePeriod,window following any payment due date during which a party must fulfill its obligations before a failure to pay credit event occurs,core#definition
hasDefaultThresholdAmount,owl#ObjectProperty,22-rdf-syntax-ns#type
FailureToPay,owl#Class,22-rdf-syntax-ns#type
DistressedRatingsDowngrade,Downgrade,rdf-schema#subClassOf
N9a841dfbb9bc49a48a279f95f6e37943,CreditAgreement,owl#someValuesFrom
CreditEvent,"event signifying a sudden change in credit standing, such as bankruptcy or a violation of a bond indenture or loan agreement, that raises doubts about the party's ability to meet current or future obligations",core#definition
FilingForBankruptcy,credit event that involves a request to a court to be recognized as bankrupt,core#definition
hasGracePeriod,hasDatePeriod,rdf-schema#subPropertyOf
FailureToPay,failure to pay,rdf-schema#label
ObligationDefault,ObligationSpecificCreditEvent,rdf-schema#subClassOf
DefaultEvent,owl#Class,22-rdf-syntax-ns#type
involvesMultipleEvents,indicates that the restructuring spans more than one credit event,core#definition
hasDefaultThresholdAmount,MonetaryAmount,rdf-schema#range
Moratorium,owl#Class,22-rdf-syntax-ns#type
ObligationRestructuring,owl#Class,22-rdf-syntax-ns#type
hasDefaultThresholdAmount,hasMonetaryAmount,rdf-schema#subPropertyOf
Bankruptcy,,adaptedFrom
N33d165065fe641fe9de37feaba397300,owl#Restriction,22-rdf-syntax-ns#type
N1722f1f558f34985ae3becc1adf8ca71,LegalPerson,owl#someValuesFrom
FailureToPayPrincipal,FailureToPay,rdf-schema#subClassOf
Repudiation,ObligationSpecificCreditEvent,rdf-schema#subClassOf
isGracePeriodExtendable,owl#DatatypeProperty,22-rdf-syntax-ns#type
FailureToPayPrincipal,failure to pay principal,rdf-schema#label
ObligationSpecificCreditEvent,owl#Class,22-rdf-syntax-ns#type
FailureToPay,N33d165065fe641fe9de37feaba397300,rdf-schema#subClassOf
,,owl#imports
hasGracePeriod,has grace period,rdf-schema#label
Downgrade,credit event triggered when the credit rating of a party or obligation is lowered,core#definition
ObligationRestructuring,obligation restructuring,rdf-schema#label
InstallmentDefault,owl#Class,22-rdf-syntax-ns#type
FailureToPayPrincipal,owl#Class,22-rdf-syntax-ns#type
Ne1d9e30f93214ad488d17450aeefee24,hasDefaultThresholdAmount,owl#onProperty
MaturityExtension,credit event involving extension of payments beyond the original maturity date of the obligation,core#definition
EntitySpecificCreditEvent,owl#Class,22-rdf-syntax-ns#type
