id,type,name
algorithm for computing a credit rating,Entity,algorithm for computing a credit rating
N4a22fe81e4c04c448c8b1fde6be8d34f,Entity,N4a22fe81e4c04c448c8b1fde6be8d34f
Ne899b2da39ac44ba9e993830acc42032,Entity,Ne899b2da39ac44ba9e993830acc42032
RatingScale,Entity,RatingScale
N9b3adf09cde047f78eefd58c63725152,Entity,N9b3adf09cde047f78eefd58c63725152
CreditQuality,Entity,CreditQuality
soft credit inquiry,Entity,soft credit inquiry
credit report,Entity,credit report
"rating scale for assigning a credit rating to individual, entity, or instrument, including defining a set of codes or numeric scores and indicating how an assessment that is assigned a score based on that scale means",Entity,"rating scale for assigning a credit rating to individual, entity, or instrument, including defining a set of codes or numeric scores and indicating how an assessment that is assigned a score based on that scale means"
CreditReport,Entity,CreditReport
hasAsOfDate,Entity,hasAsOfDate
report derived from the transaction history of a credit account,Entity,report derived from the transaction history of a credit account
FormalOrganization,Entity,FormalOrganization
indicates the party for which something is being or has been requested,Entity,indicates the party for which something is being or has been requested
owl#Restriction,Entity,owl#Restriction
owl#NamedIndividual,Entity,owl#NamedIndividual
XMLSchema#string,Entity,XMLSchema#string
hard credit inquiry,Entity,hard credit inquiry
rates,Entity,rates
isIssuedBy,Entity,isIssuedBy
Ndb3f7ca01ff5446d8d5b637002678933,Entity,Ndb3f7ca01ff5446d8d5b637002678933
credit rating,Entity,credit rating
hasDatePeriod,Entity,hasDatePeriod
Nb0c3cfcbe77f45869fe5831785722ca9,Entity,Nb0c3cfcbe77f45869fe5831785722ca9
request from a lender to a credit repository to obtain information regarding a prospective borrower's creditworthiness,Entity,request from a lender to a credit repository to obtain information regarding a prospective borrower's creditworthiness
"This ontology defines the concept of a credit rating, along with credit watch and outlook qualifying terms. There are credit ratings for individuals, for organizations and for instruments. 
		These are referenced extensively in the securities models but are also applicable to business entities generally and in the context of lending and account maintenance.",Entity,"This ontology defines the concept of a credit rating, along with credit watch and outlook qualifying terms. There are credit ratings for individuals, for organizations and for instruments. 
		These are referenced extensively in the securities models but are also applicable to business entities generally and in the context of lending and account maintenance."
notice on a credit report to alert a reviewer of special or exceptional information,Entity,notice on a credit report to alert a reviewer of special or exceptional information
hasTextualName,Entity,hasTextualName
OnWatchOutlook,Entity,OnWatchOutlook
RatingScore,Entity,RatingScore
InvestmentGradeQuality,Entity,InvestmentGradeQuality
or other negative credit events within the last several years,Entity,or other negative credit events within the last several years
Nf46e5be43e6c4d49a8744c0b4cc61f96,Entity,Nf46e5be43e6c4d49a8744c0b4cc61f96
FreezeCreditMessage,Entity,FreezeCreditMessage
hasDataSource,Entity,hasDataSource
subprime quality,Entity,subprime quality
credit report category,Entity,credit report category
credit watch downgrade,Entity,credit watch downgrade
CreditReportProduct,Entity,CreditReportProduct
a type corresonding to a family of credit scoring algorithms sharing common characteristics,Entity,a type corresonding to a family of credit scoring algorithms sharing common characteristics
alternative-A quality,Entity,alternative-A quality
MIT,Entity,MIT
"Bond rating firms use different designations, often consisting of the upper- and lower-case letters to identify a bond's credit quality rating. 'AAA' and 'AA' (high credit quality) and 'A' and 'BBB' (medium credit quality) are considered investment grade. Credit ratings for bonds below these designations ('BB,' 'B,' 'CCC,' etc.) are considered low credit quality, and are commonly referred to as 'junk bonds.'",Entity,"Bond rating firms use different designations, often consisting of the upper- and lower-case letters to identify a bond's credit quality rating. 'AAA' and 'AA' (high credit quality) and 'A' and 'BBB' (medium credit quality) are considered investment grade. Credit ratings for bonds below these designations ('BB,' 'B,' 'CCC,' etc.) are considered low credit quality, and are commonly referred to as 'junk bonds.'"
has coverage period,Entity,has coverage period
CreditMessage,Entity,CreditMessage
N360269d551794c378a4b437d4620649c,Entity,N360269d551794c378a4b437d4620649c
prime quality,Entity,prime quality
"investment credit rating that provides an opinion of creditworthiness of an instrument, typically with some relationship to the creditworthiness of the issuer(s)",Entity,"investment credit rating that provides an opinion of creditworthiness of an instrument, typically with some relationship to the creditworthiness of the issuer(s)"
AlertCreditMessage,Entity,AlertCreditMessage
Party,Entity,Party
hasWatchDirection,Entity,hasWatchDirection
N483c1dbef781468e85485a798c5ba7f9,Entity,N483c1dbef781468e85485a798c5ba7f9
credit inquiry type,Entity,credit inquiry type
"Copyright (c) 2018-2024 EDM Council, Inc.",Entity,"Copyright (c) 2018-2024 EDM Council, Inc."
isProducedBy,Entity,isProducedBy
StableOutlook,Entity,StableOutlook
Nfac334a36f5141d8ba02dc8896a6f947,Entity,Nfac334a36f5141d8ba02dc8896a6f947
RequestActivity,Entity,RequestActivity
Nd9084be5396143a7baf291badcded30a,Entity,Nd9084be5396143a7baf291badcded30a
credit score model type,Entity,credit score model type
isRequestedOf,Entity,isRequestedOf
concernsParty,Entity,concernsParty
isManagedBy,Entity,isManagedBy
isIncludedIn,Entity,isIncludedIn
Alt-A,Entity,Alt-A
Ndd7bd60632da4b4287b4eabd5019c967,Entity,Ndd7bd60632da4b4287b4eabd5019c967
owl#ObjectProperty,Entity,owl#ObjectProperty
on watch outlook,Entity,on watch outlook
credit rating model,Entity,credit rating model
credit rating scale,Entity,credit rating scale
N6642a5967eaa412291924bd02cd0f17b,Entity,N6642a5967eaa412291924bd02cd0f17b
watch direction,Entity,watch direction
assessment of creditworthiness of a borrower generally or with respect to a particular debt or financial obligation,Entity,assessment of creditworthiness of a borrower generally or with respect to a particular debt or financial obligation
N5f196a856ade4bbd8fd2d378dfbcfacb,Entity,N5f196a856ade4bbd8fd2d378dfbcfacb
OrganizationCreditRating,Entity,OrganizationCreditRating
FinancialInstrument,Entity,FinancialInstrument
HardCreditInquiry,Entity,HardCreditInquiry
Nffd0cc7bff4a4129ba89ebf4bc79f476,Entity,Nffd0cc7bff4a4129ba89ebf4bc79f476
"On April 22, 2022, OppFi (NYSE:OPFI) was downgraded by Zacks Investment Research from a 'hold' rating to a 'sell' rating in a research report issued to clients and investors on Friday, Zacks.com reports.",Entity,"On April 22, 2022, OppFi (NYSE:OPFI) was downgraded by Zacks Investment Research from a 'hold' rating to a 'sell' rating in a research report issued to clients and investors on Friday, Zacks.com reports."
Use dct:hasVersion to specify a version for the credit score model.,Entity,Use dct:hasVersion to specify a version for the credit score model.
N8e4bc8f45021418fafcfd33ade86ebe6,Entity,N8e4bc8f45021418fafcfd33ade86ebe6
hasWatchOutlook,Entity,hasWatchOutlook
stable outlook,Entity,stable outlook
This classification often refers to loans made to high-quality borrowers that are offered prime or relatively low interest rates. Prime loans have low default risk.,Entity,This classification often refers to loans made to high-quality borrowers that are offered prime or relatively low interest rates. Prime loans have low default risk.
CreditInquiry,Entity,CreditInquiry
InvestmentCreditRating,Entity,InvestmentCreditRating
Ndc545f9ad71840b883eeb1cc82c097ea,Entity,Ndc545f9ad71840b883eeb1cc82c097ea
comprises,Entity,comprises
short term credit rating,Entity,short term credit rating
CreditWatchUpgrade,Entity,CreditWatchUpgrade
isIdentifiedBy,Entity,isIdentifiedBy
isDerivedFrom,Entity,isDerivedFrom
exemplifies,Entity,exemplifies
CreditWatchDowngrade,Entity,CreditWatchDowngrade
isClassifiedBy,Entity,isClassifiedBy
credit quality,Entity,credit quality
InstrumentCreditRating,Entity,InstrumentCreditRating
watch outlook,Entity,watch outlook
investment grade quality,Entity,investment grade quality
organization credit rating,Entity,organization credit rating
issues,Entity,issues
Nc32800ceca1242f9be924b643f27a985,Entity,Nc32800ceca1242f9be924b643f27a985
credit inquiry,Entity,credit inquiry
concerns party,Entity,concerns party
N2b50c5cfe7924a12a00b4f993e60203a,Entity,N2b50c5cfe7924a12a00b4f993e60203a
CreditWatchOutlook,Entity,CreditWatchOutlook
N10707fa0551d40e69f29b2a410fc447c,Entity,N10707fa0551d40e69f29b2a410fc447c
Report,Entity,Report
Date,Entity,Date
CreditRatingScale,Entity,CreditRatingScale
OffTheShelfProduct,Entity,OffTheShelfProduct
alert credit message,Entity,alert credit message
playsRole,Entity,playsRole
credit report product,Entity,credit report product
"classifier for credit reports, often available from multiple vendors",Entity,"classifier for credit reports, often available from multiple vendors"
freeze credit message,Entity,freeze credit message
CreditRating,Entity,CreditRating
Rating,Entity,Rating
classifier for debt instruments that are considered to be of high quality and have a low risk of default,Entity,classifier for debt instruments that are considered to be of high quality and have a low risk of default
credit rating that provides an opinion of the probability of an individual or organization going into default within a year,Entity,credit rating that provides an opinion of the probability of an individual or organization going into default within a year
SubprimeQuality,Entity,SubprimeQuality
Alternative A-paper,Entity,Alternative A-paper
,Entity,
"classifier for borrowers, rates, or holdings in the lending market with respect to the quality of the credit",Entity,"classifier for borrowers, rates, or holdings in the lending market with respect to the quality of the credit"
hasParty,Entity,hasParty
RatingAgency,Entity,RatingAgency
classifier that categorizes credit messages,Entity,classifier that categorizes credit messages
Nb47ccc65cb834374847eab7cd9cb932a,Entity,Nb47ccc65cb834374847eab7cd9cb932a
N4bd16848dac74a99936603baccdf04f4,Entity,N4bd16848dac74a99936603baccdf04f4
Expression,Entity,Expression
"classifier for borrowers, rates, or holdings that are considered to be of high quality",Entity,"classifier for borrowers, rates, or holdings that are considered to be of high quality"
Account,Entity,Account
credit rating agency,Entity,credit rating agency
relates something (e.g. a credit report or insurance policy) to the specific time period that it covers,Entity,relates something (e.g. a credit report or insurance policy) to the specific time period that it covers
manages,Entity,manages
credit watch upgrade,Entity,credit watch upgrade
A-paper,Entity,A-paper
credit watch outlook,Entity,credit watch outlook
CreditInquiryType,Entity,CreditInquiryType
This is typically provided by a credit rating agency but could be produced by an internal proprietary model as well.,Entity,This is typically provided by a credit rating agency but could be produced by an internal proprietary model as well.
Notice,Entity,Notice
credit message type,Entity,credit message type
credit message,Entity,credit message
N57e539017d634e9ebf94dd5fe9caca54,Entity,N57e539017d634e9ebf94dd5fe9caca54
NonprimeQuality,Entity,NonprimeQuality
CreditMessageType,Entity,CreditMessageType
FinancialServiceProvider,Entity,FinancialServiceProvider
credit tradeline,Entity,credit tradeline
CreditRatingModelType,Entity,CreditRatingModelType
