id,type,name
"something pledged as security to ensure fulfillment of an obligation to another party, to lend money, extend credit, or provision securities",Entity,"something pledged as security to ensure fulfillment of an obligation to another party, to lend money, extend credit, or provision securities"
ProjectedContractEventSchedule,Entity,ProjectedContractEventSchedule
PrincipalPayment,Entity,PrincipalPayment
AssessmentReport,Entity,AssessmentReport
has available amount,Entity,has available amount
event reflecting the actual payment of interest,Entity,event reflecting the actual payment of interest
N77007f7643ad4a58876a2859246e2419,Entity,N77007f7643ad4a58876a2859246e2419
"This method ensures that all coupon payments are always for the same amount. It also ensures that all days in a coupon period are valued equally. This is the convention used for US Treasury bonds and notes, among other securities.",Entity,"This method ensures that all coupon payments are always for the same amount. It also ensures that all days in a coupon period are valued equally. This is the convention used for US Treasury bonds and notes, among other securities."
Nca29c3985d6a4ee88ecb9642a9d5d6c0,Entity,Nca29c3985d6a4ee88ecb9642a9d5d6c0
"regular, contract-specific schedule including the dates on which a rate reset, and corresponding actual rate, is recalculated",Entity,"regular, contract-specific schedule including the dates on which a rate reset, and corresponding actual rate, is recalculated"
hasEstimatedValue,Entity,hasEstimatedValue
PrincipalRepaymentTerms,Entity,PrincipalRepaymentTerms
Undergoer,Entity,Undergoer
system for allocating identifiers to borrowers,Entity,system for allocating identifiers to borrowers
is owed to,Entity,is owed to
"credit facility that enables the borrower to withdraw funds, repay, and withdraw again",Entity,"credit facility that enables the borrower to withdraw funds, repay, and withdraw again"
lease agreement,Entity,lease agreement
"indicates the lifespan of credit agreement or offering, from the date of issuance to the scheduled maturity date",Entity,"indicates the lifespan of credit agreement or offering, from the date of issuance to the scheduled maturity date"
Debt Ontology,Entity,Debt Ontology
hasPrincipalRepaymentDate,Entity,hasPrincipalRepaymentDate
N2fdb2a798246451d86f21beec08cde6a,Entity,N2fdb2a798246451d86f21beec08cde6a
360 ICMA,Entity,360 ICMA
links a debt to the party that owes it,Entity,links a debt to the party that owes it
has compounding frequency,Entity,has compounding frequency
isPlayedBy,Entity,isPlayedBy
Debt.rdf version of this ontology was modified to add initial exchange date to any credit agreement.,Entity,Debt.rdf version of this ontology was modified to add initial exchange date to any credit agreement.
N205119be107748f7ad798478cb8f5760,Entity,N205119be107748f7ad798478cb8f5760
InterestPaymentSchedule,Entity,InterestPaymentSchedule
FinancialAsset,Entity,FinancialAsset
isEvidencedBy,Entity,isEvidencedBy
specifies the number payments promised per the terms of the contract over the lifetime of the contract assuming all payments are made,Entity,specifies the number payments promised per the terms of the contract over the lifetime of the contract assuming all payments are made
N0fac8b91c74a4f9fae26ab336c0de67f,Entity,N0fac8b91c74a4f9fae26ab336c0de67f
N2642019526d549b085e92ef47bc22854,Entity,N2642019526d549b085e92ef47bc22854
Nc7b6f752c9c24e42ac87238fe7cf23ba,Entity,Nc7b6f752c9c24e42ac87238fe7cf23ba
"links contractual terms embedded in a contract, such as interest or repayment terms to the element those terms apply to",Entity,"links contractual terms embedded in a contract, such as interest or repayment terms to the element those terms apply to"
interest payment schedule,Entity,interest payment schedule
has maturity date,Entity,has maturity date
