source_id,target_id,relationship
CreditInstitutionRegisterEntry,RegistryEntry,rdf-schema#subClassOf
L-549300DTUYXVMJXZNY75-LEI,HerausgebergemeinschaftWertpapier-MitteilungenKepplerLehmann,isRegisteredBy
EuropeanCentralBankHeadquartersAndLegalAddress,Frankfurt,hasMunicipality
EuropeanCentralBankLegalEntityIdentifierRegistryEntry,IssuedStatus,hasRegistrationStatus
EuropeanCentralBankHeadquartersAndLegalAddress,Germany,hasCountry
CreditInstitutionRegister,EuropeanBankingAuthorityRegulator,isManagedBy
EuropeanCentralBankHeadquartersAndLegalAddress,owl#NamedIndividual,22-rdf-syntax-ns#type
EuropeanCentralBankHeadquartersAndLegalAddress,ConventionalStreetAddress,22-rdf-syntax-ns#type
EuropeanCentralBank,EuropeanCentralBankHeadquartersAndLegalAddress,hasHeadquartersAddress
CreditInstitutionRegister,Credit Institution Register,rdf-schema#label
,EURegulatoryAgencies.rdf version of this ontology was revised to update the LEI data for all LEIs to correspond to the content published by the GLEIF and clean up individual definitions as appropriate.,core#changeNote
EuropeanBankingAuthorityRegulator,CreditInstitutionRegister,manages
N0152b466e8ad4098865ba6f8067d34b2,owl#Restriction,22-rdf-syntax-ns#type
EuropeanCentralBank,"European Central Bank, whose main aim is to maintain price stability, i.e. to safeguard the value of the euro",core#definition
CreditInstitutionRegister,owl#NamedIndividual,22-rdf-syntax-ns#type
EuropeanCentralBank,European Central Bank,rdf-schema#label
EuropeanCentralBank,owl#NamedIndividual,22-rdf-syntax-ns#type
EuropeanCentralBank,European Central Bank,hasLegalName
Ne203418077324dc1b98483d0f8932642,CreditInstitution,owl#allValuesFrom
EuropeanBankingRegulatoryAgencyAndCentralBank,index.en.html,adaptedFrom
,EURegulatoryAgencies.rdf version of this ontology was modified to reflect revisions to the GLEIF LEI representation for validation level.,core#changeNote
EuropeanCentralBankLegalEntityIdentifierRegistryEntry,2021-07-20T07:13:49+02:00,hasRegistrationRevisionDate
,"This ontology extends the primary regulatory agencies ontology in FBC with additional agencies and registries that regulate and provide services in Europe, across national boundaries, such as agencies that support the European Union.",abstract
EuropeanBankingAuthority,"European Banking Authority legal entity, whose main task is to contribute, through the adoption of binding Technical Standards (BTS) and Guidelines, to the creation of the European Single Rulebook in banking",core#definition
EuropeanCentralBankLegalEntityIdentifierRegistryEntry,EntityValidationLevelEntitySuppliedOnly,hasValidationLevel
L-549300DTUYXVMJXZNY75-LEI,LegalEntityIdentifier,22-rdf-syntax-ns#type
,,owl#imports
,"EURegulatoryAgencies.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",core#changeNote
EuropeanBankingRegulatoryAgencyAndCentralBank,owl#NamedIndividual,22-rdf-syntax-ns#type
CreditInstitutionRegister,credit-institutions-register,adaptedFrom
EuropeanCentralBankLegalEntityIdentifierRegistryEntry,European Central Bank legal entity identifier registry entry,rdf-schema#label
EuropeanCentralBank,index.en.html,adaptedFrom
EuropeanBankingRegulatoryAgencyAndCentralBank,"regulatory agency, registration authority and central banking role of the European Central Bank",core#definition
Ne203418077324dc1b98483d0f8932642,owl#Restriction,22-rdf-syntax-ns#type
EuropeanCentralBankHeadquartersAndLegalAddress,60314,hasPostalCode
CreditInstitutionRegisterEntry,Credit Institution Register entry,rdf-schema#label
,,owl#versionIRI
CreditInstitutionRegisterEntry,owl#Class,22-rdf-syntax-ns#type
EuropeanBankingAuthority,"The Authority also plays an important role in promoting convergence of supervisory practices to ensure a harmonised application of prudential rules. Finally, the EBA is mandated to assess risks and vulnerabilities in the EU banking sector through, in particular, regular risk assessment reports and pan-European stress tests. To perform these tasks, the EBA can produce a number of regulatory and non regulatory documents including binding Technical Standards, Guidelines, Recommendations, Opinions and ad-hoc or regular reports.",explanatoryNote
,owl#Ontology,22-rdf-syntax-ns#type
EuropeanCentralBankHeadquartersAndLegalAddress,European Central Bank headquarters and legal address,rdf-schema#label
EuropeanBankingRegulatoryAgencyAndCentralBank,EuropeanCentralBank,isPlayedBy
EuropeanCentralBankHeadquartersAndLegalAddress,headquarters and legal address for the European Central Bank,core#definition
,European Regulatory Agencies Ontology,rdf-schema#label
N0152b466e8ad4098865ba6f8067d34b2,CreditInstitution,owl#someValuesFrom
,"EURegulatoryAgencies.rdf version of this ontology was revised to replace uses of hasTag in Relations with hasTag from LCC, as the more complex union of datatypes in the Relations concept is not needed here.",core#changeNote
EuropeanBankingAuthority,EBA,abbreviation
