id,type,name
CentralBank,Entity,CentralBank
European Central Bank headquarters and legal address,Entity,European Central Bank headquarters and legal address
European Banking Authority,Entity,European Banking Authority
"The Authority also plays an important role in promoting convergence of supervisory practices to ensure a harmonised application of prudential rules. Finally, the EBA is mandated to assess risks and vulnerabilities in the EU banking sector through, in particular, regular risk assessment reports and pan-European stress tests. To perform these tasks, the EBA can produce a number of regulatory and non regulatory documents including binding Technical Standards, Guidelines, Recommendations, Opinions and ad-hoc or regular reports.",Entity,"The Authority also plays an important role in promoting convergence of supervisory practices to ensure a harmonised application of prudential rules. Finally, the EBA is mandated to assess risks and vulnerabilities in the EU banking sector through, in particular, regular risk assessment reports and pan-European stress tests. To perform these tasks, the EBA can produce a number of regulatory and non regulatory documents including binding Technical Standards, Guidelines, Recommendations, Opinions and ad-hoc or regular reports."
Sonnemannstrasse 20,Entity,Sonnemannstrasse 20
"regulatory agency, registration authority and central banking role of the European Central Bank",Entity,"regulatory agency, registration authority and central banking role of the European Central Bank"
EURegulatoryAgencies.rdf version of this ontology was revised to update the LEI URIs to the new form published by the GLEIF on data.world.,Entity,EURegulatoryAgencies.rdf version of this ontology was revised to update the LEI URIs to the new form published by the GLEIF on data.world.
owl#Restriction,Entity,owl#Restriction
EuropeanBankingAuthority,Entity,EuropeanBankingAuthority
GovernmentAgency,Entity,GovernmentAgency
owl#NamedIndividual,Entity,owl#NamedIndividual
LegalEntityIdentifier,Entity,LegalEntityIdentifier
"EURegulatoryAgencies.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",Entity,"EURegulatoryAgencies.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate."
LegalEntityIdentifierRegistryEntry,Entity,LegalEntityIdentifierRegistryEntry
EURegulatoryAgencies.rdf version of this ontology was added via the FIBO 2.0 RFC.,Entity,EURegulatoryAgencies.rdf version of this ontology was added via the FIBO 2.0 RFC.
European Central Bank,Entity,European Central Bank
2021-07-20T07:13:49+02:00,Entity,2021-07-20T07:13:49+02:00
EuropeanCentralBankHeadquartersAndLegalAddress,Entity,EuropeanCentralBankHeadquartersAndLegalAddress
"registry of credit institutions to which authorisation has been granted to operate within the European Union and European Economic Area countries (EEA), a repository of financial data and institution characteristics for covered institutions collected by the the European Banking Authority (EBA)",Entity,"registry of credit institutions to which authorisation has been granted to operate within the European Union and European Economic Area countries (EEA), a repository of financial data and institution characteristics for covered institutions collected by the the European Banking Authority (EBA)"
MIT,Entity,MIT
