id,type,name
Corporation,Entity,Corporation
London Stock Exchange plc.,Entity,London Stock Exchange plc.
SIX Group AG,Entity,SIX Group AG
Business Entity Data (BED) B.V. legal entity identifier,Entity,Business Entity Data (BED) B.V. legal entity identifier
BusinessEntityDataHeadquartersAddress,Entity,BusinessEntityDataHeadquartersAddress
LondonStockExchangeUnaVistaRegistry,Entity,LondonStockExchangeUnaVistaRegistry
SIX Financial Information AG,Entity,SIX Financial Information AG
LegalEntityIdentifierRegistry,Entity,LegalEntityIdentifierRegistry
Business Entity Data (BED) B.V. legal entity identifier registry entry,Entity,Business Entity Data (BED) B.V. legal entity identifier registry entry
WMGruppeLegalEntityIdentifierRegistryEntry,Entity,WMGruppeLegalEntityIdentifierRegistryEntry
"Lux CSD functional entity, which provides Luxembourg's financial community with issuing and central bank settlement as well as custody services for a wide range of securities including investment funds",Entity,"Lux CSD functional entity, which provides Luxembourg's financial community with issuing and central bank settlement as well as custody services for a wide range of securities including investment funds"
legal entity identifier registry entry for SIX Financial Information AG,Entity,legal entity identifier registry entry for SIX Financial Information AG
London Stock Exchange as local operating unit,Entity,London Stock Exchange as local operating unit
L-1855,Entity,L-1855
"EuropeanFinancialServicesEntitiesIndividuals.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",Entity,"EuropeanFinancialServicesEntitiesIndividuals.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate."
"Herausgebergemeinschaft Wertpapier-Mitteilungen Keppler, Lehmann",Entity,"Herausgebergemeinschaft Wertpapier-Mitteilungen Keppler, Lehmann"
2021-09-16T11:14:33.117000,Entity,2021-09-16T11:14:33.117000
LondonStockExchangeHeadquartersAddress,Entity,LondonStockExchangeHeadquartersAddress
"London Stock Exchange functional entity, which is a global business and financial information services and news provider, a securities exchange, and the SEDOL code issuer and registration authority",Entity,"London Stock Exchange functional entity, which is a global business and financial information services and news provider, a securities exchange, and the SEDOL code issuer and registration authority"
SIX Group,Entity,SIX Group
The European Central Bank (ECB) approved LuxCSD for its Securities Settlement System (SSS).,Entity,The European Central Bank (ECB) approved LuxCSD for its Securities Settlement System (SSS).
FormalOrganization,Entity,FormalOrganization
Duesseldorfer Strasse 16,Entity,Duesseldorfer Strasse 16
LondonStockExchangeAsLocalOperatingUnit,Entity,LondonStockExchangeAsLocalOperatingUnit
NV,Entity,NV
"headquarters and legal address for Herausgebergemeinschaft Wertpapier-Mitteilungen Keppler, Lehmann (WM Gruppe)",Entity,"headquarters and legal address for Herausgebergemeinschaft Wertpapier-Mitteilungen Keppler, Lehmann (WM Gruppe)"
Lux CSD LEI Registry,Entity,Lux CSD LEI Registry
"EuropeanFinancialServicesEntitiesIndividuals.rdf version of this ontology was revised to replace uses of hasTag in Relations with hasTag from LCC, as the more complex union of datatypes in the Relations concept is not needed here.",Entity,"EuropeanFinancialServicesEntitiesIndividuals.rdf version of this ontology was revised to replace uses of hasTag in Relations with hasTag from LCC, as the more complex union of datatypes in the Relations concept is not needed here."
"corporation that is a subsidiary of Nasdaq, Inc. that manages Nasdaq exchanges in Helsinki, Copenhagen, Stockholm, Iceland, Riga, Tallinn and Vilnius",Entity,"corporation that is a subsidiary of Nasdaq, Inc. that manages Nasdaq exchanges in Helsinki, Copenhagen, Stockholm, Iceland, Riga, Tallinn and Vilnius"
GlobalMarketsEntityIdentifierRegistry,Entity,GlobalMarketsEntityIdentifierRegistry
60329,Entity,60329
Telekurs Ltd,Entity,Telekurs Ltd
legal entity identifier Global LEI Index registry entry for Clearstream Banking S.A.,Entity,legal entity identifier Global LEI Index registry entry for Clearstream Banking S.A.
owl#NamedIndividual,Entity,owl#NamedIndividual
SwedishBankersAssociation,Entity,SwedishBankersAssociation
London Stock Exchange UnaVista Registry,Entity,London Stock Exchange UnaVista Registry
2021-03-09T13:03:09.110000,Entity,2021-03-09T13:03:09.110000
2021-07-15T14:36:15+02:00,Entity,2021-07-15T14:36:15+02:00
DTCC-US-DE,Entity,DTCC-US-DE
Its members are national banking associations in the Member States of the European Union which are involved in the Eurozone.,Entity,Its members are national banking associations in the Member States of the European Union which are involved in the Eurozone.
legal entity identifier for LuxCSD S.A.,Entity,legal entity identifier for LuxCSD S.A.
SIXFinancialInformation,Entity,SIXFinancialInformation
EuropeanMoneyMarketsInstitute,Entity,EuropeanMoneyMarketsInstitute
2022-03-13T00:00:00,Entity,2022-03-13T00:00:00
