source_id,target_id,relationship
BrokerageFirm,"The term broker-dealer is used in U.S. securities regulation parlance to describe stock brokerages, because most of them act as both agents and principals. A brokerage acts as a broker (or agent) when it executes orders on behalf of clients, whereas it acts as a dealer (or principal) when it trades for its own account.",explanatoryNote
MoneyServicesBusiness,money-services-business-definition,rdf-schema#seeAlso
N95473c87059547cebae07139a1d86c71,BusinessIdentifierCodeScheme,owl#someValuesFrom
FuturesCommissionMerchant,futures commission merchant,rdf-schema#label
DataProcessingService,FinancialService,rdf-schema#subClassOf
FinanceCompany,finance company,rdf-schema#label
FinanceCompany,NonDepositoryInstitution,rdf-schema#subClassOf
BusinessIdentifierCode,N6f9917c114314778b14f19bb788b398b,rdf-schema#subClassOf
, version of this ontology was modified to generalize certain unions where they were no longer required and incorporate a new financial service provider identifier that is assigned functionally rather than to a legal entity.,core#changeNote
BusinessIdentifierCode,N1e689d6efb76439a9bc5fda77c488eb3,rdf-schema#subClassOf
MortgageCompany,FinancialServiceProvider,rdf-schema#subClassOf
ClearingCorporation,"Barron's Dictionary of Finance and Investment Terms, Ninth Edition, 2014",adaptedFrom
hasPortfolioCompany,"indicates a party in which a venture capital firm, a buyout firm, or a holding company has invested",core#definition
CentralSecuritiesDepository,CSDs' clients are typically financial institutions themselves (such as custodian banks and brokers) rather than individual investors.,explanatoryNote
N686dea420c1e4dc79b6375890f8154b6,isRegulatedBy,owl#onProperty
Bank,"depository institution, usually a corporation, that accepts deposits, makes loans, pays checks, and performs related services, for individual members of the public, businesses or other organizations",core#definition
SalesFinanceCompany,acceptance company,synonym
BusinessPartySuffix,owl#Class,22-rdf-syntax-ns#type
hasDateInsured,hasExplicitDate,rdf-schema#subPropertyOf
BrokerageFirm,owl#Class,22-rdf-syntax-ns#type
MonetaryAuthority,"a central bank, the executive branch of a government, a central bank for several nations, a currency board",core#example
Nf5a0c4e376e6409f8fe713dfa232e10b,isRegisteredBy,owl#onProperty
Nbe26b140232543a59bb477597350d61f,owl#Restriction,22-rdf-syntax-ns#type
ClearingBank,clearing bank,rdf-schema#label
RegisteredInvestmentAdvisor,owl#Class,22-rdf-syntax-ns#type
BusinessIdentifierCodeScheme,owl#Class,22-rdf-syntax-ns#type
Nfd4baab4f63c4b3ba01495b575b63197,Nb0911ff05a6340508acaaf976dfb14b9,owl#unionOf
BusinessIdentifierCode,ISO 9362:2014 Banking -- Banking telecommunication messages -- Business identifier code (BIC),adaptedFrom
Nd6727e479f8947339e9122362b6c3b44,NotForProfitOrganization,owl#onClass
Nbc2257e5fae54b308aecb8cad94d5bd9,0,owl#minQualifiedCardinality
ContractualSavingsInstitution,institutional investment firm,synonym
Nbc2257e5fae54b308aecb8cad94d5bd9,owl#Restriction,22-rdf-syntax-ns#type
,FinancialServicesEntities.rdf version of this ontology was revised to eliminate duplication with concepts in LCC.,core#changeNote
PaymentService,payment service,rdf-schema#label
SalesFinanceCompany,finance company that purchases retail and wholesale paper from automobile and other consumer and commercial goods dealers,core#definition
Nb50a255a111c4eddb44535d388e8128e,FinancialServiceProviderIdentifier,owl#someValuesFrom
BusinessIdentifierCode,business identifier code,rdf-schema#label
FinancialServiceProviderIdentifierScheme,scheme that defines the financial service provider identifier per the issuing registration authority or regulatory agency,core#definition
CommodityTradingAdvisor,NonDepositoryInstitution,rdf-schema#subClassOf
CentralBank,owl#Class,22-rdf-syntax-ns#type
FuturesCommissionMerchant,FCM,abbreviation
CommercialBank,"A commercial bank is a financial institution that is owned by stockholders, operates for a profit, and engages in various lending activities. Commercial banks provide services, such as accepting deposits, giving business loans and auto loans, mortgage lending, and basic investment products like savings accounts and certificates of deposit.",explanatoryNote
N686dea420c1e4dc79b6375890f8154b6,owl#Restriction,22-rdf-syntax-ns#type
Nb0911ff05a6340508acaaf976dfb14b9,RegistrationAuthority,22-rdf-syntax-ns#first
BusinessIdentifierCode,N850603f06f2c46a99f824437e0262131,rdf-schema#subClassOf
InsuranceService,"Insurance providers invest the compensation they receive in order to make a profit. In general, insurance transfers risk from individuals or organizations to a larger pool of individuals or organizations that are better able to mitigate that risk.",explanatoryNote
hasPortfolioCompany,isPartyControlling,rdf-schema#subPropertyOf
BusinessIdentifierCode,CodeElement,rdf-schema#subClassOf
InsuranceCompany,insurance company,rdf-schema#label
CommercialFinanceCompany,"Barron's Dictionary of Finance and Investment Terms, Ninth Edition, 2014",adaptedFrom
Nb84881dd25e344f3ba5767829f8d3954,isMemberOf,owl#onProperty
DepositoryInstitution,FinancialInstitution,rdf-schema#subClassOf
FinancialServiceProviderIdentifierScheme,IdentificationScheme,rdf-schema#subClassOf
Underwriter,FinancialServiceProvider,rdf-schema#subClassOf
hasDateEstablishmentTerminated,owl#ObjectProperty,22-rdf-syntax-ns#type
NonDepositoryInstitution,non-banking financial institution (NBFI),synonym
BusinessPartyPrefix,institution code,synonym
,,owl#versionIRI
N95473c87059547cebae07139a1d86c71,isDefinedIn,owl#onProperty
ClearingCorporation,N21cf8b0d3cec4aeca7c13c914b293493,rdf-schema#subClassOf
SelfRegulatingOrganization,self-regulating organization,rdf-schema#label
regulatesSupplyOf,governs,rdf-schema#subPropertyOf
CentralSecuritiesDepository,FinancialServiceProvider,rdf-schema#subClassOf
BankingService,Nd02cf02d3563419980418dbf85e56150,rdf-schema#subClassOf
NonDepositoryInstitution,"Barron's Dictionary of Banking Terms, Sixth Edition, 2012",adaptedFrom
CommercialFinanceCompany,commercial finance company,rdf-schema#label
TrustCompany,FinancialInstitution,rdf-schema#subClassOf
N1e689d6efb76439a9bc5fda77c488eb3,1,owl#qualifiedCardinality
UnitInvestmentTrust,ica40.pdf,definitionOrigin
HoldingCompany,"Holding companies protect their owners from losses to some degree, protecting assets, for example, in case of bankruptcy. They can also be set up to own property such as real estate, patents, trademarks, stocks and other assets to limit financial and legal liability",explanatoryNote
UnitInvestmentTrust,owl#Class,22-rdf-syntax-ns#type
Nb84881dd25e344f3ba5767829f8d3954,FinancialServiceProviderIdentifierScheme,owl#onClass
InvestmentService,"financial service designed to assist investors in using capital to create more money, either through income-producing vehicles or through more risk-oriented ventures to result in capital gains, including but not limited to providing investment advice, asset and portfolio management, and brokerage services",core#definition
Nd02cf02d3563419980418dbf85e56150,DepositoryInstitution,owl#someValuesFrom
InsuranceService,insurance service,rdf-schema#label
MerchantService,"financial service provided by a financial institution to a merchant or other business, including but not limited to managing financial transactions via a secure channel",core#definition
BrokerageFirm,NonDepositoryInstitution,rdf-schema#subClassOf
Nbc2257e5fae54b308aecb8cad94d5bd9,N6ad2a5bcbdbc4a54ba31276d8367c74d,owl#onClass
TrustCompany,"financial institution that acts as a fiduciary, trustee or agent of trusts and agencies",core#definition
CentralSecuritiesDepository,central securities depository,rdf-schema#label
N124454ddaf034190b01da2fc72de4adc,owl#Restriction,22-rdf-syntax-ns#type
Ne73cdd232c41403d9eb022c728d77267,0,owl#minQualifiedCardinality
N3ed42021e30845978bbdc73ca1b2878c,isPlayedBy,owl#onProperty
N3ed42021e30845978bbdc73ca1b2878c,Corporation,owl#onClass
ConsumerFinanceCompany,FinanceCompany,rdf-schema#subClassOf
FinancialInstitution,"Financial institutions are differentiated by the way they obtain and invest funds. Depository institutions accept public deposits, which are insured by the government against loss, and channel those deposits into lending activities. Non-depository institutions, such as brokerage firms, life insurance companies, pension funds, and investment companies, fund their investment activities directly from financial markets by selling securities to the public or by selling insurance policies, in the case of insurance companies.",explanatoryNote
Nb0911ff05a6340508acaaf976dfb14b9,N968ca70a52d548729d71f8fa52dadeaa,22-rdf-syntax-ns#rest
CentralBank,Nad7257d198f640b29c71a11229430557,rdf-schema#subClassOf
N26daad9c79894408ba908f00ac72c464,owl#Restriction,22-rdf-syntax-ns#type
BusinessIdentifierCode,SWIFT-BIC,synonym
UnitInvestmentTrust,InvestmentCompany,rdf-schema#subClassOf
N4c5df48139044f4aab3087bb8c6f7f97,0,owl#minQualifiedCardinality
ElectronicFundsTransferService,electronic funds transfer service,rdf-schema#label
BusinessIdentifierCode,international identifier for financial and non-financial institutions used to facilitate automated processing of information for financial services,core#definition
BusinessPartyPrefix,"For new BIC registration from an organization not yet identified by a BIC, the party prefix will be allocated at the discretion of the RA. The code will not have a mnemonic or acronym value anymore.",explanatoryNote
FaceAmountCertificateCompany,ManagementCompany,owl#disjointWith
,FinancialServicesEntities.rdf version of this ontology was revised to apply the new composite identifier definition to BIC codes.,core#changeNote
InvestmentCompany,ica40.pdf,definitionOrigin
Nbc2257e5fae54b308aecb8cad94d5bd9,isPlayedBy,owl#onProperty
DevelopmentBank,FinancialInstitution,rdf-schema#subClassOf
PrincipalUnderwriter,owl#Class,22-rdf-syntax-ns#type
FinancialInstitution,financial intermediary,synonym
CentralCounterpartyClearingHouse,"These clearing houses are often operated by the major banks in the country. The house's prime responsibility is to provide efficiency and stability to the financial markets that they operate in.

There are two main processes that are carried out by CCPs: clearing and settlement of market transactions. Clearing relates to identifying the obligations of both parties on either side of a transaction. Settlement occurs when the final transfer of securities and funds occur.

CCPs benefit both parties in a transaction because they bear most of the credit risk. If two individuals deal with one another, the buyer bears the credit risk of the seller, and vice versa. When a CCP is used the credit risk that is held against both buyer and seller is coming from the CCP, which in all likelihood is much less than in the previous situation.",explanatoryNote
ElectronicFundsTransferService,08-07_attachment.pdf,rdf-schema#seeAlso
N7425321def0e4cbb88eb32a4bbb89e8c,ClearingService,owl#someValuesFrom
N262b071794e34ab183abb596e6e7a357,BusinessIdentifierCode,owl#onClass
DevelopmentBank,development finance company (DFC),synonym
BankingService,"Examples include cash management service, foreign exchange service, lending or credit service, investment service, insurance service, merchant service, payroll service, and the like.",core#example
N1a533dc088b94e728d0ea4a6ad00390f,owl#Class,22-rdf-syntax-ns#type
InvestmentBank,N1a533dc088b94e728d0ea4a6ad00390f,rdf-schema#subClassOf
BusinessIdentifierCode,OrganizationIdentifier,rdf-schema#subClassOf
N218ff40c52104ceb8bfe90bce8c8dd00,Partnership,22-rdf-syntax-ns#first
FinancialServiceProviderIdentifierScheme,owl#Class,22-rdf-syntax-ns#type
FinancialServiceProviderIdentifier,"identifier that is officially allocated to a financial service provider based on a function that they provide, typically in a jurisdiction over which a regulatory agency has some jurisdiction",core#definition
Bank,bank,rdf-schema#label
DataProcessingServicer,FinancialServiceProvider,rdf-schema#subClassOf
DataProcessingServicer,data processing service,rdf-schema#label
SalesFinanceCompany,owl#Class,22-rdf-syntax-ns#type
ClearingCorporation,ClearingHouse,rdf-schema#subClassOf
DataProcessingServicer,finance services provider primarily engaged in providing infrastructure for hosting or data processing services,core#definition
Ne73cdd232c41403d9eb022c728d77267,owl#Restriction,22-rdf-syntax-ns#type
MerchantService,"Barron's Dictionary of Finance and Investment Terms, Ninth Edition, 2014",adaptedFrom
FinancialServiceProviderIdentifier,financial service provider identifier,rdf-schema#label
InsuranceService,"Barron's Dictionary of Finance and Investment Terms, Ninth Edition, 2014",adaptedFrom
N6ad2a5bcbdbc4a54ba31276d8367c74d,Nc2113445ca4044f2b78931ffccc2a44d,owl#unionOf
ClearingHouse,"Barron's Dictionary of Finance and Investment Terms, Ninth Edition, 2014",adaptedFrom
N124454ddaf034190b01da2fc72de4adc,isIncludedIn,owl#onProperty
ClearingHouse,"financial service provider that is exchange affiliated and provides clearing services, including the validation, delivery, and settlement of financial transactions, for financial intermediaries",core#definition
SalesFinanceCompany,FinanceCompany,rdf-schema#subClassOf
RiskPoolingInstitution,owl#Class,22-rdf-syntax-ns#type
isPortfolioCompanyOf,ControlledParty,rdf-schema#domain
ContractualSavingsInstitution,institutional investor,synonym
N4cbd56f6b9e84a538b4a3a5dd2863f4d,owl#Restriction,22-rdf-syntax-ns#type
ManagementCompany,investment company that sells and manages a portfolio of securities other than a face-amount certificate company or unit investment fund,core#definition
ElectronicFundsTransferService,EFT,abbreviation
