id,type,name
Nc2113445ca4044f2b78931ffccc2a44d,Entity,Nc2113445ca4044f2b78931ffccc2a44d
"The Federal Reserve System, whose banks together comprise the central bank of the United States, supervises banking system and regulates the money supply in the US.",Entity,"The Federal Reserve System, whose banks together comprise the central bank of the United States, supervises banking system and regulates the money supply in the US."
unit investment trust,Entity,unit investment trust
"depository institution that engages in various financial services, such as accepting deposits and making loans",Entity,"depository institution that engages in various financial services, such as accepting deposits and making loans"
"Insurance providers invest the compensation they receive in order to make a profit. In general, insurance transfers risk from individuals or organizations to a larger pool of individuals or organizations that are better able to mitigate that risk.",Entity,"Insurance providers invest the compensation they receive in order to make a profit. In general, insurance transfers risk from individuals or organizations to a larger pool of individuals or organizations that are better able to mitigate that risk."
CommodityTradingAdvisor,Entity,CommodityTradingAdvisor
BankingProduct,Entity,BankingProduct
MoneyServicesBusiness,Entity,MoneyServicesBusiness
"The traditional commercial bank is a brick and mortar institution with tellers, safe deposit boxes, vaults and ATMs. However, some commercial banks do not have any physical branches and require consumers to complete all transactions by phone or Internet. In exchange, they generally pay higher interest rates on investments and deposits, and charge lower fees.",Entity,"The traditional commercial bank is a brick and mortar institution with tellers, safe deposit boxes, vaults and ATMs. However, some commercial banks do not have any physical branches and require consumers to complete all transactions by phone or Internet. In exchange, they generally pay higher interest rates on investments and deposits, and charge lower fees."
SavingsAssociation,Entity,SavingsAssociation
"financial service, typically provided to small businesses that are not large enough to have an internal finance organization, that involves managing payment of wages to employees",Entity,"financial service, typically provided to small businesses that are not large enough to have an internal finance organization, that involves managing payment of wages to employees"
commodity trading advisor,Entity,commodity trading advisor
"FinancialServicesEntities.rdf version of this ontology was revised to clean up a few definitions to conform with ISO 704, to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary, and to add the concept of a data processing servicer.",Entity,"FinancialServicesEntities.rdf version of this ontology was revised to clean up a few definitions to conform with ISO 704, to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary, and to add the concept of a data processing servicer."
faq,Entity,faq
BIC,Entity,BIC
"The term broker-dealer is used in U.S. securities regulation parlance to describe stock brokerages, because most of them act as both agents and principals. A brokerage acts as a broker (or agent) when it executes orders on behalf of clients, whereas it acts as a dealer (or principal) when it trades for its own account.",Entity,"The term broker-dealer is used in U.S. securities regulation parlance to describe stock brokerages, because most of them act as both agents and principals. A brokerage acts as a broker (or agent) when it executes orders on behalf of clients, whereas it acts as a dealer (or principal) when it trades for its own account."
National Futures Association,Entity,National Futures Association
isPlayedBy,Entity,isPlayedBy
banking service,Entity,banking service
"depository institution that is (a) any federal savings bank or association chartered under section 1464 of the Federal Deposit Insurance Act; (b) any state chartered building and loan association, savings and loan association, or homestead association; or (c) any cooperative bank (other than a cooperative bank which is a state bank as defined in subsection (a)(2)) of the Federal Deposit Insurance Act, which is organized and operating according to the laws of the State (as defined in subsection (a)(3)) in which it is chartered or organized; and (c) any corporation (other than a bank) that the board of directors and the comptroller of the currency jointly determine to be operating in substantially the same manner as such a depository institution",Entity,"depository institution that is (a) any federal savings bank or association chartered under section 1464 of the Federal Deposit Insurance Act; (b) any state chartered building and loan association, savings and loan association, or homestead association; or (c) any cooperative bank (other than a cooperative bank which is a state bank as defined in subsection (a)(2)) of the Federal Deposit Insurance Act, which is organized and operating according to the laws of the State (as defined in subsection (a)(3)) in which it is chartered or organized; and (c) any corporation (other than a bank) that the board of directors and the comptroller of the currency jointly determine to be operating in substantially the same manner as such a depository institution"
CodeElement,Entity,CodeElement
"Its functions include issuing and managing the country's currency, controlling monetary policy and supervising money market operations, managing exchange and gold reserves, acting as lender of last resort to commercial banks, and providing banking services to the government. Central banks are state-controlled but are increasingly being given an independent status to insulate them from partisan politics.",Entity,"Its functions include issuing and managing the country's currency, controlling monetary policy and supervising money market operations, managing exchange and gold reserves, acting as lender of last resort to commercial banks, and providing banking services to the government. Central banks are state-controlled but are increasingly being given an independent status to insulate them from partisan politics."
unit investment company,Entity,unit investment company
commercial bank,Entity,commercial bank
Management companies allow investors to pool their capital with that of other investors in order to purchase professionally-managed groups of diversified securities.,Entity,Management companies allow investors to pool their capital with that of other investors in order to purchase professionally-managed groups of diversified securities.
has portfolio company,Entity,has portfolio company
product provided to consumers and businesses by a depository institution,Entity,product provided to consumers and businesses by a depository institution
InvestmentBank,Entity,InvestmentBank
 version of this ontology was modified to refine the concept of a credit union and generalize the definition of an underwriter.,Entity, version of this ontology was modified to refine the concept of a credit union and generalize the definition of an underwriter.
financial institution that provides the opportunity for individuals to invest in collective investment vehicles in a fiduciary rather than a principle role,Entity,financial institution that provides the opportunity for individuals to invest in collective investment vehicles in a fiduciary rather than a principle role
SelfRegulatingOrganization,Entity,SelfRegulatingOrganization
scheme that specifies the elements of a unique business identifier code (BIC) scheme to identify financial and non-financial institutions used to facilitate automated processing of information for financial services,Entity,scheme that specifies the elements of a unique business identifier code (BIC) scheme to identify financial and non-financial institutions used to facilitate automated processing of information for financial services
regulates supply of,Entity,regulates supply of
development finance company (DFC),Entity,development finance company (DFC)
MortgageCompany,Entity,MortgageCompany
N3ed42021e30845978bbdc73ca1b2878c,Entity,N3ed42021e30845978bbdc73ca1b2878c
non-depository institution,Entity,non-depository institution
