source_id,target_id,relationship
,InstrumentPricing.rdf version of this ontology was modified to reflect the move of dated collection from arrangements to financial dates.,core#changeNote
ClosingPriceDeterminationMethod,"The official closing price is typically the final price at which something trades during regular market hours on an exchange or trading venue. Because of the evolving nature of online trading in a 24 hour world, every exchange has a method of calculating its official closing price, although that methodology changes from time to time. They may also publish an adjusted closing price, which reflects changes to the price that reflect corporate actions and after hours trading that occur before the opening of the exchange on the following day. Understanding how the closing price is determined is important to ensure price comparability for a given security across exchanges.",explanatoryNote
Na6e2da87b8cd44f1b06f7b6c32fdc246,owl#Restriction,22-rdf-syntax-ns#type
Nb8e3f5d5f4844219bd7a5ebe1bf6d1cc,hasApplicablePeriod,owl#onProperty
BestOffer,Nfe67cf6833c14c8a8cc4342892340640,rdf-schema#subClassOf
hasPriceDeterminationMethod,PriceDeterminationMethod,rdf-schema#range
hasLotSize,"magnitude of an item (i.e., total quantity)",core#definition
CalculatedPrice,owl#Class,22-rdf-syntax-ns#type
RateOfReturn,"net gain or loss on an investment over a specified time period, expressed as a percentage of the investment's initial cost or value as of a specific point in time",core#definition
hasRateOfReturn,owl#ObjectProperty,22-rdf-syntax-ns#type
hasQuoteLotSize,SecurityPrice,rdf-schema#domain
hasNumberOfDaysAccrued,hasNumericValue,rdf-schema#subPropertyOf
CompositeMarket,N8d8697a2553c4ee59c04f6c035e17e39,rdf-schema#subClassOf
VolumeWeightedOpenPrice,volume-weighted open price,rdf-schema#label
Yield,owl#Class,22-rdf-syntax-ns#type
OfficialClosingPrice,end-of-day price,synonym
MidPrice,N50055e3cf423463ab64cb48a77390fcb,rdf-schema#subClassOf
HighPrice,highest price for a given security over the period specified,core#definition
Ne49bf73c7fca474397f2294ebc379e16,CombinedDateTime,owl#onDataRange
AdjustedClosingPrice,owl#Class,22-rdf-syntax-ns#type
hasClosingPriceDeterminationMethod,owl#ObjectProperty,22-rdf-syntax-ns#type
Ncbefc89a70be405180619789423cdf48,isPriceFor,owl#onProperty
SecurityPrice,MonetaryPrice,rdf-schema#subClassOf
OfferPrice,price suggested by a prospective seller at a particular time for a given security,core#definition
,"InstrumentPricing.rdf version of this ontology was modified to move the nominal for auction market from CDS to the pricing ontology (its IRI was that of this instrument pricing ontology but it was mistakenly in the CDS ontology) and simplify the definition (DER-140), and to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).",core#changeNote
PriceDeterminationMethod,price determination method,rdf-schema#label
Nb01aa6fe3e284ad5b87f57b9fcf4d3c6,Publisher,22-rdf-syntax-ns#first
BestOffer,owl#Class,22-rdf-syntax-ns#type
hasNumberOfDaysAccrued,has number of days accrued,rdf-schema#label
RateOfReturn,N816ecb06822944c8a6b0241fbc8907f6,rdf-schema#subClassOf
IntraDayPrice,intra day price,rdf-schema#label
TradingDay,time span that a particular trading venue is open,core#definition
CleanPrice,owl#Class,22-rdf-syntax-ns#type
,,owl#versionIRI
N6ffbe5f504d94cfd9b7c3906d0834b6d,hasObservedDateTime,owl#onProperty
N73f8b41f403349709a6de3565351e7b4,owl#Restriction,22-rdf-syntax-ns#type
ClosingPriceDeterminationMethod,closing price determination method,rdf-schema#label
YieldSpread,Difference,rdf-schema#subClassOf
DerivedPrice,price that stems from another source or calculation rather than being quoted or based on actual trading data,core#definition
Nb6e201de5bc64dcabf692b117ceb8b57,owl#Restriction,22-rdf-syntax-ns#type
PriceSpread,owl#Class,22-rdf-syntax-ns#type
N86d5edaa7f01488cb982f97d73fd6070,Publisher,22-rdf-syntax-ns#first
hasRateOfReturn,FinancialInstrument,rdf-schema#domain
Nace38d3e2afa459f902639188d0c0836,1,owl#qualifiedCardinality
Na121fc3fb9cc401bb5927dceefb7e101,owl#Class,22-rdf-syntax-ns#type
N856bc486c3ad406f86cf02c8a9b0e7f7,BidPrice,owl#someValuesFrom
MarketPrice,market price,rdf-schema#label
BestOffer,best offer,rdf-schema#label
,"InstrumentPricing.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",core#changeNote
hasLotSize,"The lot size, referenced in offerings, listings, orders, and trades, typically refers to the number of shares or units in a single contract.",explanatoryNote
YieldSpread,owl#Class,22-rdf-syntax-ns#type
hasPriceDeterminationMethod,owl#ObjectProperty,22-rdf-syntax-ns#type
N4c43d8f5e6c448e0a3a15b0e534d378b,N884680fc55fd477aa50f3e75485b2654,22-rdf-syntax-ns#rest
CleanPrice,SecurityPrice,rdf-schema#subClassOf
N73f8b41f403349709a6de3565351e7b4,Day,owl#hasValue
N1e44b86954e542e0ae2d5b4804e6d52d,hasApplicablePeriod,owl#onProperty
N6ffbe5f504d94cfd9b7c3906d0834b6d,CombinedDateTime,owl#onDataRange
TradingSession,"An exchange may have several trading sessions during a day. For example, the exchange may be open from 9 a.m. until 10:30 a.m., from 11:30 a.m. until 1 p.m., and from 2 p.m. to 3:30 p.m. Holding several trading sessions gives the market more time to digest information rationally without having to respond immediately.",explanatoryNote
Ne6bd0af418e748f88f066e1206e59b08,hasApplicablePeriod,owl#onProperty
hasPricingSource,refersTo,rdf-schema#subPropertyOf
N6c67acc91f3241e481e74134548c6f39,SecurityPrice,owl#someValuesFrom
DerivedPrice,"There are evaluated prices in which an independent source evaluates a price they have derived, and there are prices which are derived within a firm, from supplied, published end of day price spreads or other market data.",explanatoryNote
LowPrice,lowest value for a given security over the period specified,core#definition
Nfc86ae64f0e64f55999ad69f6666366e,N37063a9ee7dd4ba885c30995e82c4986,22-rdf-syntax-ns#rest
PriceAnalytic,owl#Class,22-rdf-syntax-ns#type
Ncbefc89a70be405180619789423cdf48,Security,owl#someValuesFrom
OfferPrice,offering price,synonym
