id,type,name
XMLSchema#integer,Entity,XMLSchema#integer
"A Yield must be based on a price, and must be in reference to some event or duration of time. It has a calculation method, and may have other qualifying terms such as for compounded yield.",Entity,"A Yield must be based on a price, and must be in reference to some event or duration of time. It has a calculation method, and may have other qualifying terms such as for compounded yield."
N37063a9ee7dd4ba885c30995e82c4986,Entity,N37063a9ee7dd4ba885c30995e82c4986
ask price,Entity,ask price
MidPrice,Entity,MidPrice
2,Entity,2
CalculatedPrice,Entity,CalculatedPrice
hasStrategy,Entity,hasStrategy
"amended closing price to reflect a security's value after accounting for any corporate actions, such as stock splits, dividends, and rights offerings",Entity,"amended closing price to reflect a security's value after accounting for any corporate actions, such as stock splits, dividends, and rights offerings"
RoR,Entity,RoR
official closing price,Entity,official closing price
has number of days accrued,Entity,has number of days accrued
"InstrumentPricing.rdf version of this ontology was modified to move the nominal for auction market from CDS to the pricing ontology (its IRI was that of this instrument pricing ontology but it was mistakenly in the CDS ontology) and simplify the definition (DER-140), and to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).",Entity,"InstrumentPricing.rdf version of this ontology was modified to move the nominal for auction market from CDS to the pricing ontology (its IRI was that of this instrument pricing ontology but it was mistakenly in the CDS ontology) and simplify the definition (DER-140), and to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380)."
"The lot size, referenced in offerings, listings, orders, and trades, typically refers to the number of shares or units in a single contract.",Entity,"The lot size, referenced in offerings, listings, orders, and trades, typically refers to the number of shares or units in a single contract."
window of time within a trading day in which orders may be placed and filled,Entity,window of time within a trading day in which orders may be placed and filled
hasPriceDeterminationMethod,Entity,hasPriceDeterminationMethod
unit of trading,Entity,unit of trading
DateTime,Entity,DateTime
"There are evaluated prices in which an independent source evaluates a price they have derived, and there are prices which are derived within a firm, from supplied, published end of day price spreads or other market data.",Entity,"There are evaluated prices in which an independent source evaluates a price they have derived, and there are prices which are derived within a firm, from supplied, published end of day price spreads or other market data."
Na8c8eadaa0e342539e49114acac9eec0,Entity,Na8c8eadaa0e342539e49114acac9eec0
hasNumberOfDaysAccrued,Entity,hasNumberOfDaysAccrued
hasRateOfReturn,Entity,hasRateOfReturn
market price,Entity,market price
