id,type,name
MarketIdentifierCodeStatus,Entity,MarketIdentifierCodeStatus
2022-06-25T07:42:00-07:00,Entity,2022-06-25T07:42:00-07:00
LegalEntityIdentifierRegistry,Entity,LegalEntityIdentifierRegistry
Global Legal Entity Identifier Foundation (GLEIF) legal entity identifier registry entry,Entity,Global Legal Entity Identifier Foundation (GLEIF) legal entity identifier registry entry
Bank for International Settlements legal entity identifier registry entry,Entity,Bank for International Settlements legal entity identifier registry entry
SocietyForWorldwideInterbankFinancialTelecommunication,Entity,SocietyForWorldwideInterbankFinancialTelecommunication
Nbab60c7051e14012bc795b0cfa28b08a,Entity,Nbab60c7051e14012bc795b0cfa28b08a
"Society for Worldwide Interbank Financial Telecommunication (SWIFT) legal entity, which is a global member-owned cooperative and the world's leading provider of secure financial messaging services",Entity,"Society for Worldwide Interbank Financial Telecommunication (SWIFT) legal entity, which is a global member-owned cooperative and the world's leading provider of secure financial messaging services"
owl#Restriction,Entity,owl#Restriction
2012-06-06T08:54:00-07:00,Entity,2012-06-06T08:54:00-07:00
Bank for International Settlements legal entity identifier,Entity,Bank for International Settlements legal entity identifier
Nd9ceba2180b241feb7797139a02cb5fd,Entity,Nd9ceba2180b241feb7797139a02cb5fd
BIC code registrar,Entity,BIC code registrar
"The Bank for International Settlements offers a wide range of financial services specifically designed to assist central banks and other official monetary institutions in the management of their foreign exchange reserves. BIS facilitates international financial cooperation and endeavors to make monetary policy more predictable and transparent. Its customers are central banks and international organizations; they do not accept deposits from, or provide financial services to, private individuals or corporate entities.",Entity,"The Bank for International Settlements offers a wide range of financial services specifically designed to assist central banks and other official monetary institutions in the management of their foreign exchange reserves. BIS facilitates international financial cooperation and endeavors to make monetary policy more predictable and transparent. Its customers are central banks and international organizations; they do not accept deposits from, or provide financial services to, private individuals or corporate entities."
LegalEntityIdentfierRegistrationAuthority,Entity,LegalEntityIdentfierRegistrationAuthority
St. Alban-Vorstadt 5,Entity,St. Alban-Vorstadt 5
owl#NamedIndividual,Entity,owl#NamedIndividual
XMLSchema#string,Entity,XMLSchema#string
1,Entity,1
bic,Entity,bic
LegalEntityIdentifier,Entity,LegalEntityIdentifier
2018-03-15T22:13:33-07:00,Entity,2018-03-15T22:13:33-07:00
2021-07-15T05:29:06-07:00,Entity,2021-07-15T05:29:06-07:00
LegalEntityIdentifierRegistryEntry,Entity,LegalEntityIdentifierRegistryEntry
L-UXIATLMNPCXXT5KR1S08-LEI,Entity,L-UXIATLMNPCXXT5KR1S08-LEI
InternationalRegistriesAndAuthorities.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,InternationalRegistriesAndAuthorities.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
InternationalRegistriesAndAuthorities.rdf version of this ontology was revised to address text formatting issues uncovered via hygiene testing.,Entity,InternationalRegistriesAndAuthorities.rdf version of this ontology was revised to address text formatting issues uncovered via hygiene testing.
BankForInternationalSettlementsAddress,Entity,BankForInternationalSettlementsAddress
BankForInternationalSettlementsDateEstablished,Entity,BankForInternationalSettlementsDateEstablished
Bank for International Settlements date established,Entity,Bank for International Settlements date established
Global Legal Entity Identifier Foundation,Entity,Global Legal Entity Identifier Foundation
EntityValidationLevelFullyCorroborated,Entity,EntityValidationLevelFullyCorroborated
Global Legal Entity Identifier Foundation address,Entity,Global Legal Entity Identifier Foundation address
BusinessRegistry,Entity,BusinessRegistry
ISO 10383 Registration Authority,Entity,ISO 10383 Registration Authority
Society for Worldwide Interbank Financial Telecommunication,Entity,Society for Worldwide Interbank Financial Telecommunication
MIT,Entity,MIT
Society for Worldwide Interbank Financial Telecommunication address,Entity,Society for Worldwide Interbank Financial Telecommunication address
business identifier code data record,Entity,business identifier code data record
