source_id,target_id,relationship
MIC-ACKF,MICCodeScheme,isMemberOf
MIC-ICPM,OperatingLevelMarketIdentifier,22-rdf-syntax-ns#type
ServiceProvider-L-549300SCP8DO74JJEH77,L-549300SCP8DO74JJEH77,isPlayedBy
MIC-XOSC,MarketSegmentLevelMarketIdentifier,22-rdf-syntax-ns#type
MIC-XBFO,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-GSXC,China,operatesInCountry
LegalEntity-SECDEXDIGITALCUSTODIANLIMITED,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-CABV,CME AMSTERDAM B.V. - APA facility market identifier,rdf-schema#label
Facility-XRMZ,www.rmsystem.cz,hasWebsite
Facility-DBMO,MANUAL OTC,hasFacilityAcronym
MIC-SMBD,SMBD,hasTag
MIC-RPWC,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-XCRC,CHICAGO RICE AND COTTON EXCHANGE,hasFormalName
Facility-BBIE,ServiceProvider-L-2G5BKIC2CB69PRJH1W31,isManagedBy
MIC-XUGA,MICCodeScheme,isMemberOf
ServiceProvider-VICTORIAFALLSSTOCKEXCHANGE,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-TWEU,ActiveMICStatus,hasMarketIdentifierCodeStatus
Facility-MISX,ServiceProvider-L-253400M5M1222KPNWE87,isManagedBy
Facility-XCCE,Japan,operatesInCountry
Facility-MFXR,Facility-MFXC,isPartOf
Facility-ODOC,Paris,operatesInMunicipality
Facility-HKME,HongKong,operatesInCountry
MIC-RABL,OperatingLevelMarketIdentifier,22-rdf-syntax-ns#type
MIC-BGEM,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-VKAB,KABU.COMPTS-VWAP market segment-level market identifier,rdf-schema#label
Facility-TPSL,"MTF FOR THE BROKING OF SECURITIES, DERIVATIVES AND REPURCHASE AGREEMENTS.",core#note
Facility-XGTG,OperatingLevelMarket,22-rdf-syntax-ns#type
Facility-DOSL,Oslo,operatesInMunicipality
Facility-ESPD,NASDAQ OMX ESPEED,rdf-schema#label
MIC-CBLC,ExpiredMICStatus,hasMarketIdentifierCodeStatus
MIC-SQUA,ActiveMICStatus,hasMarketIdentifierCodeStatus
Facility-XEEO,owl#NamedIndividual,22-rdf-syntax-ns#type
ServiceProvider-L-TXDSU46SXBWIGJ8G8E98,FinancialServiceProvider,22-rdf-syntax-ns#type
Facility-IMGI,Facility-ICPM,isPartOf
Facility-FNEE,Facility-XTAL,isPartOf
Facility-XFCM,ServiceProvider-MERCADODEFUTUROSYOPCIONESSOBRECITRICOS,isManagedBy
Facility-BLBB,BAYERNLB,hasFormalName
Facility-PDQD,DARK POOL.,core#note
Facility-XJSE,JOHANNESBURG STOCK EXCHANGE,rdf-schema#label
Facility-XTAM,REGISTERED MARKET FOR EQUITIES IN JAPAN.,core#note
ServiceProvider-L-549300SKSDH15XF6VE42,FinancialServiceProvider,22-rdf-syntax-ns#type
Facility-DNFI,www.nasdaqomxnordic.com,hasWebsite
Facility-OPMX,OperatingLevelMarket,22-rdf-syntax-ns#type
Facility-TPEL,London,operatesInMunicipality
Facility-OTXT,London,operatesInMunicipality
Facility-ABFI,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-MTSG,ExpiredMICStatus,hasMarketIdentifierCodeStatus
ServiceProvider-L-5493009JXYKN3NLOUE77,SEED DIGITAL SECURITIES MARKET as service provider,rdf-schema#label
MIC-XKUW,KUWAIT STOCK EXCHANGE operating-level market identifier,rdf-schema#label
Facility-OPTX,MultilateralTradingFacility,22-rdf-syntax-ns#type
ServiceProvider-L-549300FLZ5WMZ7ZQC356,FENICS - US TREASURIES as service provider,rdf-schema#label
MIC-INGE,MarketSegmentLevelMarketIdentifier,22-rdf-syntax-ns#type
Facility-SIGH,GSET,hasFacilityAcronym
MIC-ECNL,Facility-ECNL,identifies
Facility-UBIM,Bergamo,operatesInMunicipality
ServiceProvider-L-6SHGI4ZSSLCXXQSBB395,CITI MATCH - GB as service provider,rdf-schema#label
Facility-ASPN,ServiceProvider-L-254900TX2BTPJWW4A154,isManagedBy
ServiceProvider-L-2138004J1O2ULCG2XR37,L-2138004J1O2ULCG2XR37,isPlayedBy
Facility-MTSS,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-LMEC,www.lme.com,hasWebsite
Facility-XLCE,"LONDON COMMODITY EXCHANGE, THE",rdf-schema#label
ServiceProvider-MIAXEMERALDLLC,"MIAX EMERALD, LLC as service provider",rdf-schema#label
MIC-MAQH,ActiveMICStatus,hasMarketIdentifierCodeStatus
MIC-XVIE,"WIENER BOERSE AG, WERTPAPIERBOERSE (SECURITIES EXCHANGE) market segment-level market identifier",rdf-schema#label
ServiceProvider-L-549300Y25EQ2KE94BO75,SUN TRADING LLC as service provider,rdf-schema#label
MIC-NEOE,MICCodeScheme,isMemberOf
Facility-TQEX,OperatingLevelMarket,22-rdf-syntax-ns#type
MIC-EXSD,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-FXPS,FXPS,hasTag
Facility-CGND,CASSA DI COMPENSAZIONE E GARANZIA SPA - CCP ENERGY DERIVATIVES,hasFormalName
Facility-WBAH,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),rdf-schema#label
Facility-TEGI,OTF FOR THE TRADING OF GOVERNMENT BONDS - UK GILTS.,core#note
Facility-ALXL,www.euronext.com,hasWebsite
ServiceProvider-L-IYKCAVNFR8QGF00HV840,L-IYKCAVNFR8QGF00HV840,isPlayedBy
MIC-EUOB,Facility-EUOB,identifies
MIC-XMLX,OperatingLevelMarketIdentifier,22-rdf-syntax-ns#type
MIC-CNSI,MICCodeScheme,isMemberOf
Facility-NAPA,Sweden,operatesInCountry
MIC-VTPS,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-VMFX,THE FAROESE SECURITIES MARKET,rdf-schema#label
Facility-CSAS,"CESKA SPORITELNA, A.S.",rdf-schema#label
ServiceProvider-BANKOFAMERICA-MERRILLLYNCHINSTINCTXATS,BANK OF AMERICA - MERRILL LYNCH INSTINCT X ATS as service provider,rdf-schema#label
MIC-XIEX,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-IOIR,OTF FOR THE TRADING OF INTEREST RATE DERIVATIVES.,core#note
Facility-PUND,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-ENCL,ENCLEAR operating-level market identifier,rdf-schema#label
