id,type,name
ServiceProvider-TAIWANINTERNATIONALMERCANTILEEXCHANGE,Entity,ServiceProvider-TAIWANINTERNATIONALMERCANTILEEXCHANGE
IMTF,Entity,IMTF
L-98450040858B75A8E878,Entity,L-98450040858B75A8E878
ServiceProvider-BERENBERG,Entity,ServiceProvider-BERENBERG
TULLETT PREBON SECURITIES - MTF - GOVERNMENT BONDS - UK GILTS,Entity,TULLETT PREBON SECURITIES - MTF - GOVERNMENT BONDS - UK GILTS
BVCA,Entity,BVCA
MIC-KMTS,Entity,MIC-KMTS
LegalEntity-VANCOUVERSTOCKEXCHANGE,Entity,LegalEntity-VANCOUVERSTOCKEXCHANGE
MIC-CGTR,Entity,MIC-CGTR
CGQT,Entity,CGQT
MIC-XSFA,Entity,MIC-XSFA
PRAGUE STOCK EXCHANGE as service provider,Entity,PRAGUE STOCK EXCHANGE as service provider
www.sb1markets.no,Entity,www.sb1markets.no
EQUILEND LLC operating-level market identifier,Entity,EQUILEND LLC operating-level market identifier
UBS TRADING,Entity,UBS TRADING
STEE,Entity,STEE
ATHENS EXCHANGE ALTERNATIVE MARKET,Entity,ATHENS EXCHANGE ALTERNATIVE MARKET
CFI,Entity,CFI
MIC-BCSC,Entity,MIC-BCSC
MIC-S3FM,Entity,MIC-S3FM
LegalEntity-STOXXLIMITED-INDICES,Entity,LegalEntity-STOXXLIMITED-INDICES
TULLETT PREBON PLC - TP EQUITYTRADE as service provider,Entity,TULLETT PREBON PLC - TP EQUITYTRADE as service provider
BALKAN GAS HUB EAD as service provider,Entity,BALKAN GAS HUB EAD as service provider
TULLETT PREBON PLC - TP SWAPDEAL,Entity,TULLETT PREBON PLC - TP SWAPDEAL
ENXL,Entity,ENXL
Georgia,Entity,Georgia
DOWG,Entity,DOWG
BGL BNP PARIBAS as service provider,Entity,BGL BNP PARIBAS as service provider
MIC-BEBG,Entity,MIC-BEBG
NASDAQ STOCKHOLM AB - DANISH FI DERIVATIVES market segment-level market identifier,Entity,NASDAQ STOCKHOLM AB - DANISH FI DERIVATIVES market segment-level market identifier
MIC-RR4G,Entity,MIC-RR4G
CITI MATCH - HK as service provider,Entity,CITI MATCH - HK as service provider
Facility-FLWX,Entity,Facility-FLWX
APEX'S CLEARING HOUSE.,Entity,APEX'S CLEARING HOUSE.
L-254900LOI8IDQRM0LC52,Entity,L-254900LOI8IDQRM0LC52
GSX HONG KONG market segment-level market identifier,Entity,GSX HONG KONG market segment-level market identifier
Facility-SBMF,Entity,Facility-SBMF
L-5967007LIEEXZX57BC18,Entity,L-5967007LIEEXZX57BC18
ELSE,Entity,ELSE
SYSTEMATIC INTERNALISER FOR BONDS ISSUED BY THE HELLENIC REPUBLIC.,Entity,SYSTEMATIC INTERNALISER FOR BONDS ISSUED BY THE HELLENIC REPUBLIC.
MERF,Entity,MERF
Facility-XDSE,Entity,Facility-XDSE
MIC-XLME,Entity,MIC-XLME
MORGAN STANLEY AND CO. LLC as service provider,Entity,MORGAN STANLEY AND CO. LLC as service provider
MIC-XNDX,Entity,MIC-XNDX
ServiceProvider-QLX,Entity,ServiceProvider-QLX
L-UAIAINAJ28P30E5GWE37,Entity,L-UAIAINAJ28P30E5GWE37
HOCHIMINH STOCK EXCHANGE,Entity,HOCHIMINH STOCK EXCHANGE
MIC-FXMT,Entity,MIC-FXMT
MIC-SHSC,Entity,MIC-SHSC
ServiceProvider-L-213800MQRAFTKJ551M22,Entity,ServiceProvider-L-213800MQRAFTKJ551M22
PEPINS - MTF - HALF-YEAR,Entity,PEPINS - MTF - HALF-YEAR
Bangalore,Entity,Bangalore
Facility-JBUL,Entity,Facility-JBUL
MIC-ATDF,Entity,MIC-ATDF
Facility-TRQS,Entity,Facility-TRQS
NOBLE SECURITIES S.A. operating-level market identifier,Entity,NOBLE SECURITIES S.A. operating-level market identifier
MTSD PORTUGAL IS OPERATING AS A DIVISION OF EUROMTS SINCE 30 JUNE 2014,Entity,MTSD PORTUGAL IS OPERATING AS A DIVISION OF EUROMTS SINCE 30 JUNE 2014
Facility-LOYD,Entity,Facility-LOYD
EURO-FINANCE AD,Entity,EURO-FINANCE AD
www.interactivebrokers.com,Entity,www.interactivebrokers.com
"BANK OF AMERICA, NATIONAL ASSOCIATION as service provider",Entity,"BANK OF AMERICA, NATIONAL ASSOCIATION as service provider"
MIC-XMPW,Entity,MIC-XMPW
Facility-CESI,Entity,Facility-CESI
Facility-XJSE,Entity,Facility-XJSE
