source_id,target_id,relationship
,,owl#imports
DebtAndEquitiesModule,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
,"The debt and equities module includes ontologies describing concepts that are common to debt and equity instruments, as well as across debt instruments, such as loans, bonds, asset-backed securities, and so forth.",abstract
,MIT,license
DebtAndEquitiesModule,,hasPart
DebtAndEquitiesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,,owl#versionIRI
DebtAndEquitiesModule,Module,22-rdf-syntax-ns#type
,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
,owl#Ontology,22-rdf-syntax-ns#type
DebtAndEquitiesModule,"The debt and equities module includes ontologies describing concepts that are common to debt and equity instruments, as well as across debt instruments, such as loans, bonds, asset-backed securities, and so forth.",abstract
,2023-01-30T18:00:00,modified
DebtAndEquitiesModule,debt and equities module,rdf-schema#label
DebtAndEquitiesModule,FIBO FBC Debt and Equities Module,title
DebtAndEquitiesModule,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
DebtAndEquitiesModule,,rdf-schema#seeAlso
,2017-08-13T18:00:00,issued
,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
DebtAndEquitiesModule,Financial Industry Business Ontology (FIBO) Financial Business and Commerce (FBC) Debt and Equities Module,title
,Metadata about the EDMC-FIBO Financial Business and Commerce(FBC) Debt and Equities Module,rdf-schema#label
