source_id,target_id,relationship
FinancialInstrumentsModule,FIBO FBC Financial Instruments Module,title
,,owl#imports
FinancialInstrumentsModule,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
FinancialInstrumentsModule,"The financial instruments module includes ontologies defining general purpose financial instruments, i.e., agreements, contracts, notes, equities, options, debt instruments, and so forth, some of which may be negotiable.",abstract
,MIT,license
FinancialInstrumentsModule,,hasPart
FinancialInstrumentsModule,financial instruments module,rdf-schema#label
FinancialInstrumentsModule,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
FinancialInstrumentsModule,Financial Industry Business Ontology (FIBO) Financial Business and Commerce (FBC) Financial Instruments Module,title
FinancialInstrumentsModule,Module,22-rdf-syntax-ns#type
,,owl#versionIRI
FinancialInstrumentsModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,owl#Ontology,22-rdf-syntax-ns#type
,Metadata about the EDMC-FIBO Financial Business and Commerce(FBC) Financial Instruments Module,rdf-schema#label
,2023-01-30T18:00:00,modified
FinancialInstrumentsModule,,rdf-schema#seeAlso
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,"The financial instruments module includes ontologies defining general purpose financial instruments, i.e., agreements, contracts, notes, equities, options, debt instruments, and so forth, some of which may be negotiable.",abstract
FinancialInstrumentsModule,MIT,license
,2015-08-13T18:00:00,issued
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
