source_id,target_id,relationship
FBCProductsAndServicesModule,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
,,owl#imports
FBCProductsAndServicesModule,Module,22-rdf-syntax-ns#type
FBCProductsAndServicesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,MIT,license
FBCProductsAndServicesModule,,rdf-schema#seeAlso
FBCProductsAndServicesModule,MIT,license
,,owl#versionIRI
,2023-06-27T18:00:00,modified
,Metadata about the EDMC-FIBO Financial Business and Commerce(FBC) Products and Services Module,rdf-schema#label
FBCProductsAndServicesModule,FIBO FBC Products and Services Module,title
,owl#Ontology,22-rdf-syntax-ns#type
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,client accounts.,abstract
FBCProductsAndServicesModule,client accounts.,abstract
FBCProductsAndServicesModule,products and services module,rdf-schema#label
FBCProductsAndServicesModule,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,2015-08-13T18:00:00,issued
FBCProductsAndServicesModule,Financial Industry Business Ontology (FIBO) Financial Business and Commerce (FBC) Products and Services Module,title
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
FBCProductsAndServicesModule,,hasPart
