id,type,name
registration service,Entity,registration service
the capacity of some natural person to formally register information in a registry on behalf of some registration authority,Entity,the capacity of some natural person to formally register information in a registry on behalf of some registration authority
DatedCollectionConstituent,Entity,DatedCollectionConstituent
Ne1c1921f478a4ee7a6c6accaaed8bcd1,Entity,Ne1c1921f478a4ee7a6c6accaaed8bcd1
isRegisteredIn,Entity,isRegisteredIn
Nf0937808ce6b41c8a6e0a82daca51b2f,Entity,Nf0937808ce6b41c8a6e0a82daca51b2f
owl#Restriction,Entity,owl#Restriction
states a fact about something,Entity,states a fact about something
Naf78e4772d114891b459ace396630053,Entity,Naf78e4772d114891b459ace396630053
N26d1e09aa3a342be8b5a22320bb8dd13,Entity,N26d1e09aa3a342be8b5a22320bb8dd13
"identifier associated with an entry in a registry, i.e., one that provides an index into the registry for the identified item",Entity,"identifier associated with an entry in a registry, i.e., one that provides an index into the registry for the identified item"
registry identifier,Entity,registry identifier
1,Entity,1
RegistrationAuthorities.rdf version of this ontology was modified per the FIBO 2.0 RFC.,Entity,RegistrationAuthorities.rdf version of this ontology was modified per the FIBO 2.0 RFC.
N3989fd81820e49999d3dcd8b117bf9c2,Entity,N3989fd81820e49999d3dcd8b117bf9c2
isPlayedBy,Entity,isPlayedBy
registration authority,Entity,registration authority
specifies,Entity,specifies
N6fea14e41cce45a38d9f295840bfb3ec,Entity,N6fea14e41cce45a38d9f295840bfb3ec
RegistrationAuthorities.rdf version of the ontology was modified to replace additional concepts from several FIBO FND ontologies with their counterparts added to the Commons Ontology Library (Commons) v1.1.,Entity,RegistrationAuthorities.rdf version of the ontology was modified to replace additional concepts from several FIBO FND ontologies with their counterparts added to the Commons Ontology Library (Commons) v1.1.
PartyRole,Entity,PartyRole
hasRegistryEntry,Entity,hasRegistryEntry
"party that has the capacity to act as a representative of a registration authority to provide registration services, including official record keeping",Entity,"party that has the capacity to act as a representative of a registration authority to provide registration services, including official record keeping"
N15fb9c2f245c45aebb65d542ea5cf18d,Entity,N15fb9c2f245c45aebb65d542ea5cf18d
N67e91707cc0d42239452776e7dc57d49,Entity,N67e91707cc0d42239452776e7dc57d49
RegistrationService,Entity,RegistrationService
RA,Entity,RA
owl#DatatypeProperty,Entity,owl#DatatypeProperty
isMemberOf,Entity,isMemberOf
MIT,Entity,MIT
independently identified entry for something recorded in a registry,Entity,independently identified entry for something recorded in a registry
records something in a registry or archive,Entity,records something in a registry or archive
register,Entity,register
