id,type,name
"grant of permission needed to legally perform some task, provide some service, exercise a certain privilege, or pursue some business or occupation",Entity,"grant of permission needed to legally perform some task, provide some service, exercise a certain privilege, or pursue some business or occupation"
hasJurisdiction,Entity,hasJurisdiction
Regulation,Entity,Regulation
"Barron's Dictionary of Business and Economics Terms, Fifth Edition, 2012",Entity,"Barron's Dictionary of Business and Economics Terms, Fifth Edition, 2012"
RegulatoryAgencies.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,RegulatoryAgencies.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
regulatory service,Entity,regulatory service
FormalOrganization,Entity,FormalOrganization
owl#Restriction,Entity,owl#Restriction
regulates,Entity,regulates
N06c2b7c626a944a183ca2c849f88045e,Entity,N06c2b7c626a944a183ca2c849f88045e
isIssuedBy,Entity,isIssuedBy
regulatory body,Entity,regulatory body
1,Entity,1
government-issued license,Entity,government-issued license
Nd597a3eb215e4a87be346670b10b01b0,Entity,Nd597a3eb215e4a87be346670b10b01b0
RegulatoryAgencies.rdf version of this ontology was modified as a part of organizational hierarchy simplification.,Entity,RegulatoryAgencies.rdf version of this ontology was modified as a part of organizational hierarchy simplification.
regulatory capacity,Entity,regulatory capacity
RegulatoryAgencies.rdf version of this ontology was modified to address text formatting hygiene issues.,Entity,RegulatoryAgencies.rdf version of this ontology was modified to address text formatting hygiene issues.
isPlayedBy,Entity,isPlayedBy
Nf76adc8fd6bc41a3b314cea5842132a3,Entity,Nf76adc8fd6bc41a3b314cea5842132a3
N5e657dad83ed48f0924c1c166d0e7d4d,Entity,N5e657dad83ed48f0924c1c166d0e7d4d
Examiner,Entity,Examiner
