source_id,target_id,relationship
BankOfNewYorkMellonCorporationAddress,New_York,hasMunicipality
AlphabetIncBusinessEntityIdentifier,ActiveStatus,hasEntityStatus
StateStreetBankAndTrustCompany,StateStreetBankAndTrustCompanyDateEstablished,hasDateEstablished
BankOfNewYorkMellonCorporation,financial holding company functional entity for the Bank of New York Mellon Corporation,core#definition
BankOfNewYorkMellonCorporationLegalEntityIdentifierRegistryEntry,owl#NamedIndividual,22-rdf-syntax-ns#type
CitibankNAOwnership,CitibankNA-US-DE,hasOwnedEntity
BankOfNewYorkMellonCorporation-US-DE,,hasWebsite
WellsFargoBankNationalAssociationLegalEntityIdentifierRegistryEntry,2012-06-06T15:53:00,hasInitialRegistrationDate
CitigroupInc-US-DE,UnitedStatesOfAmerica,isDomiciledIn
,USExampleIndividuals.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
CitigroupIncHeadquartersAddress,388 Greenwich Street,hasAddressLine1
PinnacleBankCaliforniaCertificateOfAuthorityIdentifier,Pinnacle Bank California Certificate of Authority identifier,rdf-schema#label
BankOfNewYorkMellonCorporation-US-DE,BankOfNewYorkMellonCorporationIncorporationDate,hasDateOfRegistration
L-PBLD0EJDB5FWOLXP3B76-LEI,Wells Fargo & Company legal entity identifier,rdf-schema#label
TheProctorAndGambleCompanyBusinessPartySuffix,business party suffix for The Proctor & Gamble Company,core#definition
TheCoca-ColaCompanyLegalEntityIdentifierRegistryEntry,2022-04-27T13:14:00,hasRenewalDate
TheProctorAndGambleCompanyBusinessPartySuffix,The Proctor & Gamble Company business party suffix,rdf-schema#label
WellsFargoAndCompanyRSSDIdentifier,ResearchStatisticsSupervisionDiscountIdentifier,22-rdf-syntax-ns#type
StateStreetCorporationHeadquartersAddress,02111,hasPostalCode
StateStreetCorporation-US-MA,StateOfMassachusettsJurisdiction,isIncorporatedIn
,,owl#versionIRI
WellsFargoAndCompany-US-DE,UnitedStatesOfAmerica,isDomiciledIn
CitibankNAFDICCertificateNumber,owl#NamedIndividual,22-rdf-syntax-ns#type
PinnacleBankRSSDIdentifier,NationalInformationCenterRepository,isRegisteredIn
BankOfNewYorkMellonCorporationAddress,PhysicalAddress,22-rdf-syntax-ns#type
BNYMellonNationalAssociation,"BNY Mellon, National Association functional entity that is a state-chartered bank and a member of the Federal Reserve based in New York",core#definition
BNYMellonNationalAssociationDateInsured,1934-01-01,hasDateValue
BankOfNewYorkMellonCorporationAddress,Bank of New York Mellon Corporation address,rdf-schema#label
TheProctorAndGambleCompanyLegalEntityIdentifierRegistryEntry,owl#NamedIndividual,22-rdf-syntax-ns#type
PinnacleBankLegalAddress,ConventionalStreetAddress,22-rdf-syntax-ns#type
JPMorganChaseBankNationalAssociationBusinessEntityIdentifier,"JPMorgan Chase Bank, National Association business entity identifier",rdf-schema#label
TheCoca-ColaCompanyBusinessPartySuffix,BusinessPartySuffix,22-rdf-syntax-ns#type
JPMorganChaseBankNationalAssociationBusinessIdentifierCode,JPMorganChaseBankNationalAssociation-US-OH,identifies
WellsFargoAndCompany-US-DE,Wells Fargo & Company US-DE,rdf-schema#label
StateStreetBankAndTrustCompanyBusinessIdentifierCode,StateStreetBankAndTrustCompanyBusinessPartySuffix,comprises
CiticorpLLCRegistrationDate,2005-01-13,hasDateValue
StateStreetBankAndTrustCompany-US-MA,CorporationTrustCompany,hasLegalAgent
TheProctorAndGambleCompanyCorporateAddress,UnitedStatesOfAmerica,hasCountry
JPMorganChaseAndCoRSSDIdentifier,JPMorgan Chase & Co. RSSD identifier,rdf-schema#label
JPMorganChaseAndCoBusinessIdentifierCode,US,comprises
TheProctorAndGambleCompanyBusinessPartyPrefix,business party prefix for The Proctor & Gamble Company,core#definition
CitiCardsSouthDakotaAcceptanceCorp-US-DE,CitigroupInc,hasDomesticUltimateParent
TheProctorAndGambleCompanyDateEstablished,owl#NamedIndividual,22-rdf-syntax-ns#type
StateStreetCorporationRSSDIdentifier,owl#NamedIndividual,22-rdf-syntax-ns#type
StateStreetBankAndTrustCompanyDateEstablished,owl#NamedIndividual,22-rdf-syntax-ns#type
BNYMellonNationalAssociation-US-DE,"Mellon Bank, N.A.",hasPriorLegalName
