source_id,target_id,relationship
BloombergBusinessEntityIdentifier,owl#NamedIndividual,22-rdf-syntax-ns#type
DTCC-US-DE,DepositoryTrustCompany,hasSubsidiary
ThomsonReutersHeadquartersAddress-US,ConventionalStreetAddress,22-rdf-syntax-ns#type
BloombergFinanceLPLegalEntityIdentifierRegistryEntry,2012-12-06T20:55:22.718000,hasInitialRegistrationDate
DTCRSSDIdentifier,RSSD identifier for The Depository Trust Company,rdf-schema#label
ThomsonReuters,Thomson Reuters,rdf-schema#label
ICEBenchmarkAdministration,,rdf-schema#isDefinedBy
DTCFDICCertificateNumber,FDIC certificate number for The Depository Trust Company,core#definition
BloombergFinanceLPAsLocalOperatingUnit,owl#NamedIndividual,22-rdf-syntax-ns#type
DTCCLegalAddress,10041,hasPostalCode
GlobalLEIIndex,Global LEI Index,rdf-schema#label
BloombergFinanceLPLegalEntityIdentifierRegistryEntry,owl#NamedIndividual,22-rdf-syntax-ns#type
ThomsonReutersHeadquartersAddress-CA,Canada,hasCountry
DTCCLegalAddress,The Depository Trust & Clearing Corporation legal address,rdf-schema#label
BloombergLP-US-DE,BloombergDateEstablished,hasDateEstablished
BloombergBusinessEntityIdentifier,DelawareBusinessEntitiesRegistry,isRegisteredIn
BloombergLPRSSDIdentifier,owl#NamedIndividual,22-rdf-syntax-ns#type
IntercontinentalExchange,"Intercontinental Exchange functional entity, which owns exchanges for financial and commodity markets, and operates 23 regulated exchanges and marketplaces",core#definition
IntercontinentalExchange,owl#NamedIndividual,22-rdf-syntax-ns#type
IntercontinentalExchangeHeadquartersAddress,3rd Floor,hasAddressLine2
ThomsonReutersCorporation,"Thomson Reuters legal entity, founded in Toronto with operating headquarters in New York that is both a Canadian and U.S. entity listed on both the Toronto Stock Exchange and New York Stock Exchange",core#definition
SPGlobalHeadquartersAddress,NewYork,hasSubdivision
IntercontinentalExchangeLegalEntityIdentifierRegistryEntry,owl#NamedIndividual,22-rdf-syntax-ns#type
L-MLDY5N6PZ58ZE60QU102-LEI,owl#NamedIndividual,22-rdf-syntax-ns#type
GlobalMarketsEntityIdentifierRegistry,,rdf-schema#isDefinedBy
L-MLDY5N6PZ58ZE60QU102-LEI,legal entity identifier for The Depository Trust & Clearing Corporation,core#definition
ICEBenchmarkAdministration,IntercontinentalExchange,isManagedBy
DepositoryTrustAndClearingCorporation,DTCC,abbreviation
ThomsonReutersHeadquartersAddress-US,UnitedStatesOfAmerica,hasCountry
ThomsonReutersCorporation,ThomsonReutersHeadquartersAddress-US,hasHeadquartersAddress
BloombergHeadquartersAddress,headquarters address for Bloomberg L.P.,core#definition
DTCRTN,DepositoryTrustCompany,identifies
L-549300B56MD0ZC402L06-LEI,BloombergLP-US-DE,identifies
L-549300B56MD0ZC402L06-LEI,LegalEntityIdentifier,22-rdf-syntax-ns#type
SPGlobalBusinessEntityIdentifier,NewYorkBusinessEntitiesRegistry,isRegisteredIn
ThomsonReutersLegalEntityIdentifierRegistryEntry,2022-11-17T18:01:00,hasRenewalDate
BloombergLEIRegistry,Bloomberg LEI registry,rdf-schema#label
DTCCINCBusinessEntityIdentifier,owl#NamedIndividual,22-rdf-syntax-ns#type
FederalReserveBankOfNewYorkLegalEntityIdentifierRegistryEntry,2021-07-20T17:18:41.850000,hasRegistrationRevisionDate
FederalReserveBankOfNewYorkLegalEntityIdentifierRegistryEntry,legal entity identifier for the Federal Reserve Bank of New York,core#definition
IntercontinentalExchangeHeadquartersAddress,30328,hasPostalCode
BloombergLP-US-DE,Bloomberg L.P. US-DE,rdf-schema#label
L-5493001KJTIIGC8Y1R12-LEI,LegalEntityIdentifier,22-rdf-syntax-ns#type
,,owl#versionIRI
DTCHeadquartersAndLegalAddress,NewYork,hasSubdivision
BloombergFinanceOwnership,owl#NamedIndividual,22-rdf-syntax-ns#type
L-5493001KJTIIGC8Y1R12-LEI,5493001KJTIIGC8Y1R12,hasTag
SPGlobalBusinessEntityIdentifier,SPGlobalInc-US-NY,identifies
BloombergHeadquartersAddress,Bloomberg headquarters address,rdf-schema#label
DTCCINCBusinessEntityIdentifier,DelawareBusinessEntitiesRegistry,isRegisteredIn
DTCCHeadquartersAddress,owl#NamedIndividual,22-rdf-syntax-ns#type
SPGlobal,S&P Global,rdf-schema#label
ThomsonReutersHeadquartersAddress-CA,Ontario,hasSubdivision
ThomsonReutersLegalAddress,333 Bay Street,hasAddressLine2
,"USFinancialServicesEntitiesIndividuals.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",core#changeNote
DepositoryTrustCompanyOwnership,100,hasOwnershipPercentage
L-549300NOPSIMGJNT8J31-LEI,549300NOPSIMGJNT8J31,hasTag
BloombergFinanceBusinessEntityIdentifier,Delaware Division of Corporations business entity identifier for Bloomberg Finance L.P.,core#definition
SPGlobalDateEstablished,S&P Global date established,rdf-schema#label
SPGlobalInc-US-NY,S&P Global Inc. US-NY,rdf-schema#label
BloombergLEIRegistry,lei.bloomberg.com,rdf-schema#seeAlso
CorporationServiceCompanyEntityIdentifierRegistryEntry,2022-09-09T12:59:00,hasRenewalDate
CorporationServiceCompanyEntityIdentifierRegistryEntry,L-549300NOPSIMGJNT8J31-LEI,comprises
ThomsonReutersHeadquartersAddress-US,owl#NamedIndividual,22-rdf-syntax-ns#type
L-549300HBJLRO8YFMI370-LEI,DTC-US-NY,identifies
DepositoryTrustCompany,owl#NamedIndividual,22-rdf-syntax-ns#type
IntercontinentalExchangeHeadquartersAddress,ConventionalStreetAddress,22-rdf-syntax-ns#type
BloombergFinanceLP,Bloomberg Finance L.P.,rdf-schema#label
,USFinancialServicesEntitiesIndividuals.rdf version of this ontology was revised to make incorporation and registration dates explicit and to replace references to the legacy LCC UnitedStates country representation with UnitedStatesOfAmerica.,core#changeNote
IntercontinentalExchangeInc-US-DE,owl#NamedIndividual,22-rdf-syntax-ns#type
ThomsonReutersHeadquartersAddress-CA,Bay Adelaide Centre,hasAddressLine1
L-5493000F4ZO33MV32P92-LEI,LegalEntityIdentifier,22-rdf-syntax-ns#type
IntercontinentalExchangeDateEstablished,2000-05-11,hasDateValue
DepositoryTrustCompanyOwnership,DirectConsolidation,22-rdf-syntax-ns#type
BloombergFinanceLPLegalEntityIdentifierRegistryEntry,L-5493001KJTIIGC8Y1R12-LEI,comprises
L-Y6X4K52KMJMZE7I7MY94-LEI,"S&P Global, Inc. legal entity identifier",rdf-schema#label
ThomsonReutersCorporation,ThomsonReutersLegalAddress,hasLegalAddress
DTCCLegalEntityIdentifierRegistryEntry,legal entity identifier registry entry for The Depository Trust & Clearing Corporation,core#definition
DTCRSSDIdentifier,owl#NamedIndividual,22-rdf-syntax-ns#type
IntercontinentalExchangeInc-US-DE,"Intercontinental Exchange, Inc. US-DE",rdf-schema#label
IntercontinentalExchangeBusinessEntityIdentifier,RegistrationIdentifier,22-rdf-syntax-ns#type
DTCCHeadquartersAddress,,rdf-schema#isDefinedBy
IntercontinentalExchangeInc-US-DE,StockCorporation,22-rdf-syntax-ns#type
L-5493000F4ZO33MV32P92-LEI,legal entity identifier for Intercontinental Exchange,core#definition
DTCFDICCertificateNumber,owl#NamedIndividual,22-rdf-syntax-ns#type
IntercontinentalExchangeDateRegistered,ExplicitDate,22-rdf-syntax-ns#type
BloombergFinanceLP-US-DE,,rdf-schema#seeAlso
IntercontinentalExchangeBusinessEntityIdentifier,,rdf-schema#isDefinedBy
DTCLegalEntityIdentifierRegistryEntry,IssuedStatus,hasRegistrationStatus
BloombergFinanceLPAsLocalOperatingUnit,BloombergLEIRegistry,manages
L-549300NOPSIMGJNT8J31-LEI,LegalEntityIdentifier,22-rdf-syntax-ns#type
SPGlobalHeadquartersAddress,"headquarters address for S&P Global, as represented in the New York Division of Corporations repository",core#definition
BloombergFinanceLP-US-DE,CorporationServiceCompany,hasLegalAgent
DTCFDICCertificateNumber,90544,hasTag
DTCC-US-DE,owl#NamedIndividual,22-rdf-syntax-ns#type
SPGlobalInc-US-NY,S&P Global Inc.,hasLegalName
BloombergLEIRegistry,LegalEntityIdentifierRegistry,22-rdf-syntax-ns#type
CorporationServiceCompanyEntityIdentifierRegistryEntry,LegalEntityIdentifierRegistryEntry,22-rdf-syntax-ns#type
ThomsonReutersDateEstablished,owl#NamedIndividual,22-rdf-syntax-ns#type
BloombergLP-US-DE,,rdf-schema#seeAlso
ThomsonReutersHeadquartersAddress-CA,owl#NamedIndividual,22-rdf-syntax-ns#type
SPGlobalHeadquartersAddress,New_York,hasMunicipality
DTCCHeadquartersAddress,NewJersey,hasSubdivision
BloombergLP,owl#NamedIndividual,22-rdf-syntax-ns#type
ICEBenchmarkAdministration,ICE Benchmark Administration,rdf-schema#label
BloombergLP,RegistrationAuthority,22-rdf-syntax-ns#type
BloombergDateEstablished,ExplicitDate,22-rdf-syntax-ns#type
DTCRSSDIdentifier,,rdf-schema#isDefinedBy
DTCCLegalAddress,19th Floor,hasAddressLine3
ThomsonReutersLegalAddress,Ontario,hasSubdivision
SPGlobalDateEstablished,date that S&P Global was established,core#definition
SPGlobalLegalEntityIdentifierRegistryEntry,2021-09-23T02:31:00,hasRegistrationRevisionDate
DTCFDICCertificateNumber,,rdf-schema#isDefinedBy
,"USFinancialServicesEntitiesIndividuals.rdf version of this ontology was revised to replace uses of hasTag in Relations with hasTag from LCC, as the more complex union of datatypes in the Relations concept is not needed here.",core#changeNote
ThomsonReutersHeadquartersAddress-CA,333 Bay Street,hasAddressLine2
BloombergFinanceLPAsLocalOperatingUnit,Bloomberg Finance L.P. as local operating unit,rdf-schema#label
BloombergLP,BloombergLP-US-DE,isPlayedBy
L-MLDY5N6PZ58ZE60QU102-LEI,DTCC-US-DE,identifies
ThomsonReutersHeadquartersAddress-US,Thomson Reuters headquarters address,rdf-schema#label
DTCHeadquartersAndLegalAddress,ConventionalStreetAddress,22-rdf-syntax-ns#type
DTCLegalEntityIdentifierRegistryEntry,2022-11-02T18:50:00,hasRenewalDate
GlobalMarketsEntityIdentifierRegistry,Global Markets Entity Identifier (GMEI) registry. The GMEI utility is a pre-Local Operating Unit of the Global Legal Entity Identifier System (GLEIS).,core#definition
IntercontinentalExchangeHeadquartersAddress,UnitedStatesOfAmerica,hasCountry
SPGlobalBusinessEntityIdentifier,S&P Global Inc. business entity identifier,rdf-schema#label
L-549300561UZND4C7B569-LEI,owl#NamedIndividual,22-rdf-syntax-ns#type
BloombergLPLegalEntityIdentifierRegistryEntry,L-549300B56MD0ZC402L06-LEI,comprises
DTCCINCBusinessEntityIdentifier,Delaware Department of Corporations business entity identifier for The Depository Trust & Clearing Corporation,core#definition
GlobalLEIIndex,LegalEntityIdentifierRegistry,22-rdf-syntax-ns#type
DTCRTN,owl#NamedIndividual,22-rdf-syntax-ns#type
BloombergLP-US-DE,BloombergFinanceLP,hasSubsidiary
DepositoryTrustCompany,RegistrationAuthority,22-rdf-syntax-ns#type
BloombergLPRSSDIdentifier,NationalInformationCenterRepository,isRegisteredIn
IntercontinentalExchangeBusinessEntityIdentifier,"Intercontinental Exchange, Inc. business entity identifier",rdf-schema#label
IntercontinentalExchangeInc-US-DE,"Intercontinental Exchange, Inc.",hasLegalName
DTC-US-NY,DTCC-US-DE,hasDirectOwningEntity
BloombergLP,,rdf-schema#isDefinedBy
ICEBenchmarkAdministration,IBA,abbreviation
DTCRSSDIdentifier,52719,hasTag
DepositoryTrustAndClearingCorporation,,rdf-schema#isDefinedBy
,USFinancialServicesEntitiesIndividuals.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,core#changeNote
BloombergBusinessEntityIdentifier,Bloomberg L.P. business entity identifier,rdf-schema#label
DTCHeadquartersAndLegalAddress,UnitedStatesOfAmerica,hasCountry
L-549300B56MD0ZC402L06-LEI,legal entity identifier for Bloomberg L.P.,core#definition
DTCCLegalEntityIdentifierRegistryEntry,2012-06-06T15:50:00,hasInitialRegistrationDate
BloombergFinanceOwnership,"entity ownership context for Bloomberg Finance, a wholly owned subsidiary of Bloomberg L.P.",core#definition
L-254900Y8NKGV541U8Q32-LEI,Federal Reserve Bank of New York legal entity identifier,rdf-schema#label
BloombergFinanceBusinessEntityIdentifier,owl#NamedIndividual,22-rdf-syntax-ns#type
CorporationServiceCompanyEntityIdentifierRegistryEntry,owl#NamedIndividual,22-rdf-syntax-ns#type
SPGlobalInc-US-NY,,rdf-schema#seeAlso
BloombergLPRSSDIdentifier,Federal Reserve RSSD identifier for Bloomberg L.P. as a data processing servicer,core#definition
FederalReserveBankOfNewYorkLegalEntityIdentifierRegistryEntry,IssuedStatus,hasRegistrationStatus
IntercontinentalExchangeDateRegistered,"date that Intercontinental Exchange, Inc. was registered as a legal entity with the Delaware Division of Corporations",core#definition
SPGlobalInc-US-NY,"McGraw Hill Financial, Inc.",wasFormerlyKnownAs
BloombergFinanceLPLegalEntityIdentifierRegistryEntry,EntityValidationLevelFullyCorroborated,hasValidationLevel
IntercontinentalExchangeHeadquartersAddress,Georgia,hasSubdivision
BloombergLP,"Bloomberg L.P. functional entity, which is a global business and financial information services and news provider as well as a FIGI registration authority",core#definition
BloombergHeadquartersAddress,owl#NamedIndividual,22-rdf-syntax-ns#type
DTCLegalEntityIdentifierRegistryEntry,DTC legal entity identifier registry entry,rdf-schema#label
BloombergBusinessEntityIdentifier,RegistrationIdentifier,22-rdf-syntax-ns#type
DTC-US-NY,Depository Trust Company,hasLegalName
L-549300HBJLRO8YFMI370-LEI,LegalEntityIdentifier,22-rdf-syntax-ns#type
DTCCLegalAddress,,rdf-schema#isDefinedBy
SPGlobalDateEstablished,ExplicitDate,22-rdf-syntax-ns#type
BloombergFinanceLP-US-DE,Bloomberg Finance L.P. US-DE,rdf-schema#label
BloombergLP,FinancialServiceProvider,22-rdf-syntax-ns#type
IntercontinentalExchangeInc-US-DE,IntercontinentalExchangeDateEstablished,hasDateEstablished
DepositoryTrustAndClearingCorporation,FinancialServiceProvider,22-rdf-syntax-ns#type
BloombergLP-US-DE,Bloomberg L.P. legal entity that is a Delaware Limited Partnership,core#definition
SPGlobalLegalEntityIdentifierRegistryEntry,L-Y6X4K52KMJMZE7I7MY94-LEI,comprises
DTC-US-NY,DTCHeadquartersAndLegalAddress,hasLegalAddress
GlobalLEIIndex,"Global LEI Index registry, which contains historical and current LEI records including related reference data in one authoritative, central repository",core#definition
ThomsonReutersHeadquartersAddress-CA,Canadian headquarters address for Thomson Reuters Corporation,core#definition
BloombergFinanceLP-US-DE,Bloomberg Finance L.P.,hasLegalName
IntercontinentalExchangeBusinessEntityIdentifier,"Delaware Division of Corporations business entity identifier for Intercontinental Exchange, Inc.",core#definition
DepositoryTrustCompanyOwnership,DTC-US-NY,hasOwnedEntity
,owl#Ontology,22-rdf-syntax-ns#type
L-549300561UZND4C7B569-LEI,legal entity identifier for Thomson Reuters Corporation,core#definition
ThomsonReutersHeadquartersAddress-US,3 Times Square,hasAddressLine1
DTCRTN,Routing Transit Number (RTN) for the Depository Trust Company (DTC),core#definition
BloombergFinanceDateEstablished,2007-06-05,hasDateValue
L-254900Y8NKGV541U8Q32-LEI,BloombergFinanceLPAsLocalOperatingUnit,isRegisteredBy
L-549300NOPSIMGJNT8J31-LEI,legal entity identifier for the Corporation Service Company,core#definition
,USFinancialServicesEntitiesIndividuals.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
BloombergLPRSSDIdentifier,,rdf-schema#isDefinedBy
,USFinancialServicesEntitiesIndividuals.rdf version of this ontology was modified to reflect revisions to the GLEIF LEI representation for validation level.,core#changeNote
DepositoryTrustAndClearingCorporation,DTCC-US-DE,isPlayedBy
SPGlobal,,rdf-schema#isDefinedBy
BloombergFinanceDateEstablished,,rdf-schema#isDefinedBy
DTCCLegalEntityIdentifierRegistryEntry,LegalEntityIdentifierRegistryEntry,22-rdf-syntax-ns#type
BloombergLPRSSDIdentifier,ResearchStatisticsSupervisionDiscountIdentifier,22-rdf-syntax-ns#type
BloombergLPLegalEntityIdentifierRegistryEntry,2012-12-06T21:00:04.761000,hasInitialRegistrationDate
DepositoryTrustAndClearingCorporation,The Depository Trust & Clearing Corporation,rdf-schema#label
BloombergLPLegalEntityIdentifierRegistryEntry,LegalEntityIdentifierRegistryEntry,22-rdf-syntax-ns#type
BloombergLPLegalEntityIdentifierRegistryEntry,2022-01-25T16:50:01.379000,hasRenewalDate
DTCCLegalEntityIdentifierRegistryEntry,L-MLDY5N6PZ58ZE60QU102-LEI,comprises
BloombergFinanceLP,"Bloomberg Finance L.P. functional entity, which is the professional services and financial data management part of the Bloomberg organization",core#definition
BloombergBusinessEntityIdentifier,BloombergLP-US-DE,identifies
ThomsonReuters,owl#NamedIndividual,22-rdf-syntax-ns#type
DTCCINCBusinessEntityIdentifier,RegistrationIdentifier,22-rdf-syntax-ns#type
BloombergLP-US-DE,owl#NamedIndividual,22-rdf-syntax-ns#type
FederalReserveBankOfNewYorkLegalEntityIdentifierRegistryEntry,2022-06-28T20:23:33.650000,hasRenewalDate
BloombergBusinessEntityIdentifier,,rdf-schema#isDefinedBy
L-254900Y8NKGV541U8Q32-LEI,owl#NamedIndividual,22-rdf-syntax-ns#type
DTCHeadquartersAndLegalAddress,10041,hasPostalCode
DTCC-US-DE,DTCCHeadquartersAddress,hasHeadquartersAddress
BloombergFinanceDateEstablished,Bloomberg Finance L.P. date established,rdf-schema#label
,USFinancialServicesEntitiesIndividuals.rdf version of this ontology was revised to improve the representation of some of the LEI data.,core#changeNote
BloombergFinanceOwnership,DirectConsolidation,22-rdf-syntax-ns#type
DTCRTN,The Depository Trust Company RTN,rdf-schema#label
BloombergLEIRegistry,owl#NamedIndividual,22-rdf-syntax-ns#type
ThomsonReutersCorporation,ThomsonReutersHeadquartersAddress-CA,hasHeadquartersAddress
,"Copyright (c) 2017-2024 EDM Council, Inc.",copyright
