source_id,target_id,relationship
UnitedAgentGroupInc-US-NY-BusinessEntityIdentifier,New York Department of State Division of Corporations business entity identifier for the United Agent Group Inc.,core#definition
NYSEArcaHoldings,FinancialServiceProvider,22-rdf-syntax-ns#type
NewYorkStockExchange,owl#NamedIndividual,22-rdf-syntax-ns#type
ChicagoBoardOptionsExchangeDateEstablished,owl#NamedIndividual,22-rdf-syntax-ns#type
NYSEGroupDateEstablished,"the date that NYSE Group, Inc. was established",core#definition
NYSEAmericanOptionsBusinessEntityIdentifier,DelawareBusinessEntitiesRegistry,isRegisteredIn
NYSEAmericanOptions,UnitedStatesOfAmerica,operatesInCountry
CBOEGlobalMarketsInc-US-DE,CBOEGlobalMarketsHeadquartersAddress,hasHeadquartersAddress
NewYorkStockExchangeHeadquartersAddress,ConventionalStreetAddress,22-rdf-syntax-ns#type
NYSEArcaDateEstablished,the date that NYSE Arca was established,core#definition
NYSEArcaAsServiceProvider,NYSEArcaInc-US-DE,isPlayedBy
NewYorkStockExchange,NYSE,hasFacilityAcronym
CBOEGlobalMarketsInc-US-DE,,rdf-schema#seeAlso
NYSEAmericanOptionsBusinessEntityIdentifier,NYSEAmericanOptionsLLC-US-DE,identifies
NYSEArca,NYSEArcaDateEstablished,hasDateEstablished
CBOEGlobalMarketsBusinessEntityIdentifier,4205301,hasTag
NYSEArca,UnitedStatesOfAmerica,operatesInCountry
NYSEDark,NewYorkStockExchange,isPartOf
ChicagoBoardOptionsExchangeAsServiceProvider,"Chicago Board Options Exchange (CBOE) in its role as a financial service provider and holding company, which is one of the world's largest exchange holding companies, offering cutting-edge trading and investment solutions to investors around the world. CBOE offers trading across a diverse range of products in multiple asset classes and geographies, including options, futures, U.S. and European equities, exchange-traded products (ETPs), global foreign exchange (FX), and multi-asset volatility products. Our trading venues include the largest options exchange in the U.S. and the largest stock exchange by value traded in Europe. In addition, the company is the second-largest stock exchange operator in the U.S. and a leading market globally for ETP trading.",core#definition
NewYorkStockExchangeLLC-US-NY,NewYorkStockExchangeHeadquartersAddress,hasHeadquartersAddress
NYSEHoldingsDateEstablished,2012-12-12,hasDateValue
NYSEGroupDateEstablished,owl#NamedIndividual,22-rdf-syntax-ns#type
NewYorkStockExchangeLLCDateEstablished,date that the New York Stock Exchange LLC was established as a New York limited liability company,core#definition
NewYorkStockExchangeLLCBusinessEntityIdentifier,RegistrationIdentifier,22-rdf-syntax-ns#type
NYSEHoldingsLLC-US-DE,PrivateCompanyWithLimitedLiability,22-rdf-syntax-ns#type
UnitedAgentGroupInc-US-NY-BusinessEntityIdentifier,NewYorkBusinessEntitiesRegistry,isRegisteredIn
NYSEAmericanOptionsAsServiceProvider,"NYSE (New York Stock Exchange) American Options functional entity that operates an options trading platform under the name AMEX options exchange, facilitating trading of options on domestic stocks; American depository receipts; broad-based, industry sector, and international indexes; exchange traded funds; HOLDRS; LEAPS; and equity and index FLEX options",core#definition
NYSEGroupInc-US-DE,"NYSE Group, Inc.",hasLegalName
NYSEHoldings,NYSEHoldingsLLC-US-DE,isPlayedBy
NewYorkStockExchangeLLCBusinessEntityIdentifier,New York Stock Exchange LLC business entity identifier,rdf-schema#label
,,owl#versionIRI
NewYorkStockExchange,New York Stock Exchange operating-level market founded in 1792 that is a market place for trading of common stock and other securities,core#definition
NYSEArcaHoldingsBusinessEntityIdentifier,"NYSE Arca Holdings, Inc. business entity identifier",rdf-schema#label
NYSEGroupInc-US-DE,NewYorkStockExchangeHeadquartersAddress,hasHeadquartersAddress
NYSEAmericanOptions,NYSE American Options,rdf-schema#label
NYSEArcaHoldingsIncDateEstablished,"date that NYSE Arca Holdings, Inc. was established as a Delaware corporation",core#definition
NewYorkStockExchangeDateEstablished,New York Stock Exchange date established,rdf-schema#label
,USMarketsAndExchangesIndividuals.rdf version of this ontology was revised to replace references to the legacy LCC UnitedStates country representation with UnitedStatesOfAmerica.,core#changeNote
CBOEGlobalMarketsInc-US-DE,"the CBOE Global Markets, Inc. legal entity that is a Delaware corporation",core#definition
ChicagoBoardOptionsExchangeAsServiceProvider,DeJureControllingInterestParty,22-rdf-syntax-ns#type
NYSEArcaBusinessEntityIdentifier,NYSEArcaInc-US-DE,identifies
NewYorkStockExchangeLLC-US-NY,NewYorkStockExchangeLLCDateEstablished,hasDateEstablished
UnitedAgentGroupInc-US-NY,owl#NamedIndividual,22-rdf-syntax-ns#type
NewYorkStockExchangeHeadquartersAddress,UnitedStatesOfAmerica,hasCountry
UnitedAgentGroupInc-US-NY,"United Agent Group Inc. legal entity, registered in New York, that provides registered agent and incorporation services",core#definition
NYSEHoldings,FinancialServiceProvider,22-rdf-syntax-ns#type
UnitedAgentGroupInc-US-NY-HeadquartersAddress,PhysicalAddress,22-rdf-syntax-ns#type
NewYorkStockExchangeAsServiceProvider,owl#NamedIndividual,22-rdf-syntax-ns#type
UnitedAgentGroup-Delaware,AgentForServiceOfProcess,22-rdf-syntax-ns#type
NewYorkStockExchangeLLCDateEstablished,owl#NamedIndividual,22-rdf-syntax-ns#type
