source_id,target_id,relationship
Nd98ae275b8c541e5aaca0b4ea261e23e,isClassifiedBy,owl#onProperty
N48fab1c5295a4956b681edc5537917e6,isClassifiedBy,owl#onProperty
Nc7876ef6b2d147c4b5b90b53986fbe49,NICEntityTypeClassifier-NTC,owl#hasValue
NICEntityTypeClassifier-TWG,NICEntityTypeClassifier,22-rdf-syntax-ns#type
SavingsLoanAssociation,owl#Class,22-rdf-syntax-ns#type
NICEntityTypeClassifier-SCU,NICEntityTypeClassifier,22-rdf-syntax-ns#type
N5100c32b758e48ca8ad81b5bd1250724,owl#Restriction,22-rdf-syntax-ns#type
NICEntityTypeClassifier-EDI,owl#NamedIndividual,22-rdf-syntax-ns#type
Ndeff89889329454a8d90a65b037369fd,NICEntityTypeClassifier-UFB,owl#hasValue
N1ff349be8e2b424b9acf298d5f3d5ded,NICEntityTypeClassifier-NMB,owl#hasValue
Nb0d91a71d2c043618ca7dfb8fb49f10a,isClassifiedBy,owl#onProperty
NICEntityTypeClassifier-IBK,NICEntityTypeClassifier,22-rdf-syntax-ns#type
NICEntityTypeClassifier-MTC,term and code for a Non-deposit Trust Company - Member,core#definition
NICEntityTypeClassifier-EDB,NIC entity type classifier - EDB,rdf-schema#label
NICEntityTypeClassifier-USA,NICEntityTypeClassifier,22-rdf-syntax-ns#type
NICEntityTypeClassifier-DPS,NICEntityTypeClassifier,22-rdf-syntax-ns#type
NICEntityTypeClassifier-FBO,FBO,hasTextValue
N420325efa5c74a16b952c24cdbe17564,NICEntityTypeClassifier-UFA,owl#hasValue
NICEntityTypeClassifier-ISB,ISB,hasTextValue
NICEntityTypeClassifier-PST,PST,hasTextValue
NICEntityTypeClassifier-SAL,NICEntityTypeClassifier,22-rdf-syntax-ns#type
N1d118a2609a143fcaf9d7d5365a90b63,owl#Restriction,22-rdf-syntax-ns#type
NICEntityTypeClassifier-IHC,owl#NamedIndividual,22-rdf-syntax-ns#type
N1e08f47b2cf64ca8ae91643a9421b6b6,owl#Restriction,22-rdf-syntax-ns#type
NICEntityTypeClassifier-DPS,DPS,hasTextValue
NICEntityTypeClassifier-FBH,owl#NamedIndividual,22-rdf-syntax-ns#type
N48fab1c5295a4956b681edc5537917e6,NICEntityTypeClassifier-FNC,owl#hasValue
NICEntityTypeClassifier-NYI,term and code for a New York Investment Company,core#definition
NationalBank,owl#Class,22-rdf-syntax-ns#type
N80875dcef33641098c8af720534736bb,isClassifiedBy,owl#onProperty
N6aa64c4da26840bf8395d7fb4259c372,owl#Restriction,22-rdf-syntax-ns#type
N65a61db0a1e14e4ea10573d9ccbbeba8,isMemberOf,owl#onProperty
StateCreditUnion,Nfee67e7c106346019dac0c7463dab58d,rdf-schema#subClassOf
Nd6953d68f0444c5cb24a42eefd154595,isClassifiedBy,owl#onProperty
NICEntityTypeClassifier-DBR,owl#NamedIndividual,22-rdf-syntax-ns#type
NICEntityTypeClassifier-IFB,NICEntityTypeClassifier,22-rdf-syntax-ns#type
NICEntityTypeClassifier-FSB,FSB,hasTextValue
NICEntityTypeClassifier-SBD,NICEntityTypeClassifier,22-rdf-syntax-ns#type
NICEntityTypeClassifier-DEO,NICEntityTypeClassifier,22-rdf-syntax-ns#type
NICEntityTypeClassifier-SLHC,NICEntityTypeClassifier,22-rdf-syntax-ns#type
NICEntityTypeClassifier-FCU,NIC entity type classifier - FCU,rdf-schema#label
Ned369f135bd84f209f9028f976caeead,owl#Restriction,22-rdf-syntax-ns#type
StateSavingsBank,N8ae717cc376342ecb13d2073c8c50684,rdf-schema#subClassOf
,,owl#versionIRI
Nc7876ef6b2d147c4b5b90b53986fbe49,owl#Restriction,22-rdf-syntax-ns#type
N9a40b52d7d434399a777d526f7e7f874,owl#Restriction,22-rdf-syntax-ns#type
NICEntityTypeClassifier-IHC,NIC entity type classifier - IHC,rdf-schema#label
NICEntityTypeClassifier-CPB,NICEntityTypeClassifier,22-rdf-syntax-ns#type
ForeignBranchOfUSBank,Ncb5e6e0522ce48bf816def26a617544a,rdf-schema#subClassOf
AgreementCorporation-Banking,N319f44ac68c24ea8b52454974fbaf4b8,rdf-schema#subClassOf
NICEntityTypeClassifier-SCU,term and code for a State Credit Union,core#definition
NICEntityTypeClassifier-BHC,BCH,hasTextValue
N46e37e488ca6481982a11330a9ece056,isClassifiedBy,owl#onProperty
NICEntityTypeClassifier-UFB,NIC entity type classifier - UFB,rdf-schema#label
StateCreditUnion,owl#Class,22-rdf-syntax-ns#type
N7bff2ef41c05400fac8ca16190912d97,classifies,owl#onProperty
NICEntityTypeClassifier-FEO,FEO,hasTextValue
NICEntityTypeClassifier-FBK,term and code for a Foreign Bank,core#definition
IntermediateHoldingCompany,N0190791a3ddf4ff196063f0c81f0f2e3,rdf-schema#subClassOf
NICEntityTypeClassifier-FNC,NIC entity type classifier - FNC,rdf-schema#label
CooperativeBank,N038d278ac80a48a28913a07b207d569c,rdf-schema#subClassOf
Nf9a51033d2d34875ba2476cb3c54c650,owl#Restriction,22-rdf-syntax-ns#type
N319f44ac68c24ea8b52454974fbaf4b8,NICEntityTypeClassifier-AGB,owl#hasValue
NICEntityTypeClassifier-CPB,term and code for a Cooperative Bank,core#definition
NICEntityTypeClassifier-BHC,NIC entity type classifier - BHC,rdf-schema#label
N5100c32b758e48ca8ad81b5bd1250724,NICEntityTypeClassifier-USA,owl#hasValue
NICEntityTypeClassifier-IBK,term and code for a International Bank of a U.S. Depository - Edge or Trust Co.,core#definition
Nb44ac2d091e04f54a87823b73792e5f3,NICEntityTypeClassifier-EBR,owl#hasValue
NICEntityTypeClassifier-UFA,owl#NamedIndividual,22-rdf-syntax-ns#type
N78b415380e7648aba1cb26a19db398d3,isClassifiedBy,owl#onProperty
N341a2505872a427ba6b6f5be785b1b42,NICEntityTypeClassifier-PST,owl#hasValue
NICEntityTypeClassifier-NTC,owl#NamedIndividual,22-rdf-syntax-ns#type
Nfee67e7c106346019dac0c7463dab58d,NICEntityTypeClassifier-SCU,owl#hasValue
NICEntityTypeClassifier-DEO,owl#NamedIndividual,22-rdf-syntax-ns#type
N1d118a2609a143fcaf9d7d5365a90b63,NICEntityTypeClassifier-NYI,owl#hasValue
Na43dd257a06f4b828734e00d4fe46f69,NICEntityTypeClassifier-FBO,owl#hasValue
InternationalBankOfUSDepositoryEdgeTrustCompany,Nba164bcae59d4944ba6d8d4a1848567a,rdf-schema#subClassOf
NICEntityTypeClassifier-FEO,NIC entity type classifier - FEO,rdf-schema#label
NonDepositoryTrustCompany-NonMemberInstitution,Nc7876ef6b2d147c4b5b90b53986fbe49,rdf-schema#subClassOf
NICEntityTypeClassifier-USA,term and code for an Uninsured State Agency of an FBO,core#definition
Nba164bcae59d4944ba6d8d4a1848567a,isClassifiedBy,owl#onProperty
N8ae717cc376342ecb13d2073c8c50684,NICEntityTypeClassifier-SSB,owl#hasValue
N811261dd46254e2cb95546bb8d7ed422,owl#Restriction,22-rdf-syntax-ns#type
N038d278ac80a48a28913a07b207d569c,isClassifiedBy,owl#onProperty
FinancialHoldingCompany,owl#Class,22-rdf-syntax-ns#type
AgreementCorporation-Investment,owl#Class,22-rdf-syntax-ns#type
UninsuredFederalBranchOfForeignBankingOrganization,owl#Class,22-rdf-syntax-ns#type
N420325efa5c74a16b952c24cdbe17564,owl#Restriction,22-rdf-syntax-ns#type
N1ff349be8e2b424b9acf298d5f3d5ded,isClassifiedBy,owl#onProperty
NICEntityTypeClassifier-NAT,NICEntityTypeClassifier,22-rdf-syntax-ns#type
NICEntityTypeClassifier-NMB,NICEntityTypeClassifier,22-rdf-syntax-ns#type
N47d83849736743129fd6b88383838c9d,isClassifiedBy,owl#onProperty
NationalInformationCenterClassificationSchemeAndCodeSet,National Information Center (NIC) Classification Scheme And Code Set,rdf-schema#label
NICEntityTypeClassifier-NAT,term and code for a National Bank,core#definition
NICEntityTypeClassifier-AGI,term and code for an Agreement Corporation - Investment,core#definition
NICEntityTypeClassifier-USB,owl#NamedIndividual,22-rdf-syntax-ns#type
NICEntityTypeClassifier-SLHC,SLHC,hasTextValue
ForeignBranchOfForeignBankManagedByUSOffice,Nf37814b0ef0e4c3788e1e551c01c4b89,rdf-schema#subClassOf
Ndeff89889329454a8d90a65b037369fd,owl#Restriction,22-rdf-syntax-ns#type
NationalInformationCenterControlledVocabulary,CodeElement,rdf-schema#subClassOf
Ne0527c51d04747289436de4a1ad7798a,owl#Restriction,22-rdf-syntax-ns#type
NICEntityTypeClassifier-USB,USB,hasTextValue
NICEntityTypeClassifier-AGB,NIC entity type classifier - AGB,rdf-schema#label
NICEntityTypeClassifier-IFB,IFB,hasTextValue
NICEntityTypeClassifier-EDI,NICEntityTypeClassifier,22-rdf-syntax-ns#type
NICEntityTypeClassifier-TWG,TWG,hasTextValue
NICEntityTypeClassifier-REP,term and code for a Representative Office,core#definition
N319f44ac68c24ea8b52454974fbaf4b8,owl#Restriction,22-rdf-syntax-ns#type
N422a6aadba2a48c692bfcdfda46dc3fa,NICEntityTypeClassifier-FEO,owl#hasValue
InsuredStateBranchOfForeignBankingOrganization,Ned369f135bd84f209f9028f976caeead,rdf-schema#subClassOf
Nd98ae275b8c541e5aaca0b4ea261e23e,NICEntityTypeClassifier-DBR,owl#hasValue
NICEntityTypeClassifier-IHC,NICEntityTypeClassifier,22-rdf-syntax-ns#type
NICEntityTypeClassifier,NPW%20Data%20Dictionary.pdf,rdf-schema#isDefinedBy
NICEntityTypeClassifier-FBH,term and code for a Foreign Banking Organization as a Bank Holding Company,core#definition
