id,type,name
ForeignBank,Entity,ForeignBank
NIC entity type classifier - PST,Entity,NIC entity type classifier - PST
term and code for a Representative Office,Entity,term and code for a Representative Office
NICEntityTypeClassifier-PST,Entity,NICEntityTypeClassifier-PST
ForeignBankingOrganizationAsABankHoldingCompany,Entity,ForeignBankingOrganizationAsABankHoldingCompany
term and code for a Foreign Branch of a U.S. Bank,Entity,term and code for a Foreign Branch of a U.S. Bank
N1d118a2609a143fcaf9d7d5365a90b63,Entity,N1d118a2609a143fcaf9d7d5365a90b63
ClassificationScheme,Entity,ClassificationScheme
term and code for an Edge Corporation - Banking,Entity,term and code for an Edge Corporation - Banking
FederalCreditUnion,Entity,FederalCreditUnion
NICEntityTypeClassifier-DPS,Entity,NICEntityTypeClassifier-DPS
SavingsLoanAssociation,Entity,SavingsLoanAssociation
NIC entity type classifier - BHC,Entity,NIC entity type classifier - BHC
NewYorkArticleXIIInvestmentCompany,Entity,NewYorkArticleXIIInvestmentCompany
Nd6953d68f0444c5cb24a42eefd154595,Entity,Nd6953d68f0444c5cb24a42eefd154595
FBH,Entity,FBH
NICEntityTypeClassifier-BHC,Entity,NICEntityTypeClassifier-BHC
Nb0d91a71d2c043618ca7dfb8fb49f10a,Entity,Nb0d91a71d2c043618ca7dfb8fb49f10a
BCH,Entity,BCH
N65a61db0a1e14e4ea10573d9ccbbeba8,Entity,N65a61db0a1e14e4ea10573d9ccbbeba8
InternationalNonBankSubsidiaryOfADomesticEntity,Entity,InternationalNonBankSubsidiaryOfADomesticEntity
owl#Restriction,Entity,owl#Restriction
N4db488e866654dbd9ec03e7e8888eef7,Entity,N4db488e866654dbd9ec03e7e8888eef7
USB,Entity,USB
FCU,Entity,FCU
InsuredFederalBranchOfForeignBankingOrganization,Entity,InsuredFederalBranchOfForeignBankingOrganization
N6aa64c4da26840bf8395d7fb4259c372,Entity,N6aa64c4da26840bf8395d7fb4259c372
term and code for a Data Processing Servicer,Entity,term and code for a Data Processing Servicer
UninsuredStateBranchOfForeignBankingOrganization,Entity,UninsuredStateBranchOfForeignBankingOrganization
REP,Entity,REP
NICEntityTypeClassifier-FHF,Entity,NICEntityTypeClassifier-FHF
AgreementCorporation-Banking,Entity,AgreementCorporation-Banking
NICEntityTypeClassifier-FEO,Entity,NICEntityTypeClassifier-FEO
owl#NamedIndividual,Entity,owl#NamedIndividual
IFB,Entity,IFB
MTC,Entity,MTC
NIC entity type classifier - UFB,Entity,NIC entity type classifier - UFB
Ne0527c51d04747289436de4a1ad7798a,Entity,Ne0527c51d04747289436de4a1ad7798a
N48fab1c5295a4956b681edc5537917e6,Entity,N48fab1c5295a4956b681edc5537917e6
set of controlled vocabularies and codes for describing content managed in the National Information Center (NIC) repository,Entity,set of controlled vocabularies and codes for describing content managed in the National Information Center (NIC) repository
NICEntityTypeClassifier-IFB,Entity,NICEntityTypeClassifier-IFB
CodeSet,Entity,CodeSet
N78b415380e7648aba1cb26a19db398d3,Entity,N78b415380e7648aba1cb26a19db398d3
CodeElement,Entity,CodeElement
NIC entity type classifier - DPS,Entity,NIC entity type classifier - DPS
NICEntityTypeClassifier-NYI,Entity,NICEntityTypeClassifier-NYI
NIC entity type classifier - NAT,Entity,NIC entity type classifier - NAT
NIC entity type classifier - MTC,Entity,NIC entity type classifier - MTC
term and code for a State Savings Bank,Entity,term and code for a State Savings Bank
N0190791a3ddf4ff196063f0c81f0f2e3,Entity,N0190791a3ddf4ff196063f0c81f0f2e3
term and code for a Federal Credit Union,Entity,term and code for a Federal Credit Union
IBK,Entity,IBK
NIC entity type classifier - IBK,Entity,NIC entity type classifier - IBK
USA,Entity,USA
NICEntityTypeClassifier-EDI,Entity,NICEntityTypeClassifier-EDI
DPS,Entity,DPS
FederalReserveSystemNonMemberInstitution,Entity,FederalReserveSystemNonMemberInstitution
NICEntityTypeClassifier-FCU,Entity,NICEntityTypeClassifier-FCU
NICEntityTypeClassifier-EDB,Entity,NICEntityTypeClassifier-EDB
NICEntityTypeClassifier-SAL,Entity,NICEntityTypeClassifier-SAL
NICEntityTypeClassifier-SCU,Entity,NICEntityTypeClassifier-SCU
N341a2505872a427ba6b6f5be785b1b42,Entity,N341a2505872a427ba6b6f5be785b1b42
TWG,Entity,TWG
ForeignEntityOther,Entity,ForeignEntityOther
NIC entity type classifier - TWG,Entity,NIC entity type classifier - TWG
controlled vocabulary and codes for describing the nature of the functional entities managed by the National Information Center (NIC) repository,Entity,controlled vocabulary and codes for describing the nature of the functional entities managed by the National Information Center (NIC) repository
NIC entity type classifier - DEO,Entity,NIC entity type classifier - DEO
isMemberOf,Entity,isMemberOf
NICEntityTypeClassifier-TWG,Entity,NICEntityTypeClassifier-TWG
MIT,Entity,MIT
NationalInformationCenterClassificationSchemeAndCodeSet,Entity,NationalInformationCenterClassificationSchemeAndCodeSet
term and code for a Foreign Entity Other,Entity,term and code for a Foreign Entity Other
Classifier,Entity,Classifier
NIC entity type classifier - FBK,Entity,NIC entity type classifier - FBK
NonDepositoryTrustCompany-NonMemberInstitution,Entity,NonDepositoryTrustCompany-NonMemberInstitution
IHC,Entity,IHC
ISB,Entity,ISB
Nf37814b0ef0e4c3788e1e551c01c4b89,Entity,Nf37814b0ef0e4c3788e1e551c01c4b89
BrokerDealer,Entity,BrokerDealer
Ned369f135bd84f209f9028f976caeead,Entity,Ned369f135bd84f209f9028f976caeead
N8ae717cc376342ecb13d2073c8c50684,Entity,N8ae717cc376342ecb13d2073c8c50684
Nc7876ef6b2d147c4b5b90b53986fbe49,Entity,Nc7876ef6b2d147c4b5b90b53986fbe49
NationalBank,Entity,NationalBank
Nba164bcae59d4944ba6d8d4a1848567a,Entity,Nba164bcae59d4944ba6d8d4a1848567a
term and code for a New York Investment Company,Entity,term and code for a New York Investment Company
NIC entity type classifier - SMB,Entity,NIC entity type classifier - SMB
DBR,Entity,DBR
Nfee67e7c106346019dac0c7463dab58d,Entity,Nfee67e7c106346019dac0c7463dab58d
FBO,Entity,FBO
UninsuredFederalAgencyOfForeignBankingOrganization,Entity,UninsuredFederalAgencyOfForeignBankingOrganization
FinanceCompany,Entity,FinanceCompany
term and code for an Edge Corporation - Domestic Branch,Entity,term and code for an Edge Corporation - Domestic Branch
NICEntityTypeClassifier-FNC,Entity,NICEntityTypeClassifier-FNC
Nb44ac2d091e04f54a87823b73792e5f3,Entity,Nb44ac2d091e04f54a87823b73792e5f3
 Bank Holding Company,Entity, Bank Holding Company
NIC entity type classifier - USA,Entity,NIC entity type classifier - USA
NIC entity type classifier - IHC,Entity,NIC entity type classifier - IHC
SMB,Entity,SMB
NIC entity type classifier - SLHC,Entity,NIC entity type classifier - SLHC
term and code for an International Non-bank Subs of Domestic Entities,Entity,term and code for an International Non-bank Subs of Domestic Entities
NICEntityTypeClassifier-SSB,Entity,NICEntityTypeClassifier-SSB
term and code for an Uninsured State Branch of an FBO,Entity,term and code for an Uninsured State Branch of an FBO
term and code for an Edge Corporation - Investment,Entity,term and code for an Edge Corporation - Investment
StateCreditUnion,Entity,StateCreditUnion
FinancialHoldingCompany,Entity,FinancialHoldingCompany
term and code for an Uninsured Federal Agency of an FBO,Entity,term and code for an Uninsured Federal Agency of an FBO
NIC entity type classifier - EDI,Entity,NIC entity type classifier - EDI
DomesticBranchOfDomesticBank,Entity,DomesticBranchOfDomesticBank
NICEntityTypeClassifier-IHC,Entity,NICEntityTypeClassifier-IHC
N1ff349be8e2b424b9acf298d5f3d5ded,Entity,N1ff349be8e2b424b9acf298d5f3d5ded
term and code for a Non-deposit Trust Company - Member,Entity,term and code for a Non-deposit Trust Company - Member
NICEntityTypeClassifier-NTC,Entity,NICEntityTypeClassifier-NTC
NIC entity type classifier - SCU,Entity,NIC entity type classifier - SCU
term and code for an Uninsured Federal Branch of an FBO,Entity,term and code for an Uninsured Federal Branch of an FBO
NIC entity type classifier - FHD,Entity,NIC entity type classifier - FHD
Agency of a Foreign Bank - TWIG,Entity,Agency of a Foreign Bank - TWIG
NIC entity type classifier - SAL,Entity,NIC entity type classifier - SAL
NIC entity type classifier - NTC,Entity,NIC entity type classifier - NTC
Ndaed890e26544bb693f21a36f357997d,Entity,Ndaed890e26544bb693f21a36f357997d
NICEntityTypeClassifier-DBR,Entity,NICEntityTypeClassifier-DBR
 Foreign Banking Organization,Entity, Foreign Banking Organization
EdgeCorporation-Investment,Entity,EdgeCorporation-Investment
NIC entity type classifier - DBR,Entity,NIC entity type classifier - DBR
AGB,Entity,AGB
SCU,Entity,SCU
NPW%20Data%20Dictionary.pdf,Entity,NPW%20Data%20Dictionary.pdf
EdgeCorporation-Banking,Entity,EdgeCorporation-Banking
FHD,Entity,FHD
NYI,Entity,NYI
FNC,Entity,FNC
NIC entity type classifier - FHF,Entity,NIC entity type classifier - FHF
ForeignBranchOfForeignBankManagedByUSOffice,Entity,ForeignBranchOfForeignBankManagedByUSOffice
NICEntityTypeClassifier-FBH,Entity,NICEntityTypeClassifier-FBH
NICEntityTypeClassifier-MTC,Entity,NICEntityTypeClassifier-MTC
NTC,Entity,NTC
NationalInformationCenterControlledVocabulary,Entity,NationalInformationCenterControlledVocabulary
term and code for a Non-member Bank,Entity,term and code for a Non-member Bank
term and code for a Federal Savings Bank,Entity,term and code for a Federal Savings Bank
NIC entity type classifier - ISB,Entity,NIC entity type classifier - ISB
UFB,Entity,UFB
NICEntityTypeClassifier-INB,Entity,NICEntityTypeClassifier-INB
National Information Center (NIC) controlled vocabulary,Entity,National Information Center (NIC) controlled vocabulary
INB,Entity,INB
term and code for an Agreement Corporation - Banking,Entity,term and code for an Agreement Corporation - Banking
EBR,Entity,EBR
term and code for an Agreement Corporation - Investment,Entity,term and code for an Agreement Corporation - Investment
NICEntityTypeClassifier-IBK,Entity,NICEntityTypeClassifier-IBK
isClassifiedBy,Entity,isClassifiedBy
NIC entity type classifier - REP,Entity,NIC entity type classifier - REP
N80875dcef33641098c8af720534736bb,Entity,N80875dcef33641098c8af720534736bb
EdgeCorporation-DomesticBranch,Entity,EdgeCorporation-DomesticBranch
term and code for a State Credit Union,Entity,term and code for a State Credit Union
N319f44ac68c24ea8b52454974fbaf4b8,Entity,N319f44ac68c24ea8b52454974fbaf4b8
SSB,Entity,SSB
term and code for an Intermediate Holding Company,Entity,term and code for an Intermediate Holding Company
DataProcessingServicer,Entity,DataProcessingServicer
term and code for a Foreign Banking Organization,Entity,term and code for a Foreign Banking Organization
Nd98ae275b8c541e5aaca0b4ea261e23e,Entity,Nd98ae275b8c541e5aaca0b4ea261e23e
NMB,Entity,NMB
SAL,Entity,SAL
InternationalBankOfUSDepositoryEdgeTrustCompany,Entity,InternationalBankOfUSDepositoryEdgeTrustCompany
term and code for a State Member Bank,Entity,term and code for a State Member Bank
isDefinedIn,Entity,isDefinedIn
NAT,Entity,NAT
NICEntityTypeClassifier-AGB,Entity,NICEntityTypeClassifier-AGB
Ncb5e6e0522ce48bf816def26a617544a,Entity,Ncb5e6e0522ce48bf816def26a617544a
IntermediateHoldingCompany,Entity,IntermediateHoldingCompany
term and code for a Savings and Loan Holding Company,Entity,term and code for a Savings and Loan Holding Company
CooperativeBank,Entity,CooperativeBank
N576148f79ec647a0aa21e2c4bde099d5,Entity,N576148f79ec647a0aa21e2c4bde099d5
NIC entity type classifier - USB,Entity,NIC entity type classifier - USB
