source_id,target_id,relationship
N2a55833fe0df4f3e9811f810b028415c,owl#Restriction,22-rdf-syntax-ns#type
ConventionalStreetAddress,PhysicalAddress,rdf-schema#subClassOf
StreetAddress,street address,rdf-schema#label
,". Primary differences include elimination of data properties in favor of a simple class model,the addition of virtual address, and the addition of addressing scheme.",core#changeNote
N41d6d0fb06b84d828a4c6d69c1c7e6c8,rdf-schema#Literal,owl#onDataRange
hasAddress,Address,rdf-schema#range
,"Copyright (c) 2013-2023 Object Management Group, Inc.",copyright
Side,false,requiresSecondaryUnitRange
SecondaryUnitIndicator,"index to the specific unit within a secondary unit, such as a building or apartment, at a particular street address",core#definition
AddressingScheme,system for allocating addresses to objects,core#definition
Address,index to a location to which communications may be delivered,core#definition
Ne4a8168761454dea97549337ae46122f,owl#Restriction,22-rdf-syntax-ns#type
hasStructureName,"specifies an identifier for a building, house, office complex, shopping center, or other structure or group of structures",core#definition
Office,owl#NamedIndividual,22-rdf-syntax-ns#type
N71f5fd5e8e234bacaa73e2b8093954dd,owl#Restriction,22-rdf-syntax-ns#type
RegionSpecificIdentifier,Nb0027f4238724916bc1b5cb459d0e770,rdf-schema#subClassOf
PrimaryAddressNumber,owl#Class,22-rdf-syntax-ns#type
Nab83e9b971f14201be6489811cd6cf5c,hasSecondaryUnit,owl#onProperty
hasTransliteratedAddress,"identifies a transliterated (i.e., in Latin or Romanized ASCII) address for the registered entity",core#definition
hasMailRouting, 'care of' address),core#definition
PostOfficeBoxAddress,owl#Class,22-rdf-syntax-ns#type
Lobby,"entrance hall, corridor, or vestibule, as in a public building, often serving as an anteroom; foyer",core#definition
PredirectionalSymbol,predirectional symbol,rdf-schema#label
Unit,SecondaryUnitDesignator,22-rdf-syntax-ns#type
Address,Index,rdf-schema#subClassOf
hasPredirectionalSymbol,specifies a geographic directional symbol that occurs after the primary street number but before the street name in a street address,core#definition
Ncbf556b528c840989355e8c82bb1ca9f,1,owl#qualifiedCardinality
N9930abc9221745b9a631d8e5c2530f9a,owl#Restriction,22-rdf-syntax-ns#type
Postcode,CodeElement,rdf-schema#subClassOf
Department,true,requiresSecondaryUnitRange
Postcode,postcode,rdf-schema#label
hasPostalCode,owl#DatatypeProperty,22-rdf-syntax-ns#type
,Addresses Ontology,rdf-schema#label
N49b292aeb99740fab454b6f1499afcfa,hasStreetName,owl#onProperty
Penthouse,penthouse,rdf-schema#label
hasStreetSuffix,has street suffix,rdf-schema#label
SecondaryUnitDesignator,N4a6881a28bb94fddadacf00281b21e76,rdf-schema#subClassOf
hasMailRouting,hasTextValue,rdf-schema#subPropertyOf
N2b0587b7838440cba094743b49ec096d,hasTag,owl#onProperty
AddressingScheme,IndexingScheme,rdf-schema#subClassOf
Unit,true,requiresSecondaryUnitRange
N6a766d7fa3d5494b8e9f8fafe1411c11,rdf-schema#Literal,owl#onDataRange
PostOfficeBoxDesignator,post office box designator,rdf-schema#label
Nb0027f4238724916bc1b5cb459d0e770,isUsedBy,owl#onProperty
Nff007eb6a7474e59b064db61e79a58d2,comprises,owl#onProperty
PhysicalAddressIdentifier,CodeElement,rdf-schema#subClassOf
N6bac404f9a6840fe98df28d6c98cdb8a,N4eb80a2325ab430ea3320809a5e60e20,22-rdf-syntax-ns#rest
PhysicalAddressIdentifier,unique identifier for a physical address,core#definition
Department,SecondaryUnitDesignator,22-rdf-syntax-ns#type
Postcode,sequence of characters used to assist in the sorting of mail,core#definition
,,owl#versionIRI
Stop,"stopping place, such as a bus or mail stop",core#definition
Ndd43baa2143a421da1bf1f5aed8a3dc2,0,owl#minQualifiedCardinality
N2124c67cb8684d2f9d493d47301d092d,XMLSchema#string,owl#someValuesFrom
N6bac404f9a6840fe98df28d6c98cdb8a,N2d676defecde4bcaa7d8b29f0a75484d,22-rdf-syntax-ns#first
N2124c67cb8684d2f9d493d47301d092d,hasTag,owl#onProperty
PostOfficeBoxDesignator,"In the U.S., the preferred designator is 'PO BOX'.",core#example
ConventionalStreetAddress,Nf0e70dc76fcb4c739ff9fdb0393a3a57,rdf-schema#subClassOf
Na9c6b46d627a4357a0ab52def535c8b6,PhysicalAddress,owl#onClass
N9930abc9221745b9a631d8e5c2530f9a,0,owl#minQualifiedCardinality
SecondaryUnit,"address component that identifies an individual unit within a larger structure, such as an apartment, office, hangar, slip, mailbox, and so forth, at a given street address",core#definition
hasAddress,indicates a means by which something (in the case of a network address) or some entity may be located or contacted or may receive correspondence,core#definition
Ncbf556b528c840989355e8c82bb1ca9f,comprises,owl#onProperty
Lower,lower,rdf-schema#label
hasAddressLine3,This element SHALL be omitted if address line 2 is omitted.,usageNote
hasStreetAddress,has street address,rdf-schema#label
ConventionalStreetAddress,Nd3866a09939a4277a5520e29d092a20a,rdf-schema#subClassOf
SupplementalAddressComponent,AddressComponent,rdf-schema#subClassOf
Side,SecondaryUnitDesignator,22-rdf-syntax-ns#type
Unit,owl#NamedIndividual,22-rdf-syntax-ns#type
Unit,unit,rdf-schema#label
N4a6881a28bb94fddadacf00281b21e76,owl#Restriction,22-rdf-syntax-ns#type
ConventionalStreetAddress,conventional street address,rdf-schema#label
AddressComponent,aspect of an address,core#definition
Apartment,SecondaryUnitDesignator,22-rdf-syntax-ns#type
N1e482eeda4ad48508938874aada30504,owl#Restriction,22-rdf-syntax-ns#type
hasAddress,has address,rdf-schema#label
SupplementalAddressComponent,N9930abc9221745b9a631d8e5c2530f9a,rdf-schema#subClassOf
hasMailRouting,has mail routing,rdf-schema#label
,"Addresses.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",core#changeNote
Department,department,rdf-schema#label
hasAddressLine2,has address line 2,rdf-schema#label
hasStreetAddress,"indicates a fully-specified address component that consists of a primary address number, predirectional, street name, suffix, postdirectional, and an optional secondary unit",core#definition
hasAddressLine1,the first line of the street address,core#definition
Nd3866a09939a4277a5520e29d092a20a,StreetAddress,owl#onClass
hasPostdirectionalSymbol,PostdirectionalSymbol,rdf-schema#range
PhysicalAddress,Nd9f7657e45164d38b466a4002f321214,rdf-schema#subClassOf
Pier,true,requiresSecondaryUnitRange
hasStreetName,has street name,rdf-schema#label
PhysicalAddress,"An address may be used as an index to the location of a building, apartment, office within an office block, or other structure or parcel of land, often using political boundaries and street names as references, along with other information such as house or building numbers or names. Some addresses also contain secondary elements such as apartment or building numbers, or special codes to aid routing of mail and packages.",core#scopeNote
N71f5fd5e8e234bacaa73e2b8093954dd,1,owl#qualifiedCardinality
Na196f231368c4501a03a58df798ecda1,owl#Restriction,22-rdf-syntax-ns#type
hasAttentionLine,owl#DatatypeProperty,22-rdf-syntax-ns#type
PostCodeArea,post code area,rdf-schema#label
RegionSpecificIdentifier,region-specific identifier,rdf-schema#label
AddressComponent,owl#Class,22-rdf-syntax-ns#type
Department,owl#NamedIndividual,22-rdf-syntax-ns#type
hasStreetSuffix,"specifies an additional qualifier for a street or other delivery location, such as a dwelling located along a waterway",core#definition
Rear,rear,rdf-schema#label
Apartment,true,requiresSecondaryUnitRange
PhysicalAddressIdentifier,Na9c6b46d627a4357a0ab52def535c8b6,rdf-schema#subClassOf
PhysicalAddressIdentifier,physical address identifier,rdf-schema#label
hasIndividualPostcode,owl#ObjectProperty,22-rdf-syntax-ns#type
hasStructureName,StructureName,rdf-schema#range
GeographicDirectionalSymbol,geographic directional symbol,rdf-schema#label
Key,true,requiresSecondaryUnitRange
StreetAddress,N554c9523fd87491a9c645e015fe0331a,rdf-schema#subClassOf
Ndd43baa2143a421da1bf1f5aed8a3dc2,owl#Restriction,22-rdf-syntax-ns#type
hasPredirectionalSymbol,has predirectional symbol,rdf-schema#label
PredirectionalSymbol,GeographicDirectionalSymbol,rdf-schema#subClassOf
Space,space,rdf-schema#label
N1e482eeda4ad48508938874aada30504,1,owl#qualifiedCardinality
Hangar,shed or shelter; any relatively wide structure used for housing airplanes or airships,core#definition
Front,"side or part of a building that presents itself to view first, that faces the street; the most forward part of a building",core#definition
Hangar,owl#NamedIndividual,22-rdf-syntax-ns#type
GeographicDirectionalSymbol,"In the United States, these include N, S, E, W, NE, NW, SE, SW.",core#example
hasAddressLine3,the third line of the street address,core#definition
N71f5fd5e8e234bacaa73e2b8093954dd,comprises,owl#onProperty
hasPostalCode,hasTextValue,rdf-schema#subPropertyOf
SecondaryUnitDesignator,"classifier for a smaller structure or component within a larger facility, such as an apartment, office, mail stop, or other similar designation",core#definition
Hangar,SecondaryUnitDesignator,22-rdf-syntax-ns#type
hasIndividualPostcode,lei-cdf-format-version-2-1,adaptedFrom
Side,owl#NamedIndividual,22-rdf-syntax-ns#type
SecondaryUnitIndicator,AddressComponent,rdf-schema#subClassOf
ConventionalStreetAddress,"Other unconventional addresses may include rural and highway route addresses, general delivery addresses, post office box addresses, private mail center addresses, and so forth.",explanatoryNote
N7141a0281d6c481499ea9a7cf61b5487,defines,owl#onProperty
Apartment,owl#NamedIndividual,22-rdf-syntax-ns#type
StreetName,Nb5c50247613f4748a9f6aede9d5ac2d0,rdf-schema#subClassOf
Address,N00e739825ad545cca28a666cbe2407fa,rdf-schema#subClassOf
PhysicalAddress,physical address,rdf-schema#label
hasPrimaryAddressNumber,PrimaryAddressNumber,rdf-schema#range
N41d6d0fb06b84d828a4c6d69c1c7e6c8,hasAddressLine3,owl#onProperty
hasPredirectionalSymbol,StreetAddress,rdf-schema#domain
Room,true,requiresSecondaryUnitRange
N9dee552bb3f14dbe9d4c40cf6ef4171e,isMemberOf,owl#onProperty
SecondaryUnitDesignator,"Note that only certain secondary units require a secondary range, such as an apartment number, to complete a delivery point.",explanatoryNote
hasPostdirectionalSymbol,StreetAddress,rdf-schema#domain
hasStructureName,PhysicalAddress,rdf-schema#domain
N72eaf47504a34a438bd2b6c0e4705caa,1,owl#maxQualifiedCardinality
hasPrimaryAddressNumber,has primary address number,rdf-schema#label
N53e03d125e2843ea8fd00e95b58024be,owl#Restriction,22-rdf-syntax-ns#type
StructureName,"name for a building, house, office complex, shopping center, or other structure or group of structures",core#definition
Slip,SecondaryUnitDesignator,22-rdf-syntax-ns#type
PhysicalAddressingScheme,physical addressing scheme,rdf-schema#label
N487faeef6eee496c8a12c2602e1674a3,owl#Class,22-rdf-syntax-ns#type
hasAddressLine2,hasTextValue,rdf-schema#subPropertyOf
N72eaf47504a34a438bd2b6c0e4705caa,Municipality,owl#onClass
N943768de31b84b919acc1fce6b9c378e,owl#Restriction,22-rdf-syntax-ns#type
AddressingScheme,addressing scheme,rdf-schema#label
Space,"extent set apart or available, such as a parking or storage space",core#definition
hasMailRouting,lei-cdf-format-version-2-1,adaptedFrom
SupplementalAddressComponent,owl#Class,22-rdf-syntax-ns#type
,Addresses.rdf version of this ontology was modified to eliminate unnecessary unions and max 1 restrictions.,core#changeNote
Nab83e9b971f14201be6489811cd6cf5c,SecondaryUnit,owl#onClass
Key,key,rdf-schema#label
N4a6881a28bb94fddadacf00281b21e76,1,owl#qualifiedCardinality
Nf0e70dc76fcb4c739ff9fdb0393a3a57,rdf-schema#Literal,owl#onDataRange
hasAddressLine3,hasTextValue,rdf-schema#subPropertyOf
hasStreetName,owl#ObjectProperty,22-rdf-syntax-ns#type
SupplementalAddressDesignator,owl#Class,22-rdf-syntax-ns#type
hasTransliteratedAddress,has transliterated address,rdf-schema#label
hasSecondaryUnit,owl#ObjectProperty,22-rdf-syntax-ns#type
N2b0587b7838440cba094743b49ec096d,owl#Restriction,22-rdf-syntax-ns#type
hasAttentionLine,PhysicalAddress,rdf-schema#domain
hasAddressLine1,lei-cdf-format-version-2-1,adaptedFrom
Slip,true,requiresSecondaryUnitRange
Penthouse,false,requiresSecondaryUnitRange
SecondaryUnitIndicator,owl#Class,22-rdf-syntax-ns#type
StreetName,street name,rdf-schema#label
Rear,SecondaryUnitDesignator,22-rdf-syntax-ns#type
PhysicalAddressingScheme,AddressingScheme,rdf-schema#subClassOf
SecondaryUnit,owl#Class,22-rdf-syntax-ns#type
Upper,SecondaryUnitDesignator,22-rdf-syntax-ns#type
Nd9f7657e45164d38b466a4002f321214,isIndexTo,owl#onProperty
VirtualAddress,N946c518edef347a7839f3ab6bb89ae25,rdf-schema#subClassOf
SupplementalAddressUnit,N1e482eeda4ad48508938874aada30504,rdf-schema#subClassOf
hasSecondaryUnit,"specifies an individual unit within a larger structure, such as an apartment, office, hangar, slip, mailbox, and so forth, at a given street address",core#definition
N53e03d125e2843ea8fd00e95b58024be,1,owl#qualifiedCardinality
PostdirectionalSymbol,owl#Class,22-rdf-syntax-ns#type
N9930abc9221745b9a631d8e5c2530f9a,comprises,owl#onProperty
N0a0b55b2efd048b491c43575712f1ddf,hasTag,owl#onProperty
StreetSuffix,AddressComponent,rdf-schema#subClassOf
AddressComponent,Aspect,rdf-schema#subClassOf
hasStreetSuffix,StreetAddress,rdf-schema#domain
hasPostdirectionalSymbol,has postdirectional symbol,rdf-schema#label
PrimaryAddressNumber,AddressComponent,rdf-schema#subClassOf
ConventionalStreetAddress,Ne4a8168761454dea97549337ae46122f,rdf-schema#subClassOf
N00e739825ad545cca28a666cbe2407fa,owl#Restriction,22-rdf-syntax-ns#type
hasIndividualPostcode,has individual postcode,rdf-schema#label
