id,type,name
Ne67db412e6934d8e88832bf107dee0c8,Entity,Ne67db412e6934d8e88832bf107dee0c8
"Agents.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",Entity,"Agents.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate."
"ontology structure
		(5) to incorporate changes to the specification metadata to support documentation at the family, specification, module, and ontology level, similar to the abbreviations.",Entity,"ontology structure
		(5) to incorporate changes to the specification metadata to support documentation at the family, specification, module, and ontology level, similar to the abbreviations."
"Agents.rdf version of this ontology was modified to support the FIBO 2.0 RFC, primarily with respect to equivalence relationships to LCC.",Entity,"Agents.rdf version of this ontology was modified to support the FIBO 2.0 RFC, primarily with respect to equivalence relationships to LCC."
Agents.rdf version of the ontology was modified to eliminate elements that have been deprecated for several quarters (FND-386).,Entity,Agents.rdf version of the ontology was modified to eliminate elements that have been deprecated for several quarters (FND-386).
.,Entity,.
Agents.rdf version of the ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,Agents.rdf version of the ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
Text,Entity,Text
Agents.rdf version of this ontology was modified to eliminate duplication with concepts in LCC.,Entity,Agents.rdf version of this ontology was modified to eliminate duplication with concepts in LCC.
Agents.rdf version of this ontology was modified to address hygiene issues with respect to text formatting.,Entity,Agents.rdf version of this ontology was modified to address hygiene issues with respect to text formatting.
owl#Restriction,Entity,owl#Restriction
SoftwareAgent,Entity,SoftwareAgent
automated-system-c85583d0f17a632,Entity,automated-system-c85583d0f17a632
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
Release,Entity,Release
,Entity,
"Copyright (c) 2013-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2013-2024 Object Management Group, Inc."
owl#Class,Entity,owl#Class
Agents.rdf version of this ontology was modified to add a custom datatype for text values (which might be either xsd:string or rdf:langString) and use that in the restriction on hasName on autonomous agent.,Entity,Agents.rdf version of this ontology was modified to add a custom datatype for text values (which might be either xsd:string or rdf:langString) and use that in the restriction on hasName on autonomous agent.
Agent,Entity,Agent
hasTextualName,Entity,hasTextualName
AutomatedSystem,Entity,AutomatedSystem
Agents Ontology,Entity,Agents Ontology
system that reduces or eliminates the need for human involvement in order to complete a task,Entity,system that reduces or eliminates the need for human involvement in order to complete a task
"Agents.rdf version of this ontology was modified to loosen the range restriction on hasName to rdfs:Literal, facilitating multi-lingual name representation.",Entity,"Agents.rdf version of this ontology was modified to loosen the range restriction on hasName to rdfs:Literal, facilitating multi-lingual name representation."
0,Entity,0
owl#Ontology,Entity,owl#Ontology
"This ontology extends the Commons 1.1 Parties and Situations ontology to define defines the concept of a software system, which may or may not be autonomous. Other concepts that were originally defined in this ontology have been replaced with their corresponding concepts in Commons.",Entity,"This ontology extends the Commons 1.1 Parties and Situations ontology to define defines the concept of a software system, which may or may not be autonomous. Other concepts that were originally defined in this ontology have been replaced with their corresponding concepts in Commons."
Agents.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old.,Entity,Agents.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old.
Agents.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,Agents.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
automated system,Entity,automated system
MIT,Entity,MIT
 eliminate it where it is used.,Entity, eliminate it where it is used.
