source_id,target_id,relationship
,,owl#imports
,"all FND, North America",rdf-schema#label
,Hypercube Limited,contributor
,Thematix Partners LLC,contributor
,"FIBO FND Domain, North American Extension",title
,MIT,license
,Anthony B. Coates,contributor
,State Street Bank and Trust,contributor
,,rdf-schema#seeAlso
,"Financial Industry Business Ontology (FIBO) Foundations (FND) Domain, North American Extension",title
,John F. Gemski,contributor
,,owl#versionIRI
,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
,Wells Fargo,contributor
,"The North American extension of the Foundations (FND) domain builds on the more general FND ontologies with concepts that are specific to the North American region of the world, such as those defining North American addresses.",abstract
,"agnos.ai, UK Ltd.",contributor
,owl#Ontology,22-rdf-syntax-ns#type
,Maxwell Gillmore,contributor
,Working Ontologist,contributor
,Office of Financial Research (US Dept of the Treasury),contributor
,"Adaptive, Inc.",contributor
,2023-01-20T18:00:00,modified
,Nordea Bank AB,contributor
,"The 'all' ontology for Foundations (FND), North American Extension is provided for convenience for FIBO users. This ontology does not add new assertions, but imports the Production (Released) ontologies that comprise the FIBO Foundations (FND) domain, including extensions related to postal addressing in the US and Canada.",explanatoryNote
,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
,"Pinnacle Bank (Morgan Hill, California)",contributor
,2020-03-22T18:00:00,issued
,Tahoe Blue Ltd,contributor
