id,type,name
Anthony B. Coates,Entity,Anthony B. Coates
Maxwell Gillmore,Entity,Maxwell Gillmore
Nordea Bank AB,Entity,Nordea Bank AB
"all FND, North America",Entity,"all FND, North America"
"Financial Industry Business Ontology (FIBO) Foundations (FND) Domain, North American Extension",Entity,"Financial Industry Business Ontology (FIBO) Foundations (FND) Domain, North American Extension"
"Copyright (c) 2017-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2017-2023 Object Management Group, Inc."
"agnos.ai, UK Ltd.",Entity,"agnos.ai, UK Ltd."
Thematix Partners LLC,Entity,Thematix Partners LLC
Wells Fargo,Entity,Wells Fargo
,Entity,
"Pinnacle Bank (Morgan Hill, California)",Entity,"Pinnacle Bank (Morgan Hill, California)"
2020-03-22T18:00:00,Entity,2020-03-22T18:00:00
Office of Financial Research (US Dept of the Treasury),Entity,Office of Financial Research (US Dept of the Treasury)
"Adaptive, Inc.",Entity,"Adaptive, Inc."
"The 'all' ontology for Foundations (FND), North American Extension is provided for convenience for FIBO users. This ontology does not add new assertions, but imports the Production (Released) ontologies that comprise the FIBO Foundations (FND) domain, including extensions related to postal addressing in the US and Canada.",Entity,"The 'all' ontology for Foundations (FND), North American Extension is provided for convenience for FIBO users. This ontology does not add new assertions, but imports the Production (Released) ontologies that comprise the FIBO Foundations (FND) domain, including extensions related to postal addressing in the US and Canada."
owl#Ontology,Entity,owl#Ontology
State Street Bank and Trust,Entity,State Street Bank and Trust
"The North American extension of the Foundations (FND) domain builds on the more general FND ontologies with concepts that are specific to the North American region of the world, such as those defining North American addresses.",Entity,"The North American extension of the Foundations (FND) domain builds on the more general FND ontologies with concepts that are specific to the North American region of the world, such as those defining North American addresses."
Working Ontologist,Entity,Working Ontologist
2023-01-20T18:00:00,Entity,2023-01-20T18:00:00
John F. Gemski,Entity,John F. Gemski
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
Hypercube Limited,Entity,Hypercube Limited
"FIBO FND Domain, North American Extension",Entity,"FIBO FND Domain, North American Extension"
MIT,Entity,MIT
"Copyright (c) 2017-2023 EDM Council, Inc.",Entity,"Copyright (c) 2017-2023 EDM Council, Inc."
