id,type,name
"Copyright (c) 2017-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2017-2024 Object Management Group, Inc."
owl#Ontology,Entity,owl#Ontology
all FND,Entity,all FND
2020-12-28T18:00:00,Entity,2020-12-28T18:00:00
2024-11-19T18:00:00,Entity,2024-11-19T18:00:00
AllFND.rdf version of this ontology was modified to merge goals with objectives.,Entity,AllFND.rdf version of this ontology was modified to merge goals with objectives.
AllFND.rdf version of the ontology was modified to eliminate the now redundant Roles and Quantities and Units ontologies (FND-386).,Entity,AllFND.rdf version of the ontology was modified to eliminate the now redundant Roles and Quantities and Units ontologies (FND-386).
or concepts will be integrated into Foundations as required.,Entity,or concepts will be integrated into Foundations as required.
FIBO FND Domain,Entity,FIBO FND Domain
MIT,Entity,MIT
AllFND.rdf version of this ontology was modified to incorporate the recently released assessments and ratings ontologies.,Entity,AllFND.rdf version of this ontology was modified to incorporate the recently released assessments and ratings ontologies.
"The 'all' FND ontology is provided for convenience for FIBO users.  It imports all of the Production (Released) ontologies that comprise the FIBO Foundations (FND) domain, and can be loaded directly in tools such as Protege with the expectation that all of the accompanying content will be loaded.",Entity,"The 'all' FND ontology is provided for convenience for FIBO users.  It imports all of the Production (Released) ontologies that comprise the FIBO Foundations (FND) domain, and can be loaded directly in tools such as Protege with the expectation that all of the accompanying content will be loaded."
AllFND.rdf version of the ontology was modified to add an ontology for real property (LOAN-168).,Entity,AllFND.rdf version of the ontology was modified to add an ontology for real property (LOAN-168).
"Copyright (c) 2017-2024 EDM Council, Inc.",Entity,"Copyright (c) 2017-2024 EDM Council, Inc."
Financial Industry Business Ontology (FIBO) Foundations (FND) Domain,Entity,Financial Industry Business Ontology (FIBO) Foundations (FND) Domain
,Entity,
"AllFND.rdf version of this ontology was modified to eliminate the unused legitimate organizations ontology, thereby simplifying the overal organization hierarchy, eliminate duplication with LCC, and merge countries with locations.",Entity,"AllFND.rdf version of this ontology was modified to eliminate the unused legitimate organizations ontology, thereby simplifying the overal organization hierarchy, eliminate duplication with LCC, and merge countries with locations."
AllFND.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary and to eliminate unnecessary imports statements.,Entity,AllFND.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary and to eliminate unnecessary imports statements.
