source_id,target_id,relationship
Nbba599d4e2f44121b12dad551b548cfc,Variance,22-rdf-syntax-ns#first
hasFormula,owl#ObjectProperty,22-rdf-syntax-ns#type
,Analytics.rdf version of this ontology was modified to update the reference link for ratio.,core#changeNote
AnnualizedStandardDeviation,StandardDeviation,rdf-schema#subClassOf
N9ec69dcce4044495a1836a47feeab2ae,XMLSchema#anyURI,22-rdf-syntax-ns#first
StatisticalMeasure,Ne46d6e56eb534691a4297ed26ea23d70,rdf-schema#subClassOf
AnnualizedStandardDeviation,standard deviation for some measure over a specific reference period,core#definition
Variance,μ2,symbol
hasTargetValue,specifies a collection of values that represent planned or projected goals or objectives for some something over time,core#definition
StandardDeviation,standard deviation,rdf-schema#label
N9ec69dcce4044495a1836a47feeab2ae,22-rdf-syntax-ns#nil,22-rdf-syntax-ns#rest
,"Analytics.rdf version of this ontology was modified to eliminate duplication with concepts in LCC, merge countries with locations, and correct a restriction on qualified measure.",core#changeNote
N36e199b7682647eab067fff69563263a,hasReferencePeriod,owl#onProperty
isCalculatedViaMethodology,owl#DatatypeProperty,22-rdf-syntax-ns#type
WeightingFunction,"Given a sample size of 1000, and a population of 300M, then the chance that any individual is selected is 1 in 300K. In that case, 300K is the weight assigned to each of the elements in the sample.",core#example
AnnualizedStandardDeviation,owl#Class,22-rdf-syntax-ns#type
StatisticalProgram,statistical program,rdf-schema#label
StatisticalProgram,N14ab0a4259b54ba1bfcaed7c2350db29,rdf-schema#subClassOf
hasRelativeComparativePeriod,has relative comparative period,rdf-schema#label
Mean,"When unqualified, the mean usually refers to the expectation of a variate, or to the arithmetic mean of a sample used as an estimate of the expectation.",explanatoryNote
hasWeight,XMLSchema#decimal,rdf-schema#range
QualifiedMeasure,"statistical measure that is constrained by features, quantity kinds or units that refine how it is calculated",core#definition
StatisticalArea,GeographicRegion,rdf-schema#subClassOf
,Analytics.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
hasObservedValue,hasArgument,rdf-schema#subPropertyOf
Ne46d6e56eb534691a4297ed26ea23d70,isEstimate,owl#onProperty
StatisticalProgram,Program,rdf-schema#subClassOf
StatisticalProgram,program that presents a detailed investigation and analysis of a subject or situation involving one or more studies or surveys,core#definition
Nfaadf72fb27a438086f2e7ad5dc0f198,N39199b0841424bc6a73f047a4cd9ee7b,owl#unionOf
StandardDeviation,detail.asp?ID=3845,adaptedFrom
N26f6932a0b8442d4b3eb0fbdcbef0680,owl#Restriction,22-rdf-syntax-ns#type
StatisticalMeasure,Measure,rdf-schema#subClassOf
hasMeasurementDateTime,owl#DatatypeProperty,22-rdf-syntax-ns#type
hasSubtrahend,hasArgument,rdf-schema#subPropertyOf
isCalculatedViaMethodology,StatisticalMeasure,rdf-schema#domain
StatisticalAreaIdentifier,viewpage.action?pageId=6358041,adaptedFrom
FinitePopulation,Collection,rdf-schema#subClassOf
FinitePopulation,5214842-eng.htm#p.,explanatoryNote
NumericIndexValue,numeric index value,rdf-schema#label
hasPeriodicity,hasRecurrenceInterval,rdf-schema#subPropertyOf
StatisticalArea,viewpage.action?pageId=6358041,adaptedFrom
ScopedMeasure,N71bb5e1f28614043a3f7e99e53ab1d82,rdf-schema#subClassOf
ScopedMeasure,Na99db61f11554869b8a014605f1b158f,rdf-schema#subClassOf
N26f6932a0b8442d4b3eb0fbdcbef0680,isCharacterizedBy,owl#onProperty
Nf40f64a8a778453dbcbf173fa3dae7eb,DatedStructuredCollection,owl#someValuesFrom
,"Copyright (c) 2013-2024 EDM Council, Inc.",copyright
Dispersion,N107c1c42922742b0a3588884081f38f1,rdf-schema#subClassOf
,,owl#versionIRI
Dispersion,A measure of statistical dispersion is a nonnegative real number that is zero if all the data are the same and increases as the data become more diverse.,explanatoryNote
ScopedMeasure,scoped measure,rdf-schema#label
N36e199b7682647eab067fff69563263a,ExplicitRecurrenceInterval,owl#onClass
FinitePopulation,owl#Class,22-rdf-syntax-ns#type
Dispersion,detail.asp?ID=3637,adaptedFrom
N14ab0a4259b54ba1bfcaed7c2350db29,owl#Restriction,22-rdf-syntax-ns#type
N39199b0841424bc6a73f047a4cd9ee7b,Mean,22-rdf-syntax-ns#first
,Analytics.rdf version of this ontology was modified to eliminate unused imports.,core#changeNote
isEstimate,indicates whether the measure reflects an estimate (approximation) or not,core#definition
hasRelativeComparativePeriod,hasDatePeriod,rdf-schema#subPropertyOf
,Analytics.rdf version of this ontology was modified to expand the definition of release date and release date and time and to make a statistical area identifier a subclass of geographic region identifier.,core#changeNote
Nefcff3122d684f7f93117245ea364a3d,StatisticalAreaIdentifier,owl#someValuesFrom
isCalculatedViaMethodology,high-level description of the approach taken to obtain the result,core#definition
Dispersion,dispersion,rdf-schema#label
Mean,Expression,rdf-schema#subClassOf
StatisticalMeasure,owl#Class,22-rdf-syntax-ns#type
Nb6c4917b624c4d4bba86b19439c2ff59,hasUniverseSize,owl#onProperty
N71bb5e1f28614043a3f7e99e53ab1d82,appliesTo,owl#onProperty
ScopedMeasure,owl#Class,22-rdf-syntax-ns#type
hasUniverseSize,indicates the number of elements in a given universe,core#definition
N14c371930c6f47a097cffc4e854e7b03,hasAnchorDate,owl#onProperty
StatisticalMeasure,"Statistical measures may consist of several orthogonal characteristics, including (a) whether they reflect an estimate or variable, (b) the datatype, or from a FIBO perspective, nature of the measure (e.g., index, total, ratio, percent, percent change, mean, others), (c) the population (or the universe that applies to the highest level if defined in general) to which the measure applies, and (d) any relevant aspects used to subset or stratify a measure, (i.e., make them apply to a smaller universe).",explanatoryNote
,This ontology was added to Foundations in advance of the June 2014 Boston meeting in support of the IND RFC.,core#changeNote
N15e08fb3be0a4992bbc07bdf844e2966,owl#Restriction,22-rdf-syntax-ns#type
StandardDeviation,Nf0762a9da594400a87e042cc91c2644f,rdf-schema#subClassOf
hasSubtrahend,specifies the quantity value that is subtracted from something,core#definition
StatisticalPopulation,statistical universe filtered by time and region,core#definition
Nfaadf72fb27a438086f2e7ad5dc0f198,owl#Class,22-rdf-syntax-ns#type
N71df874b1903459f9670df54ca0c7f50,hasMinuend,owl#onProperty
,Analytics.rdf version of the ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,core#changeNote
N4280d6dda22f4822a7748a345b87676d,Median,owl#someValuesFrom
hasMeasurementDateTime,has measurement date time,rdf-schema#label
FinitePopulation,finite population,rdf-schema#label
Na687625b9c6c4a73aa85ce9a7a508d51,hasObservedValue,owl#onProperty
KeyPerformanceIndicator,Nf40f64a8a778453dbcbf173fa3dae7eb,rdf-schema#subClassOf
hasMeasurementPeriodInMonths,XMLSchema#integer,rdf-schema#range
ArithmeticMean,arithmetic mean,rdf-schema#label
hasMinuend,Difference,rdf-schema#domain
