id,type,name
is calculated via methodology,Entity,is calculated via methodology
Statistics+Canada+Census+Information,Entity,Statistics+Canada+Census+Information
statistical program,Entity,statistical program
SD,Entity,SD
"median of the absolute deviations of observations from the average which may be the arithmetic mean, the median or the mode",Entity,"median of the absolute deviations of observations from the average which may be the arithmetic mean, the median or the mode"
The most widely used measure of dispersion of a frequency distribution introduced by K. Pearson (1893). It is equal to the positive square root of the variance. The standard deviation should not be confused with the root mean square deviation.,Entity,The most widely used measure of dispersion of a frequency distribution introduced by K. Pearson (1893). It is equal to the positive square root of the variance. The standard deviation should not be confused with the root mean square deviation.
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
numeric index value,Entity,numeric index value
hasArgument,Entity,hasArgument
"A common aim of statistical analysis is to produce information about some chosen population. In statistical inference, a subset of the population (a statistical sample) is chosen to represent the population in a statistical analysis. If a sample is chosen properly, characteristics of the entire population that the sample is drawn from can be estimated from corresponding characteristics of the sample.",Entity,"A common aim of statistical analysis is to produce information about some chosen population. In statistical inference, a subset of the population (a statistical sample) is chosen to represent the population in a statistical analysis. If a sample is chosen properly, characteristics of the entire population that the sample is drawn from can be estimated from corresponding characteristics of the sample."
Nc4601eccd4fc4caf96074ca87ea8e227,Entity,Nc4601eccd4fc4caf96074ca87ea8e227
"A mathematical device or number which is used to express the observation (e.g., price level, volume of trade, relative amount etc.) of a given period, in comparison with that of a prior period.",Entity,"A mathematical device or number which is used to express the observation (e.g., price level, volume of trade, relative amount etc.) of a given period, in comparison with that of a prior period."
statistical universe filtered by time and region,Entity,statistical universe filtered by time and region
hasAnchorDate,Entity,hasAnchorDate
hasMeasurementPeriodInMonths,Entity,hasMeasurementPeriodInMonths
N19623a90ec494efba78cc67af9c377fe,Entity,N19623a90ec494efba78cc67af9c377fe
ScopedMeasure,Entity,ScopedMeasure
Nefcff3122d684f7f93117245ea364a3d,Entity,Nefcff3122d684f7f93117245ea364a3d
"Although they are both designed to measure performance, KPIs and metrics have different characteristics and are used by businesses in different ways. Metrics are measures used to track progress and evaluate success, while KPIs are metrics tied to specific goals during a certain period of time. KPIs are designed to align with business goals and targets, while metrics evaluate the performance of particular processes.",Entity,"Although they are both designed to measure performance, KPIs and metrics have different characteristics and are used by businesses in different ways. Metrics are measures used to track progress and evaluate success, while KPIs are metrics tied to specific goals during a certain period of time. KPIs are designed to align with business goals and targets, while metrics evaluate the performance of particular processes."
XMLSchema#nonNegativeInteger,Entity,XMLSchema#nonNegativeInteger
scoped measure,Entity,scoped measure
μ2,Entity,μ2
owl#ObjectProperty,Entity,owl#ObjectProperty
has weight,Entity,has weight
NumericIndexValue,Entity,NumericIndexValue
hasMinuend,Entity,hasMinuend
GeographicRegionIdentifier,Entity,GeographicRegionIdentifier
"Analytics.rdf version of this ontology was modified to eliminate the redundant 'calculation formula' concept and eliminate the property hasOperand, which is not used anywhere and whose definition is circular.",Entity,"Analytics.rdf version of this ontology was modified to eliminate the redundant 'calculation formula' concept and eliminate the property hasOperand, which is not used anywhere and whose definition is circular."
"value of the variate dividing the total frequency of a data sample, population, or probability distribution, into two halves",Entity,"value of the variate dividing the total frequency of a data sample, population, or probability distribution, into two halves"
indicates the number of elements in a given universe,Entity,indicates the number of elements in a given universe
"collection representing the total membership, or 'universe', of people, resources, products, services, events, or entities of interest for some question, experiment, survey or statistical program",Entity,"collection representing the total membership, or 'universe', of people, resources, products, services, events, or entities of interest for some question, experiment, survey or statistical program"
"specifies a concise way of expressing information symbolically, as in a mathematical or chemical formula",Entity,"specifies a concise way of expressing information symbolically, as in a mathematical or chemical formula"
StatisticalMeasure,Entity,StatisticalMeasure
Analytics.rdf version of this ontology was modified to eliminate unused imports.,Entity,Analytics.rdf version of this ontology was modified to eliminate unused imports.
Release,Entity,Release
N8127f2e89f9f403692ca91c944a57cf3,Entity,N8127f2e89f9f403692ca91c944a57cf3
RelativeDate,Entity,RelativeDate
hasSubtrahend,Entity,hasSubtrahend
has formula,Entity,has formula
rule expressed in letters and symbols that consists of at least one expression,Entity,rule expressed in letters and symbols that consists of at least one expression
AnchorDate,Entity,AnchorDate
"The central point can be the mean, median, mode, or the result of another measure of central tendency. Absolute deviation is the distance between each value in the data set and that data set's mean or median.",Entity,"The central point can be the mean, median, mode, or the result of another measure of central tendency. Absolute deviation is the distance between each value in the data set and that data set's mean or median."
N71bb5e1f28614043a3f7e99e53ab1d82,Entity,N71bb5e1f28614043a3f7e99e53ab1d82
"When unqualified, the mean usually refers to the expectation of a variate, or to the arithmetic mean of a sample used as an estimate of the expectation.",Entity,"When unqualified, the mean usually refers to the expectation of a variate, or to the arithmetic mean of a sample used as an estimate of the expectation."
"Common examples of measures of statistical dispersion are the variance, standard deviation, and interquartile range. The collection size argument, above, represents the number of elements in the set, if known. The collection of values under consideration is represented as a structured collection in FIBO, typically a sample set derived from a finite population.",Entity,"Common examples of measures of statistical dispersion are the variance, standard deviation, and interquartile range. The collection size argument, above, represents the number of elements in the set, if known. The collection of values under consideration is represented as a structured collection in FIBO, typically a sample set derived from a finite population."
hasWeight,Entity,hasWeight
N38507149eb2a4fb686f53c8e0021f9be,Entity,N38507149eb2a4fb686f53c8e0021f9be
hasReferencePeriod,Entity,hasReferencePeriod
N9ec69dcce4044495a1836a47feeab2ae,Entity,N9ec69dcce4044495a1836a47feeab2ae
has periodicity,Entity,has periodicity
sampling variance,Entity,sampling variance
statistical measure,Entity,statistical measure
hasFixedComparativeDate,Entity,hasFixedComparativeDate
isEstimate,Entity,isEstimate
Nb6c4917b624c4d4bba86b19439c2ff59,Entity,Nb6c4917b624c4d4bba86b19439c2ff59
has subtrahend,Entity,has subtrahend
detail.asp?ID=2079,Entity,detail.asp?ID=2079
N36e199b7682647eab067fff69563263a,Entity,N36e199b7682647eab067fff69563263a
Nfaefdc8e424643ac9a051ac8cecb8569,Entity,Nfaefdc8e424643ac9a051ac8cecb8569
N241c1c26849c4802aea9c54faf50b54d,Entity,N241c1c26849c4802aea9c54faf50b54d
"Standard deviation applied to the annual rate of return of an investment provides insights on the historical volatility of that investment. The greater the standard deviation of the price of a security, the greater the volatility. Multiplying monthly standard deviation by the square root of twelve (12) is an industry standard method of approximating annualized standard deviations of monthly returns.",Entity,"Standard deviation applied to the annual rate of return of an investment provides insights on the historical volatility of that investment. The greater the standard deviation of the price of a security, the greater the volatility. Multiplying monthly standard deviation by the square root of twelve (12) is an industry standard method of approximating annualized standard deviations of monthly returns."
0,Entity,0
owl#Ontology,Entity,owl#Ontology
Aspect,Entity,Aspect
has observed value,Entity,has observed value
has population size,Entity,has population size
N21dd76677e434a898daf410a2e00e532,Entity,N21dd76677e434a898daf410a2e00e532
This measure represents the middle value (if n is odd) or the average of the two middle values (if n is even) in an ordered list of data values. The median divides the total frequency distribution into two equal parts: one-half of the cases fall below the median and one-half of the cases exceed the median.,Entity,This measure represents the middle value (if n is odd) or the average of the two middle values (if n is even) in an ordered list of data values. The median divides the total frequency distribution into two equal parts: one-half of the cases fall below the median and one-half of the cases exceed the median.
N14ab0a4259b54ba1bfcaed7c2350db29,Entity,N14ab0a4259b54ba1bfcaed7c2350db29
formula,Entity,formula
has target value,Entity,has target value
owl#Restriction,Entity,owl#Restriction
Analytics.rdf version of this ontology was modified to eliminate deprecated elements.,Entity,Analytics.rdf version of this ontology was modified to eliminate deprecated elements.
weighting function,Entity,weighting function
1,Entity,1
detail.asp?ID=3637,Entity,detail.asp?ID=3637
"statistical measure that is constrained by features, quantity kinds or units that refine how it is calculated",Entity,"statistical measure that is constrained by features, quantity kinds or units that refine how it is calculated"
has fixed comparative date,Entity,has fixed comparative date
Analytics Ontology,Entity,Analytics Ontology
"isCharacterizedBy, and eliminate duplicate properties that were not used anywhere.",Entity,"isCharacterizedBy, and eliminate duplicate properties that were not used anywhere."
owl#DatatypeProperty,Entity,owl#DatatypeProperty
A statistical universe can be a group of actually existing objects (e.g. the set of all stars within the Milky Way galaxy) or a hypothetical and potentially infinite group of objects conceived as a generalization from experience (e.g. the set of all possible hands in a game of poker).,Entity,A statistical universe can be a group of actually existing objects (e.g. the set of all stars within the Milky Way galaxy) or a hypothetical and potentially infinite group of objects conceived as a generalization from experience (e.g. the set of all possible hands in a game of poker).
Na99db61f11554869b8a014605f1b158f,Entity,Na99db61f11554869b8a014605f1b158f
indicates the coverage period for which the measure is applicable expressed in months,Entity,indicates the coverage period for which the measure is applicable expressed in months
"Analytics.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"Analytics.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
"While the arithmetic mean is often used to report central tendencies, it is not a robust statistic, meaning that it is greatly influenced by outliers (values that are very much larger or smaller than most of the values). Notably, for skewed distributions, such as the distribution of income for which a few people's incomes are substantially greater than most people's, the arithmetic mean may not accord with one's notion of 'middle', and robust statistics, such as the median, may be a better description of central tendency.",Entity,"While the arithmetic mean is often used to report central tendencies, it is not a robust statistic, meaning that it is greatly influenced by outliers (values that are very much larger or smaller than most of the values). Notably, for skewed distributions, such as the distribution of income for which a few people's incomes are substantially greater than most people's, the arithmetic mean may not accord with one's notion of 'middle', and robust statistics, such as the median, may be a better description of central tendency."
has relative comparative period,Entity,has relative comparative period
hasDate,Entity,hasDate
Variance,Entity,Variance
"The geometric mean is defined as the nth root of the product of n numbers. A geometric mean is often used when comparing different items - finding a single 'figure of merit' for these items - when each item has multiple properties that have different numeric ranges. For example, the geometric mean can give a meaningful 'average' to compare two companies which are each rated at 0 to 5 for their environmental sustainability, and are rated at 0 to 100 for their financial viability. If an arithmetic mean were used instead of a geometric mean, the financial viability is given more weight because its numeric range is larger - so a small percentage change in the financial rating (e.g. going from 80 to 90) makes a much larger difference in the arithmetic mean than a large percentage change in environmental sustainability (e.g. going from 2 to 5).",Entity,"The geometric mean is defined as the nth root of the product of n numbers. A geometric mean is often used when comparing different items - finding a single 'figure of merit' for these items - when each item has multiple properties that have different numeric ranges. For example, the geometric mean can give a meaningful 'average' to compare two companies which are each rated at 0 to 5 for their environmental sustainability, and are rated at 0 to 100 for their financial viability. If an arithmetic mean were used instead of a geometric mean, the financial viability is given more weight because its numeric range is larger - so a small percentage change in the financial rating (e.g. going from 80 to 90) makes a much larger difference in the arithmetic mean than a large percentage change in environmental sustainability (e.g. going from 2 to 5)."
hasCount,Entity,hasCount
ExplicitDatePeriod,Entity,ExplicitDatePeriod
hasRecurrenceInterval,Entity,hasRecurrenceInterval
AverageAbsoluteDeviation,Entity,AverageAbsoluteDeviation
Nce77f2f946534871a129ac130dd459b9,Entity,Nce77f2f946534871a129ac130dd459b9
"indicates the number of elements in some document, table, or other resource (e.g., in a report, table)",Entity,"indicates the number of elements in some document, table, or other resource (e.g., in a report, table)"
XMLSchema#decimal,Entity,XMLSchema#decimal
median,Entity,median
N26f6932a0b8442d4b3eb0fbdcbef0680,Entity,N26f6932a0b8442d4b3eb0fbdcbef0680
Nd3e87e6b3c4148e7a053e11afdc75795,Entity,Nd3e87e6b3c4148e7a053e11afdc75795
StandardDeviation,Entity,StandardDeviation
appliesTo,Entity,appliesTo
"Given a sample size of 1000, and a population of 300M, then the chance that any individual is selected is 1 in 300K. In that case, 300K is the weight assigned to each of the elements in the sample.",Entity,"Given a sample size of 1000, and a population of 300M, then the chance that any individual is selected is 1 in 300K. In that case, 300K is the weight assigned to each of the elements in the sample."
hasExplicitDate,Entity,hasExplicitDate
Ncbf35953defb43b3b074b5ccd1896fcb,Entity,Ncbf35953defb43b3b074b5ccd1896fcb
key performance indicator,Entity,key performance indicator
statistical area identifier,Entity,statistical area identifier
Ne46d6e56eb534691a4297ed26ea23d70,Entity,Ne46d6e56eb534691a4297ed26ea23d70
hasReleaseDate,Entity,hasReleaseDate
FinitePopulation,Entity,FinitePopulation
QualifiedMeasure,Entity,QualifiedMeasure
statistical population,Entity,statistical population
hasNumberOfEntries,Entity,hasNumberOfEntries
Date,Entity,Date
detail.asp?ID=3762,Entity,detail.asp?ID=3762
standard deviation for some measure over a specific reference period,Entity,standard deviation for some measure over a specific reference period
N107c1c42922742b0a3588884081f38f1,Entity,N107c1c42922742b0a3588884081f38f1
Collection,Entity,Collection
viewpage.action?pageId=6358041,Entity,viewpage.action?pageId=6358041
"Copyright (c) 2013-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2013-2024 Object Management Group, Inc."
WeightingFunction,Entity,WeightingFunction
Analytics.rdf version of this ontology was modified to update the reference link for ratio.,Entity,Analytics.rdf version of this ontology was modified to update the reference link for ratio.
"Note that (1) the anchor date reflects the start of the current series, such as 1982-1984 for the CPI, (2) the fixed comparative date might be something like March 2009, if one is comparing a current index against its value at the end of the great recession, (3) the relative comparative date might be something like a month or year ago, depending on the analysis requirements, and (4) the relative comparative period might be a 3 month average prior value, again depending on the analysis requirements.",Entity,"Note that (1) the anchor date reflects the start of the current series, such as 1982-1984 for the CPI, (2) the fixed comparative date might be something like March 2009, if one is comparing a current index against its value at the end of the great recession, (3) the relative comparative date might be something like a month or year ago, depending on the analysis requirements, and (4) the relative comparative period might be a 3 month average prior value, again depending on the analysis requirements."
degree of scatter or variability shown by observations,Entity,degree of scatter or variability shown by observations
expected value,Entity,expected value
population for which it is possible to count its units,Entity,population for which it is possible to count its units
"specifies a date against which the value of a scoped measure is compared (e.g., one month prior, three months prior, etc., and typically against a prior release or average over prior releases)",Entity,"specifies a date against which the value of a scoped measure is compared (e.g., one month prior, three months prior, etc., and typically against a prior release or average over prior releases)"
Nedf11ee737134fdc86ed06973c9bec71,Entity,Nedf11ee737134fdc86ed06973c9bec71
"Examples include profits, sales numbers, employee turnover and average annual expenses.",Entity,"Examples include profits, sales numbers, employee turnover and average annual expenses."
has relative comparative date,Entity,has relative comparative date
XMLSchema#boolean,Entity,XMLSchema#boolean
provides,Entity,provides
hasReleaseDateTime,Entity,hasReleaseDateTime
StatisticalArea,Entity,StatisticalArea
N39199b0841424bc6a73f047a4cd9ee7b,Entity,N39199b0841424bc6a73f047a4cd9ee7b
22-rdf-syntax-ns#nil,Entity,22-rdf-syntax-ns#nil
has reference period,Entity,has reference period
statistical universe,Entity,statistical universe
DatePeriod,Entity,DatePeriod
MedianAbsoluteDeviation,Entity,MedianAbsoluteDeviation
Ne10e68361ef74ac9a0e4882b850ab54d,Entity,Ne10e68361ef74ac9a0e4882b850ab54d
DatedStructuredCollection,Entity,DatedStructuredCollection
owl#Class,Entity,owl#Class
detail.asp?ID=3717,Entity,detail.asp?ID=3717
Nbba599d4e2f44121b12dad551b548cfc,Entity,Nbba599d4e2f44121b12dad551b548cfc
Analytics.rdf version of this ontology was modified to eliminate hygiene issues related to text formatting and eliminate dead or outdated references.,Entity,Analytics.rdf version of this ontology was modified to eliminate hygiene issues related to text formatting and eliminate dead or outdated references.
specifies the date on which something is published,Entity,specifies the date on which something is published
CombinedDateTime,Entity,CombinedDateTime
RecurrenceInterval,Entity,RecurrenceInterval
specifies the quantity value that is subtracted from something,Entity,specifies the quantity value that is subtracted from something
ArithmeticMean,Entity,ArithmeticMean
hasRelativeComparativePeriod,Entity,hasRelativeComparativePeriod
Analytics.rdf version of this ontology was modified per the FIBO 2.0 RFC.,Entity,Analytics.rdf version of this ontology was modified per the FIBO 2.0 RFC.
Analytics.rdf version of this ontology was modified to add a synonym of 'average' to arithmetic mean.,Entity,Analytics.rdf version of this ontology was modified to add a synonym of 'average' to arithmetic mean.
XMLSchema#integer,Entity,XMLSchema#integer
