id,type,name
entity that is considered deprecated but included for informational purposes because it is referenced by some provisional concept,Entity,entity that is considered deprecated but included for informational purposes because it is referenced by some provisional concept
definition origin,Entity,definition origin
Module,Entity,Module
pub28.pdf,Entity,pub28.pdf
owl#AnnotationProperty,Entity,owl#AnnotationProperty
entity that is considered to be stable and mature from a development perspective,Entity,entity that is considered to be stable and mature from a development perspective
"Release notes will be provided for any changes with respect to released content, and any revisions will be backwards compatible with the prior version to the degree possible.",Entity,"Release notes will be provided for any changes with respect to released content, and any revisions will be backwards compatible with the prior version to the degree possible."
Informative,Entity,Informative
commonDesignation,Entity,commonDesignation
Provisional,Entity,Provisional
"This vocabulary provides a set of metadata annotations for use in describing FIBO ontology elements. The annotations extend properties defined in the OMG's Commons Ontology Library (Commons) Annotation Vocabulary, in the Dublin Core Metadata Terms Vocabulary and in the W3C Simple Knowledge Organization System (SKOS) Vocabulary, and have been customized to suit the FIBO specification development process. 

Note that any of the original properties provided in Dublin Core and SKOS can be used in addition to the terms provided herein. However, any Dublin Core terms that are not explicitly defined as OWL annotation properties in this ontology or in any of its imports must be so declared in the ontologies that use them.",Entity,"This vocabulary provides a set of metadata annotations for use in describing FIBO ontology elements. The annotations extend properties defined in the OMG's Commons Ontology Library (Commons) Annotation Vocabulary, in the Dublin Core Metadata Terms Vocabulary and in the W3C Simple Knowledge Organization System (SKOS) Vocabulary, and have been customized to suit the FIBO specification development process. 

Note that any of the original properties provided in Dublin Core and SKOS can be used in addition to the terms provided herein. However, any Dublin Core terms that are not explicitly defined as OWL annotation properties in this ontology or in any of its imports must be so declared in the ontologies that use them."
hasMaturityLevel,Entity,hasMaturityLevel
recommended designation for an entity in some context,Entity,recommended designation for an entity in some context
.,Entity,.
common designation,Entity,common designation
AnnotationVocabulary.rdf version of this ontology was modified to eliminate deprecated properties.,Entity,AnnotationVocabulary.rdf version of this ontology was modified to eliminate deprecated properties.
AnnotationVocabulary.rdf version of this ontology was modified to add the symbol annotation.,Entity,AnnotationVocabulary.rdf version of this ontology was modified to add the symbol annotation.
directSource,Entity,directSource
term origin,Entity,term origin
MaturityLevel,Entity,MaturityLevel
"A module should be designed to reflect these principles, including a small number of models that have well-defined relationships with one another, that form a coherent and cohesive whole for some purpose, and that have clear boundaries or interfaces to other modules.",Entity,"A module should be designed to reflect these principles, including a small number of models that have well-defined relationships with one another, that form a coherent and cohesive whole for some purpose, and that have clear boundaries or interfaces to other modules."
"document or other source from which a given term was taken directly; the range for this annotation can be a string, URI, or BibliographicCitation",Entity,"document or other source from which a given term was taken directly; the range for this annotation can be a string, URI, or BibliographicCitation"
"classifier used to indicate a category used to modularize something based on principles of the model driven architecture methodology (MDA), including but not limited to separation of concerns, coherence, and establishing clear logical boundaries in order to increase reusability and maintainability",Entity,"classifier used to indicate a category used to modularize something based on principles of the model driven architecture methodology (MDA), including but not limited to separation of concerns, coherence, and establishing clear logical boundaries in order to increase reusability and maintainability"
AnnotationVocabulary.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old.,Entity,AnnotationVocabulary.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old.
"ontology structure
	(5) to incorporate changes to the specification metadata to support documentation at the family, specification, module, and ontology level, similar to the abbreviations",Entity,"ontology structure
	(5) to incorporate changes to the specification metadata to support documentation at the family, specification, module, and ontology level, similar to the abbreviations"
"Copyright (c) 2013-2023 EDM Council, Inc.",Entity,"Copyright (c) 2013-2023 EDM Council, Inc."
AnnotationVocabulary.rdf version of this ontology was modified to address hygiene issues with respect to text formatting and eliminate the explicit SKOS import which is not needed.,Entity,AnnotationVocabulary.rdf version of this ontology was modified to address hygiene issues with respect to text formatting and eliminate the explicit SKOS import which is not needed.
preferredDesignation,Entity,preferredDesignation
owl#NamedIndividual,Entity,owl#NamedIndividual
Release,Entity,Release
classifier used to indicate the state of an artifact with respect to its development lifecycle,Entity,classifier used to indicate the state of an artifact with respect to its development lifecycle
,Entity,
FIBO Annotation Vocabulary,Entity,FIBO Annotation Vocabulary
"AnnotationVocabulary.rdf version of this ontology was modified to eliminate skos:Concept as a superclass of MaturityLevel (replaced with LifecycleStage in the Lifecycles ontology), revise explanatory notes for maturity levels based on community feedback, and correct the subproperty inheritance for adaptedFrom and logicalDefinition.",Entity,"AnnotationVocabulary.rdf version of this ontology was modified to eliminate skos:Concept as a superclass of MaturityLevel (replaced with LifecycleStage in the Lifecycles ontology), revise explanatory notes for maturity levels based on community feedback, and correct the subproperty inheritance for adaptedFrom and logicalDefinition."
links something to its state with respect to a development lifecycle,Entity,links something to its state with respect to a development lifecycle
owl#Class,Entity,owl#Class
provisional,Entity,provisional
informative,Entity,informative
maturity level,Entity,maturity level
synonym,Entity,synonym
"Copyright (c) 2013-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2013-2023 Object Management Group, Inc."
frequently used designation for an entity,Entity,frequently used designation for an entity
"FIBO currently has three maturity levels: Informative, Provisional, and Release.",Entity,"FIBO currently has three maturity levels: Informative, Provisional, and Release."
release,Entity,release
termOrigin,Entity,termOrigin
"document or other source from which a given definition was taken directly; the range for this annotation can be a string, URI, or BibliographicCitation",Entity,"document or other source from which a given definition was taken directly; the range for this annotation can be a string, URI, or BibliographicCitation"
owl#Ontology,Entity,owl#Ontology
has maturity level,Entity,has maturity level
module,Entity,module
preferred designation,Entity,preferred designation
"Informative content will be removed as soon as all dependencies have been eliminated, thus FIBO users should not depend on it going forward.",Entity,"Informative content will be removed as soon as all dependencies have been eliminated, thus FIBO users should not depend on it going forward."
definitionOrigin,Entity,definitionOrigin
MIT,Entity,MIT
entity that is considered to be under development,Entity,entity that is considered to be under development
AnnotationVocabulary.rdf version of this ontology was modified to integrate the Commons Ontology Library (Commons) Annotation Vocabulary and eliminate the need to import the OMG's Specification Metadata vocabulary.,Entity,AnnotationVocabulary.rdf version of this ontology was modified to integrate the Commons Ontology Library (Commons) Annotation Vocabulary and eliminate the need to import the OMG's Specification Metadata vocabulary.
"Provisional content is subject to change, and may change substantially prior to release. FIBO users should be aware that it is not dependable, but could be used for reference and as the basis for further work.",Entity,"Provisional content is subject to change, and may change substantially prior to release. FIBO users should be aware that it is not dependable, but could be used for reference and as the basis for further work."
Classifier,Entity,Classifier
"AnnotationVocabulary.rdf version of this ontology was modified to add common and preferred designations as needed for postal addresses and other purposes, to correct named individuals to be properly declared, and to revise definitions to be ISO 704 compliant.",Entity,"AnnotationVocabulary.rdf version of this ontology was modified to add common and preferred designations as needed for postal addresses and other purposes, to correct named individuals to be properly declared, and to revise definitions to be ISO 704 compliant."
