id,type,name
Arrangements.rdf version of this ontology was revised as a part of the issue resolutions identified in the FIBO FND 1.2 RTF report to add a definition for a structured collection.,Entity,Arrangements.rdf version of this ontology was revised as a part of the issue resolutions identified in the FIBO FND 1.2 RTF report to add a definition for a structured collection.
XMLSchema#nonNegativeInteger,Entity,XMLSchema#nonNegativeInteger
.,Entity,.
"This ontology defines abstract structural concepts, extending the Commons concept of an arrangement to represent schemes.",Entity,"This ontology defines abstract structural concepts, extending the Commons concept of an arrangement to represent schemes."
Arrangements.rdf version of this ontology was revised to loosen the range on hasObservedDateTime such that it can be used more generally.,Entity,Arrangements.rdf version of this ontology was revised to loosen the range on hasObservedDateTime such that it can be used more generally.
owl#Restriction,Entity,owl#Restriction
hasCollectionSize,Entity,hasCollectionSize
Arrangements Ontology,Entity,Arrangements Ontology
Arrangements.rdf version of this ontology was revised to move the concepts of a dated collection and dated collection constituent to Financial Dates in order to improve usability and simplify reasoning and make definitions ISO 704 compliant.,Entity,Arrangements.rdf version of this ontology was revised to move the concepts of a dated collection and dated collection constituent to Financial Dates in order to improve usability and simplify reasoning and make definitions ISO 704 compliant.
Release,Entity,Release
indicates the number of elements in a given collection,Entity,indicates the number of elements in a given collection
,Entity,
"Arrangements.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"Arrangements.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
owl#Class,Entity,owl#Class
CodeSet,Entity,CodeSet
has collection size,Entity,has collection size
"Arrangements.rdf version of this ontology was revised for the FIBO 2.0 RFC report to add a general definition for scheme, add dated collection, and add mappings to LCC.",Entity,"Arrangements.rdf version of this ontology was revised for the FIBO 2.0 RFC report to add a general definition for scheme, add dated collection, and add mappings to LCC."
Arrangements.rdf version of this ontology was revised to address hygiene issues with respect to text formatting.,Entity,Arrangements.rdf version of this ontology was revised to address hygiene issues with respect to text formatting.
"structure or means of organizing information such as a blueprint, schema, numbering system, organization structure, measurement system, plan, taxonomy, or language for organizing information",Entity,"structure or means of organizing information such as a blueprint, schema, numbering system, organization structure, measurement system, plan, taxonomy, or language for organizing information"
"Arrangements.rdf version of this ontology was revised to loosen the restriction on hasObservedDateTime so that it can be used with the new CombinedDateTime datatype (in FinancialDates, which is not imported herein to avoid circular dependencies), with finer granularity than seconds as appropriate for trades, for example.",Entity,"Arrangements.rdf version of this ontology was revised to loosen the restriction on hasObservedDateTime so that it can be used with the new CombinedDateTime datatype (in FinancialDates, which is not imported herein to avoid circular dependencies), with finer granularity than seconds as appropriate for trades, for example."
Scheme,Entity,Scheme
0,Entity,0
scheme,Entity,scheme
owl#Ontology,Entity,owl#Ontology
defines,Entity,defines
Ncc8eda06f4fb463ca43cd10f73d51124,Entity,Ncc8eda06f4fb463ca43cd10f73d51124
"Arrangements.rdf version of this ontology was revised to eliminate duplication with concepts in LCC for classes including arrangement, collection, code element, code set, etc to simplify the hierarchy and usage for FIBO users.",Entity,"Arrangements.rdf version of this ontology was revised to eliminate duplication with concepts in LCC for classes including arrangement, collection, code element, code set, etc to simplify the hierarchy and usage for FIBO users."
owl#DatatypeProperty,Entity,owl#DatatypeProperty
MIT,Entity,MIT
Arrangements.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old.,Entity,Arrangements.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old.
"Arrangements.rdf version of this ontology was revised to add a restriction to structured collection pointing to the arrangement used to organize that collection, and to revise the definition accordingly.",Entity,"Arrangements.rdf version of this ontology was revised to add a restriction to structured collection pointing to the arrangement used to organize that collection, and to revise the definition accordingly."
Arrangements.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,Arrangements.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
"Copyright (c) 2014-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2014-2023 Object Management Group, Inc."
Arrangement,Entity,Arrangement
"Copyright (c) 2014-2023 EDM Council, Inc.",Entity,"Copyright (c) 2014-2023 EDM Council, Inc."
