source_id,target_id,relationship
N43afdfc72fb940fa8c213473abbe7206,owl#Restriction,22-rdf-syntax-ns#type
Nf391d45b71b642a7bf8a36ef122a80c7,hasOutput,owl#onProperty
Nc63a46db08ef40b88106e7e199e83752,Asset,owl#onClass
,"Assessments.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",core#changeNote
AssessmentEvent,owl#Class,22-rdf-syntax-ns#type
,"Copyright (c) 2019-2024 Object Management Group, Inc.",copyright
N60b408252bae44aca6d85b2318260ff9,owl#Restriction,22-rdf-syntax-ns#type
hasEstimatedValue,has estimated value,rdf-schema#label
estimatesValueAt,owl#ObjectProperty,22-rdf-syntax-ns#type
ValueAssessment,Nd8834e0539fc464083f04fdd9488c13e,rdf-schema#subClassOf
Appraisal,AssessmentReport,rdf-schema#subClassOf
N4a8fda36298948e492ef1bb5fdd0a579,AssessmentActivity,owl#onClass
ValueAssessment,assessment event to estimate the value of something,core#definition
Appraisal,appraisal,rdf-schema#label
AssessmentActivity,OccurrenceKind,rdf-schema#subClassOf
N106def1531d44fa1a529b76342014c0b,0,owl#minQualifiedCardinality
N106def1531d44fa1a529b76342014c0b,owl#Restriction,22-rdf-syntax-ns#type
appliesMethodology,indicates the strategy used for the purposes of determining the fair market or present value of something,core#definition
Nc2af4761503d4034a9508799f7a4d4b5,owl#Restriction,22-rdf-syntax-ns#type
Nd8834e0539fc464083f04fdd9488c13e,AgentRole,owl#someValuesFrom
AssessmentActivity,assessment activity,rdf-schema#label
ValueAssessment,AssessmentEvent,rdf-schema#subClassOf
ValueAssessment,value assessment,rdf-schema#label
hasEstimatedValue,AppraisedValue,rdf-schema#range
,Assessments.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,core#changeNote
hasAppraiser,has appraiser,rdf-schema#label
N60b408252bae44aca6d85b2318260ff9,reportsOn,owl#onProperty
ValuationMethod,owl#Class,22-rdf-syntax-ns#type
Nc63a46db08ef40b88106e7e199e83752,0,owl#minQualifiedCardinality
N43afdfc72fb940fa8c213473abbe7206,Appraisal,owl#someValuesFrom
Nd8834e0539fc464083f04fdd9488c13e,hasAppraiser,owl#onProperty
AssessmentEvent,Occurrence,rdf-schema#subClassOf
AssessmentEvent,Nd41c5e8373fa4a2b9c87c3e89fe0948c,rdf-schema#subClassOf
hasDateOfAssessment,hasExplicitDate,rdf-schema#subPropertyOf
,"This ontology defines abstract concepts for assessments, evaluations, and outcomes, as the basis for various analysis, such as for business performance, compliance and risk.",abstract
AppraisedValue,estimated value of some asset as of a given point in time,core#definition
Appraiser,owl#Class,22-rdf-syntax-ns#type
AssessmentReport,"report that includes an opinion, judgement, appraisal, or view about something and typically the methodology and raw inputs used to arrive at that opinion",core#definition
Neeee5c879da444928cbf7a2cc0c3c4b6,owl#Restriction,22-rdf-syntax-ns#type
N74ed94d3e81e426caf80923cb1d257a0,owl#Restriction,22-rdf-syntax-ns#type
Opinion,opinion,rdf-schema#label
Nd8834e0539fc464083f04fdd9488c13e,owl#Restriction,22-rdf-syntax-ns#type
isEstimatedValueOf,hasEstimatedValue,owl#inverseOf
,,owl#imports
appliesMethodology,ValuationMethod,rdf-schema#range
Nc63a46db08ef40b88106e7e199e83752,evaluates,owl#onProperty
N72db17025579465e9ecc25ba667f28cd,isGeneratedBy,owl#onProperty
ValueAssessment,"Note that an appraiser in this context may be a licensed appraiser, such as a real estate appraiser or auction house, or a calculation agent, depending on the circumstances.",explanatoryNote
Ne936a5f9ae304f808cb9097eabe141b6,isGeneratedBy,owl#onProperty
N1e420d2eb56842978156b338cbacc7ce,0,owl#minQualifiedCardinality
N4a8fda36298948e492ef1bb5fdd0a579,owl#Restriction,22-rdf-syntax-ns#type
N4a8fda36298948e492ef1bb5fdd0a579,exemplifies,owl#onProperty
AssessmentReport,N60b408252bae44aca6d85b2318260ff9,rdf-schema#subClassOf
N74ed94d3e81e426caf80923cb1d257a0,evaluates,owl#onProperty
ValuationMethod,"Asset valuation is the process of determining the fair market or present value of assets, using book values, absolute valuation models like discounted cash flow analysis, option pricing models or comparables. Such assets include investments in marketable securities such as stocks, bonds and options; tangible assets like buildings and equipment; or intangible assets such as brands, patents and trademarks.",explanatoryNote
ValuationMethod,valuation method,rdf-schema#label
Appraisal,Nc63a46db08ef40b88106e7e199e83752,rdf-schema#subClassOf
N1d2f7032f43f4b889c1bd60dab69b4c2,isOutputFrom,owl#onProperty
