id,type,name
2,Entity,2
has contractual element,Entity,has contractual element
Counterparty,Entity,Counterparty
"In cases where there are discrepancies between the collateral agreement and primary contract, the primary contract, which may be a master agreement, for example, takes precedence.",Entity,"In cases where there are discrepancies between the collateral agreement and primary contract, the primary contract, which may be a master agreement, for example, takes precedence."
Contracts.rdf version of this ontology was revised to change a duplicate definition on hasContractDuration to an explanatory note.,Entity,Contracts.rdf version of this ontology was revised to change a duplicate definition on hasContractDuration to an explanatory note.
ContractualDefinition,Entity,ContractualDefinition
"identifies a party to a contract, typically not the contract principal",Entity,"identifies a party to a contract, typically not the contract principal"
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
Contracts.rdf version of this ontology was revised to eliminate deprecated elements.,Entity,Contracts.rdf version of this ontology was revised to eliminate deprecated elements.
has effective date,Entity,has effective date
N30e6cb901c344658a467b5b153593679,Entity,N30e6cb901c344658a467b5b153593679
N8f3d4cc47d8c47688e51ceecfa6abc1c,Entity,N8f3d4cc47d8c47688e51ceecfa6abc1c
hasContractDuration,Entity,hasContractDuration
provision specifying something that the contracting parties agree to,Entity,provision specifying something that the contracting parties agree to
contractual provision that outlines the requirements and responsibilities of one or both parties to reveal certain information to each other,Entity,contractual provision that outlines the requirements and responsibilities of one or both parties to reveal certain information to each other
isPlayedBy,Entity,isPlayedBy
A mutual contractual agreement involves an exchange of a promises in which the promises made by each party represent considerations supporting the promises of the other party(ies).,Entity,A mutual contractual agreement involves an exchange of a promises in which the promises made by each party represent considerations supporting the promises of the other party(ies).
milestone event,Entity,milestone event
PartyRole,Entity,PartyRole
isEvidencedBy,Entity,isEvidencedBy
"This ontology defines the concept of contract and roles that parties to contract play in the context of financial agreements. Coverage includes written contracts which are the concrete evidence of agreements between parties and verbal contracts. Contracts are further broken down into bilateral and transferable contracts, the latter being the basis for most financial instruments, and basic properties of contracts, such as terms and conditions, are also covered.",Entity,"This ontology defines the concept of contract and roles that parties to contract play in the context of financial agreements. Coverage includes written contracts which are the concrete evidence of agreements between parties and verbal contracts. Contracts are further broken down into bilateral and transferable contracts, the latter being the basis for most financial instruments, and basic properties of contracts, such as terms and conditions, are also covered."
"Contracts.rdf version of this ontology was revised to clean up the definition of transferable contract, including eliminating an unnecessary equivalence, adding subclasses for assignable and novatable contracts, and to restrictions from contract to written contract that did not make sense with respect to a verbal contract.",Entity,"Contracts.rdf version of this ontology was revised to clean up the definition of transferable contract, including eliminating an unnecessary equivalence, adding subclasses for assignable and novatable contracts, and to restrictions from contract to written contract that did not make sense with respect to a verbal contract."
or times when they will be done,Entity,or times when they will be done
novateable contract,Entity,novateable contract
mutual contractual agreement,Entity,mutual contractual agreement
contractual element that is not legally binding on any party to the agreement,Entity,contractual element that is not legally binding on any party to the agreement
N120dfecedcea47e68e2b4659347ef611,Entity,N120dfecedcea47e68e2b4659347ef611
contract terms that specify the conditions under which a contract can be extended,Entity,contract terms that specify the conditions under which a contract can be extended
contract between named parties whose individual rights and obligations are not transferable to another party without prior written permission,Entity,contract between named parties whose individual rights and obligations are not transferable to another party without prior written permission
owl#ObjectProperty,Entity,owl#ObjectProperty
is attested by,Entity,is attested by
N86bceed7f2da49f6bb805db283e60247,Entity,N86bceed7f2da49f6bb805db283e60247
milestone schedule,Entity,milestone schedule
"A contractual relationship is evidenced by (1) an offer, (2) acceptance of the offer, and a (3) valid (legal and valuable) consideration. A contract is a kind of agreement, and as such it embodies the assertion that it has been negotiated, such negotiation having included the presence of some offer and the acceptance of that offer on the part of either or both of the parties.",Entity,"A contractual relationship is evidenced by (1) an offer, (2) acceptance of the offer, and a (3) valid (legal and valuable) consideration. A contract is a kind of agreement, and as such it embodies the assertion that it has been negotiated, such negotiation having included the presence of some offer and the acceptance of that offer on the part of either or both of the parties."
Contracts.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,Contracts.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
Ne6b392bab1a2477ea669aba75d73fbee,Entity,Ne6b392bab1a2477ea669aba75d73fbee
"Many, though not all, futures contracts are assignable. This means that the original contract holder can sell the contract to another party in return for cash, and that party then assumes the rights, responsibilities, and benefits of that contract from that point onwards.",Entity,"Many, though not all, futures contracts are assignable. This means that the original contract holder can sell the contract to another party in return for cash, and that party then assumes the rights, responsibilities, and benefits of that contract from that point onwards."
formal contract that is written and signed by the parties thereto,Entity,formal contract that is written and signed by the parties thereto
hasExecutionDateTimeStamp,Entity,hasExecutionDateTimeStamp
contract,Entity,contract
characterizes,Entity,characterizes
"Contracts.rdf version of the ontology was modified to add an optional date of issuance to written contract, which may or may not be the same as the effective date (FBC-322), to add a general notion of collateral agreement (LOAN-168), and to add provisions for disclosures and use of proceeds (LOAN-169).",Entity,"Contracts.rdf version of the ontology was modified to add an optional date of issuance to written contract, which may or may not be the same as the effective date (FBC-322), to add a general notion of collateral agreement (LOAN-168), and to add provisions for disclosures and use of proceeds (LOAN-169)."
hasThirdParty,Entity,hasThirdParty
is evidence for,Entity,is evidence for
qualifies,Entity,qualifies
N8e1e3036915d49d4bcfe5c9bc3e81340,Entity,N8e1e3036915d49d4bcfe5c9bc3e81340
indicates something that is a component of an agreement,Entity,indicates something that is a component of an agreement
"Contracts.rdf version of this ontology was revised to add the concept of a term sheet, revise definitions to be ISO 704 compliant, and eliminate duplication of concepts in LCC.",Entity,"Contracts.rdf version of this ontology was revised to add the concept of a term sheet, revise definitions to be ISO 704 compliant, and eliminate duplication of concepts in LCC."
"indicates a fixed or limited period for which something, e.g., a contract, an investment, or an offer, lasts or is intended to last",Entity,"indicates a fixed or limited period for which something, e.g., a contract, an investment, or an offer, lasts or is intended to last"
N7ce9b76131dc4ef2ac2f71a9e4a2daea,Entity,N7ce9b76131dc4ef2ac2f71a9e4a2daea
OccurrenceKind,Entity,OccurrenceKind
hasMember,Entity,hasMember
master agreement,Entity,master agreement
contract in which one party makes an express promise without securing a reciprocal agreement from the other party(ies),Entity,contract in which one party makes an express promise without securing a reciprocal agreement from the other party(ies)
is subordinate to,Entity,is subordinate to
verbal contract,Entity,verbal contract
Constituent,Entity,Constituent
Release,Entity,Release
Contracts.rdf version of the ontology was modified to better integrate the parties to a contract with the latest patterns (FBC-284).,Entity,Contracts.rdf version of the ontology was modified to better integrate the parties to a contract with the latest patterns (FBC-284).
"In the case of a breach of a covenant or warranty, the contract remains binding and damages only are recoverable for the breach, whereas a breach of contract typically invalidates the entire contract.",Entity,"In the case of a breach of a covenant or warranty, the contract remains binding and damages only are recoverable for the breach, whereas a breach of contract typically invalidates the entire contract."
has contract duration,Entity,has contract duration
hasLegalDescription,Entity,hasLegalDescription
"contractual element that is a statement made by a party to the contract, before or at the time of making the contract, in regard to some fact, circumstance, or state of affairs pertinent to the contract, which the counterparty(ies) rely on, or is influential in bringing about the contract",Entity,"contractual element that is a statement made by a party to the contract, before or at the time of making the contract, in regard to some fact, circumstance, or state of affairs pertinent to the contract, which the counterparty(ies) rely on, or is influential in bringing about the contract"
Contracts.rdf version of the ontology was modified to replace concepts from several FIBO FND ontologies with their counterparts added to the Commons Ontology Library (Commons) v1.1.,Entity,Contracts.rdf version of the ontology was modified to replace concepts from several FIBO FND ontologies with their counterparts added to the Commons Ontology Library (Commons) v1.1.
Nca1213fefb564e85ad4ff6143c22da76,Entity,Nca1213fefb564e85ad4ff6143c22da76
isPrimaryContractFor,Entity,isPrimaryContractFor
hasTerm,Entity,hasTerm
