source_id,target_id,relationship
involvesControlledThing,involves controlled thing,rdf-schema#label
isControlledThingIn,is controlled thing in,rdf-schema#label
N2bcf7e25d57e4dda8a48f17f6e3e4f2c,isControlledThingIn,owl#onProperty
ControlledThing,controlled thing,rdf-schema#label
N2b4e282dac6d4496a3165624ce7c081c,Control,owl#someValuesFrom
ControlledThing,owl#Class,22-rdf-syntax-ns#type
,"This ontology defines high-level, control-related concepts, including the distinction between de jure and de facto control, the former being derived with reference to terms in the Legal Capacity ontology.",abstract
Nf24d10ed769b48ff970bbe3211543444,ControllingParty,owl#someValuesFrom
Ncc43562671a54bb29982d7e93c0aad4f,ControllingParty,owl#someValuesFrom
isInitiallyControlledOn,owl#FunctionalProperty,22-rdf-syntax-ns#type
,Control.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
isPartyControlling,is party controlling,rdf-schema#label
ControllingParty,Actor,rdf-schema#subClassOf
ControllingParty,owl#Class,22-rdf-syntax-ns#type
DeJureControl,"control that exists as a matter of law, i.e., legitimate, legal control of something",core#definition
DeJureControl,Control,rdf-schema#subClassOf
isControlledThingIn,involvesControlledThing,owl#inverseOf
isControllingPartyIn,Control,rdf-schema#range
Nf5216e5f57d447d995ee658545420e32,1,owl#qualifiedCardinality
N7430a1e41cc0402688c329d3648e1305,isPartyControlling,owl#onProperty
DeJureControl,de jure control,rdf-schema#label
ControllingParty,actor that exercises some form of control in the context of some situation,core#definition
hasPartyInControl,ControllingParty,rdf-schema#range
,Control.rdf version of the ontology was modified to address hygiene issues with respect to text formatting.,core#changeNote
,.,core#changeNote
isInitiallyControlledOn,CombinedDateTime,rdf-schema#range
hasControllingParty,ControllingParty,rdf-schema#range
controls,owl#ObjectProperty,22-rdf-syntax-ns#type
Control,Nf24d10ed769b48ff970bbe3211543444,rdf-schema#subClassOf
isInitiallyControlledOn,hasObservedDateTime,rdf-schema#subPropertyOf
DeJureControl,LegalConstruct,rdf-schema#subClassOf
Nd4ce45f05a294c19a072ccbbeffffe1f,involvesControlledThing,owl#onProperty
,,owl#imports
hasControllingParty,ControlledThing,rdf-schema#domain
N2bcf7e25d57e4dda8a48f17f6e3e4f2c,owl#Restriction,22-rdf-syntax-ns#type
Control,owl#Class,22-rdf-syntax-ns#type
DeFactoControl,Control,rdf-schema#subClassOf
Nf5216e5f57d447d995ee658545420e32,isInitiallyControlledOn,owl#onProperty
isControlledThingIn,owl#ObjectProperty,22-rdf-syntax-ns#type
Control,"Control may be direct (explicit) or indirect (implicit), derived through ownership of voting shares, beneficial ownership, other ownership relations, through provisions of a contract, or otherwise.",explanatoryNote
isControllingPartyIn,hasPartyInControl,owl#inverseOf
involvesControlledThing,ControlledThing,rdf-schema#range
isControlledBy,Party,rdf-schema#range
DeFactoControl,de facto control,rdf-schema#label
,Control.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,core#changeNote
,"Copyright (c) 2013-2024 EDM Council, Inc.",copyright
isControlledPartyOf,ControllingParty,rdf-schema#range
isPartyControlling,indicates something controlled that a controlling party has some amount of authority or influence over,core#definition
,,owl#versionIRI
N7430a1e41cc0402688c329d3648e1305,ControlledThing,owl#someValuesFrom
,owl#Ontology,22-rdf-syntax-ns#type
ControlledThing,N2bcf7e25d57e4dda8a48f17f6e3e4f2c,rdf-schema#subClassOf
DeJureControl,owl#Class,22-rdf-syntax-ns#type
DeFactoControl,DeJureControl,owl#disjointWith
,"Copyright (c) 2013-2024 Object Management Group, Inc.",copyright
Nd4ce45f05a294c19a072ccbbeffffe1f,owl#Restriction,22-rdf-syntax-ns#type
isControlledBy,experiencesDirectly,rdf-schema#subPropertyOf
Ncc43562671a54bb29982d7e93c0aad4f,owl#Restriction,22-rdf-syntax-ns#type
