source_id,target_id,relationship
hasAmount,total number or quantity,core#definition
N18ddc86e30e8436e8ff234342645b25d,Currency,owl#someValuesFrom
UnitPrice,N2956db9cb65e44fdbaf3c7842bc5e390,rdf-schema#subClassOf
Funds,"Codes for the representation of currencies and funds, ISO 4217, Eighth edition, 2015-08-01, section 3.3",definitionOrigin
Nc1dae753eb4e446b8aeecec4559e446f,hasTag,owl#onProperty
,"Copyright (c) 2013-2023 Object Management Group, Inc.",copyright
, version of this ontology was modified to eliminate deprecated elements.,core#changeNote
CalculatedPrice,owl#Class,22-rdf-syntax-ns#type
FundsIdentifier,sequence of characters that can be used to uniquely identify funds,core#definition
isPriceFor,owl#ObjectProperty,22-rdf-syntax-ns#type
,"CurrencyAmount.rdf version of this ontology was modified to include several classes to support automated inclusion of all ISO 4217 codes published as of 2018-06-04, and to revise definitions per the eighth edition of the specification.",core#changeNote
N13c39a8568ef4c0e88f219bfd9f6c497,owl#Restriction,22-rdf-syntax-ns#type
N2b8763db49684f5ea3f5c8ba208ffd31,owl#Restriction,22-rdf-syntax-ns#type
Nae3e143dd7854681af37cfaa7d7923c0,owl#Restriction,22-rdf-syntax-ns#type
hasMinorUnit,"Requirements sometimes arise for values to be expressed in terms of minor units of currency. When this occurs, it is necessary to know the decimal relationship that exists between the currency concerned and its minor unit. 
- 0 means that there is no minor unit for the currency; 
- 1, 2, and 3 signify a ratio of 10 to 1, 100 to 1 and 1000 to 1 respectively.",core#scopeNote
hasNumericCode,hasTextValue,rdf-schema#subPropertyOf
,"(1) The present version of the ontology covers the English sections of the ISO 4217 standard only, and (2) UTF-8 character encodings are employed in names in the currency codes ontology to support the broadest number of tools.",core#editorialNote
N0377312d8afb4d2fbce2ac3a2259e4ad,XMLSchema#string,owl#someValuesFrom
InterestRate,owl#Class,22-rdf-syntax-ns#type
AmountOfMoney,"This is an actual sum of money, not the measure of a sum of money in monetary units, although it has the same basic properties (decimal number with a currenct unit).",core#editorialNote
MonetaryAmount,monetary amount,rdf-schema#label
N2412cfaed98b4cc2a97750590ca64951,hasTextualName,owl#onProperty
CalculatedPrice,N5f441c5eb9894be2a7cb8b556d225b0d,rdf-schema#subClassOf
InterestRate,"Interest rates are typically noted on an annual basis, known as the annual percentage rate (APR). The assets borrowed could include cash, consumer goods, and large assets such as a vehicle or building. The rate is derived by dividing the amount of interest by the amount of principal borrowed. Interest rates are quoted on bills, notes, bonds, credit cards, and many kinds of consumer and business loans.",explanatoryNote
," version of this ontology was modified to move the definition of precious metal and the corresponding identifier to this ontology from Products and Services to simplify imports in cases where the broader definitions for commodities are not required and deprecated isTenderIn, given that we have used the property isUsedBy for this purpose in the currency codes themselves.",core#changeNote
N3a416bd6586f41ed8c804f99742d3801,hasCurrency,owl#onProperty
FundsIdentifier,"Codes for the representation of currencies and funds, ISO 4217, Eighth edition, 2015-08-01, section 3.2",adaptedFrom
MonetaryPrice,price that that is expressed as a monetary amount,core#definition
PreciousMetal,N0377312d8afb4d2fbce2ac3a2259e4ad,rdf-schema#subClassOf
UnitOfAccount,unit of account,rdf-schema#label
Currency,N2412cfaed98b4cc2a97750590ca64951,rdf-schema#subClassOf
ExchangeRate,owl#Class,22-rdf-syntax-ns#type
hasRateValue,has a value for a rate expressed as a number (may be a percentage or raw number),core#definition
FundsIdentifier,CodeElement,rdf-schema#subClassOf
,,owl#versionIRI
hasCurrency,Currency,rdf-schema#range
,CurrencyAmount.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old.,core#changeNote
