source_id,target_id,relationship
hasTerminationDate,has termination date,rdf-schema#label
hasReportingPeriod,owl#ObjectProperty,22-rdf-syntax-ns#type
hasReportingPeriod,hasDatePeriod,rdf-schema#subPropertyOf
,Documents.rdf version of this ontology was revised to eliminate references to external dictionary sites that no longer resolve.,core#changeNote
hasRecord,owl#ObjectProperty,22-rdf-syntax-ns#type
FinancialRecord,Collection,rdf-schema#subClassOf
,,owl#imports
hasReportingPeriod,ExplicitDatePeriod,rdf-schema#range
hasExpirationDate,Date,rdf-schema#range
,Release,hasMaturityLevel
hasExpirationDate,"links something, typically an agreement, contract, document, or perishable item, with an expiration date",core#definition
hasReportingPeriod,has reporting period,rdf-schema#label
,Documents Ontology,rdf-schema#label
,MIT,license
FinancialRecord,Record,rdf-schema#subClassOf
,Documents.rdf version of this ontology was revised to add a hasRecord property.,core#changeNote
hasTerminationDate,hasEndDate,rdf-schema#subPropertyOf
hasExpirationDate,has expiration date,rdf-schema#label
hasExpirationDate,owl#ObjectProperty,22-rdf-syntax-ns#type
FinancialRecord,"Financial records include accounts, agreements, trading books, etc.",core#example
,Documents.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
,"Documents.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",core#changeNote
,,owl#versionIRI
,Documents.rdf version of the ontology was modified to liminate elements that have been deprecated for several quarters (FND-386).,core#changeNote
hasRecord,has record,rdf-schema#label
,owl#Ontology,22-rdf-syntax-ns#type
hasExpirationDate,hasEndDate,rdf-schema#subPropertyOf
,"Documents.rdf version of this ontology was revised to integrate additional document concepts, including certificate, draft, and notice and eliminate duplication with concepts in LCC.",core#changeNote
FinancialRecord,owl#Class,22-rdf-syntax-ns#type
,This ontology defines abstract concepts for representation documents for use in other FIBO ontology elements.,abstract
hasReportingPeriod,"specifies the reporting period for which a report or something else, such as a market rate or economic indicator, applies",core#definition
,"Copyright (c) 2014-2024 Object Management Group, Inc.",copyright
hasRecord,links something to a record that pertains to it,core#definition
,Documents.rdf version of this ontology was revised to eliminate deprecated properties.,core#changeNote
FinancialRecord,financial record,rdf-schema#label
,Documents.rdf version of the ontology was modified to replace many of the concepts with those in the Documents ontology added to the Commons Ontology Library (Commons) v1.1.,core#changeNote
hasTerminationDate,"links something, typically an agreement, contract, document, or process, with a date on which it was terminated",core#definition
,Documents.rdf version of this ontology was revised as a part of the FIBO 2.0 RFC to add definitions for general purpose reports.,core#changeNote
hasRecord,Record,rdf-schema#range
,"Copyright (c) 2014-2024 EDM Council, Inc.",copyright
,Documents.rdf version of this ontology was revised to add a new records property.,core#changeNote
hasRecord,comprises,rdf-schema#subPropertyOf
,Documents.rdf version of this ontology was revised as a part of the issue resolutions identified in the FIBO FND 1.2 RTF report to add a definition for a record.,core#changeNote
,Documents.rdf version of the ontology was modified to replace an additional property with its equivalent in the Commons Ontology Library (Commons) v1.1.,core#changeNote
,Documents.rdf version of this ontology was revised as a part of the issue resolutions identified in the FIBO FND 1.1 RTF report to add a parent of hasDate to date properties.,core#changeNote
, in advance of the Long Beach meeting in December 2014.,core#changeNote
,Documents.rdf version of this ontology was revised to clarify the definition of legal document.,core#changeNote
FinancialRecord,record of financial information,core#definition
hasTerminationDate,Date,rdf-schema#range
hasTerminationDate,owl#ObjectProperty,22-rdf-syntax-ns#type
