id,type,name
record of financial information,Entity,record of financial information
has expiration date,Entity,has expiration date
"Copyright (c) 2014-2024 EDM Council, Inc.",Entity,"Copyright (c) 2014-2024 EDM Council, Inc."
Date,Entity,Date
Documents.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,Documents.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
"Documents.rdf version of this ontology was revised to integrate additional document concepts, including certificate, draft, and notice and eliminate duplication with concepts in LCC.",Entity,"Documents.rdf version of this ontology was revised to integrate additional document concepts, including certificate, draft, and notice and eliminate duplication with concepts in LCC."
Documents Ontology,Entity,Documents Ontology
Documents.rdf version of the ontology was modified to liminate elements that have been deprecated for several quarters (FND-386).,Entity,Documents.rdf version of the ontology was modified to liminate elements that have been deprecated for several quarters (FND-386).
"Copyright (c) 2014-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2014-2024 Object Management Group, Inc."
hasEndDate,Entity,hasEndDate
"Documents.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"Documents.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
ExplicitDatePeriod,Entity,ExplicitDatePeriod
Documents.rdf version of this ontology was revised to add a new records property.,Entity,Documents.rdf version of this ontology was revised to add a new records property.
Release,Entity,Release
owl#ObjectProperty,Entity,owl#ObjectProperty
FinancialRecord,Entity,FinancialRecord
,Entity,
This ontology defines abstract concepts for representation documents for use in other FIBO ontology elements.,Entity,This ontology defines abstract concepts for representation documents for use in other FIBO ontology elements.
Collection,Entity,Collection
"Financial records include accounts, agreements, trading books, etc.",Entity,"Financial records include accounts, agreements, trading books, etc."
owl#Class,Entity,owl#Class
hasDatePeriod,Entity,hasDatePeriod
links something to a record that pertains to it,Entity,links something to a record that pertains to it
has reporting period,Entity,has reporting period
hasTerminationDate,Entity,hasTerminationDate
Documents.rdf version of this ontology was revised as a part of the issue resolutions identified in the FIBO FND 1.1 RTF report to add a parent of hasDate to date properties.,Entity,Documents.rdf version of this ontology was revised as a part of the issue resolutions identified in the FIBO FND 1.1 RTF report to add a parent of hasDate to date properties.
hasExpirationDate,Entity,hasExpirationDate
Documents.rdf version of this ontology was revised as a part of the FIBO 2.0 RFC to add definitions for general purpose reports.,Entity,Documents.rdf version of this ontology was revised as a part of the FIBO 2.0 RFC to add definitions for general purpose reports.
"links something, typically an agreement, contract, document, or process, with a date on which it was terminated",Entity,"links something, typically an agreement, contract, document, or process, with a date on which it was terminated"
 in advance of the Long Beach meeting in December 2014.,Entity, in advance of the Long Beach meeting in December 2014.
Documents.rdf version of the ontology was modified to replace many of the concepts with those in the Documents ontology added to the Commons Ontology Library (Commons) v1.1.,Entity,Documents.rdf version of the ontology was modified to replace many of the concepts with those in the Documents ontology added to the Commons Ontology Library (Commons) v1.1.
financial record,Entity,financial record
"links something, typically an agreement, contract, document, or perishable item, with an expiration date",Entity,"links something, typically an agreement, contract, document, or perishable item, with an expiration date"
owl#Ontology,Entity,owl#Ontology
Documents.rdf version of this ontology was revised to eliminate deprecated properties.,Entity,Documents.rdf version of this ontology was revised to eliminate deprecated properties.
Documents.rdf version of this ontology was revised as a part of the issue resolutions identified in the FIBO FND 1.2 RTF report to add a definition for a record.,Entity,Documents.rdf version of this ontology was revised as a part of the issue resolutions identified in the FIBO FND 1.2 RTF report to add a definition for a record.
Record,Entity,Record
has record,Entity,has record
Documents.rdf version of this ontology was revised to add a hasRecord property.,Entity,Documents.rdf version of this ontology was revised to add a hasRecord property.
comprises,Entity,comprises
hasReportingPeriod,Entity,hasReportingPeriod
"specifies the reporting period for which a report or something else, such as a market rate or economic indicator, applies",Entity,"specifies the reporting period for which a report or something else, such as a market rate or economic indicator, applies"
Documents.rdf version of this ontology was revised to eliminate references to external dictionary sites that no longer resolve.,Entity,Documents.rdf version of this ontology was revised to eliminate references to external dictionary sites that no longer resolve.
hasRecord,Entity,hasRecord
Documents.rdf version of this ontology was revised to clarify the definition of legal document.,Entity,Documents.rdf version of this ontology was revised to clarify the definition of legal document.
MIT,Entity,MIT
has termination date,Entity,has termination date
Documents.rdf version of the ontology was modified to replace an additional property with its equivalent in the Commons Ontology Library (Commons) v1.1.,Entity,Documents.rdf version of the ontology was modified to replace an additional property with its equivalent in the Commons Ontology Library (Commons) v1.1.
