id,type,name
Capability,Entity,Capability
"indicates the place, setting, or context in which something is placed",Entity,"indicates the place, setting, or context in which something is placed"
Venue,Entity,Venue
is placed at,Entity,is placed at
involves,Entity,involves
Address,Entity,Address
"Facilities.rdf version of this ontology was modified to eliminate circular and ambiguous definitions, and simplify the ontology by merging physical site with site.",Entity,"Facilities.rdf version of this ontology was modified to eliminate circular and ambiguous definitions, and simplify the ontology by merging physical site with site."
provides,Entity,provides
situates,Entity,situates
This ontology was added to Foundations in advance of the December 2014 Long Beach meeting in support of the SEC specification.,Entity,This ontology was added to Foundations in advance of the December 2014 Long Beach meeting in support of the SEC specification.
Facilities.rdf version of this ontology was modified to integrate with the new real property ontology (LOAN-168).,Entity,Facilities.rdf version of this ontology was modified to integrate with the new real property ontology (LOAN-168).
capability,Entity,capability
"Example facilities that may situated at some site include structures and buildings, an archeological dig, the landing location for an aircraft or spacecraft, and the site of a wound. A given site may accommodate multiple facilities.",Entity,"Example facilities that may situated at some site include structures and buildings, an archeological dig, the landing location for an aircraft or spacecraft, and the site of a wound. A given site may accommodate multiple facilities."
"A physical site has certain characteristics that contribute to the context it provides, including area, shape, accessibility, and in the case of a geographic site, landforms, soil and ground conditions, climate, and so forth.",Entity,"A physical site has certain characteristics that contribute to the context it provides, including area, shape, accessibility, and in the case of a geographic site, landforms, soil and ground conditions, climate, and so forth."
"place, setting, or context in which something, such as a facility, is situated",Entity,"place, setting, or context in which something, such as a facility, is situated"
N484f1a7487054ba9af28da6d37868f04,Entity,N484f1a7487054ba9af28da6d37868f04
isSituatedAt,Entity,isSituatedAt
site,Entity,site
Facilities.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,Facilities.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
Facilities.rdf version of this ontology was modified to eliminate deprecated elements.,Entity,Facilities.rdf version of this ontology was modified to eliminate deprecated elements.
"This ontology provides scaffolding for use in describing concepts related to facilities, both virtual and physical, including physical sites that provide various facilities.",Entity,"This ontology provides scaffolding for use in describing concepts related to facilities, both virtual and physical, including physical sites that provide various facilities."
N4a1685f933f34d068608aab668b37789,Entity,N4a1685f933f34d068608aab668b37789
hasAddress,Entity,hasAddress
owl#Restriction,Entity,owl#Restriction
owl#Thing,Entity,owl#Thing
is situated at,Entity,is situated at
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
venue,Entity,venue
Na5a4eeaab3134d74a4222c2987603b83,Entity,Na5a4eeaab3134d74a4222c2987603b83
