source_id,target_id,relationship
hasAge,relates something to the length of time it has existed,core#definition
hasSchedule,owl#ObjectProperty,22-rdf-syntax-ns#type
RegularSchedule,N98f0d0d4136f44398706ffa420e579fe,rdf-schema#subClassOf
Thursday,owl#NamedIndividual,22-rdf-syntax-ns#type
CalendarSpecifiedInterval,Nc73759ff1ad04f67b70800f9e6abc61b,rdf-schema#subClassOf
hasDateReceived,"relates something to the date it arrived or was delivered, e.g., a loan application request",core#definition
Saturday,owl#NamedIndividual,22-rdf-syntax-ns#type
N9cd507e435594ab9aff0252c80ad7a1c,XMLSchema#string,owl#onDataRange
," version of this ontology was revised to move dated collection and dated collection constituent as well as hasObservedDateTime and hasAcquisitionDate to financial dates in order to improve usability, simplify reasoning, made definitions ISO 704 compliant, and eliminate redundant restrictions on ad hoc schedule entry.",core#changeNote
hasOrdinalNumber,owl#DatatypeProperty,22-rdf-syntax-ns#type
hasDateAdded,indicates the date something was included in something else,core#definition
CalendarYear,CalendarPeriod,22-rdf-syntax-ns#type
N33b28687257e4df1bd3e2b6d9cae1f78,22-rdf-syntax-ns#nil,22-rdf-syntax-ns#rest
,FinancialDates.rdf version of this ontology was modified to address hygiene issues with respect to text formatting.,core#changeNote
CalculationPeriodLength,calculation period length,rdf-schema#label
CalculationPeriodLength,ExplicitDuration,rdf-schema#subClassOf
CalendarSpecifiedInterval,calendar-specified interval,rdf-schema#label
Friday,TimeInterval,22-rdf-syntax-ns#type
Nbd7b6b05a02c43eb94737449a78bfafd,owl#Restriction,22-rdf-syntax-ns#type
Saturday,time interval that has duration 1 day and that meets a Sunday,core#definition
isRelativeTo,owl#ObjectProperty,22-rdf-syntax-ns#type
N5cb26d15c22b4e5ab0d83a84b04cb35c,XMLSchema#positiveInteger,owl#onDataRange
hasSchedule,Schedule,rdf-schema#range
RegularSchedule,Nd52e928cf8a24971afbc8ccca9e345e3,rdf-schema#subClassOf
hasCount,owl#DatatypeProperty,22-rdf-syntax-ns#type
SpecifiedDate,Nf323f17551004871ae069a9e41d5fe6e,rdf-schema#subClassOf
CalendarSpecifiedInterval,"The nth day is an ordinal number, not a cardinal number. '1' means the first day of the calendar period.",explanatoryNote
hasRecurrenceInterval,RecurrenceInterval,rdf-schema#range
,,owl#versionIRI
Schedule,Collection,rdf-schema#subClassOf
Nbc0bca9e1fd84059b9fc6ec564a839c8,owl#Restriction,22-rdf-syntax-ns#type
SpecifiedDate,CalculatedDate,rdf-schema#subClassOf
Sunday,owl#NamedIndividual,22-rdf-syntax-ns#type
N99e7c32a4e36415c87f1680b4804b208,owl#Restriction,22-rdf-syntax-ns#type
Tuesday,time interval that has duration 1 day and that meets a Wednesday,core#definition
RecurrenceInterval,time interval that is consistent between elements of a regular schedule,core#definition
CalculatedDate,"The hasDateValue property of a CalculatedDate is not set until the Date is calculated. Since the calculation may depend upon future events that may or may not ever happen, the hasDateValue property may never be set.",explanatoryNote
hasAcquisitionDate,owl#FunctionalProperty,22-rdf-syntax-ns#type
Wednesday,Wednesday,rdf-schema#label
Saturday,TimeInterval,22-rdf-syntax-ns#type
AdHocSchedule,schedule consisting of some number of individual events that are not necessarily recurring,core#definition
hasRelativeDuration,has relative duration,rdf-schema#label
Nd52e928cf8a24971afbc8ccca9e345e3,owl#Restriction,22-rdf-syntax-ns#type
DatedCollectionConstituent,owl#Class,22-rdf-syntax-ns#type
CalendarWeek,time interval of seven calendar days starting on a Monday,core#definition
isRelativeTo,Date,rdf-schema#range
DatedCollectionConstituent,"Note that the use of several options for the representation of a date and time stamp enables extensions for milliseconds, nanoseconds using an xsd:string that has the format of an xsd:dateTime datatype but extends the level of granularity consistently. An example of where this is required is to represent prices that change multiple times in a given day.",explanatoryNote
hasAsOfDate,It is different from the creation date and need not be the last date of the DatePeriod covered.,explanatoryNote
AdHocSchedule,Schedule,rdf-schema#subClassOf
Schedule,schedule,rdf-schema#label
CalendarPeriod,owl#Class,22-rdf-syntax-ns#type
N105b9e8c40fd4e45b02d388bf769b012,hasDuration,owl#onProperty
FromEnd,owl#NamedIndividual,22-rdf-syntax-ns#type
CalendarYear,owl#NamedIndividual,22-rdf-syntax-ns#type
RecurrenceInterval,frequency,synonym
Age,Duration,rdf-schema#subClassOf
AdHocScheduleEntry,ad hoc schedule entry,rdf-schema#label
