id,type,name
Neb3eb26529254f4fb94d783e59917399,Entity,Neb3eb26529254f4fb94d783e59917399
schedule consisting of some number of individual events that are not necessarily recurring,Entity,schedule consisting of some number of individual events that are not necessarily recurring
hasOverallPeriod,Entity,hasOverallPeriod
FromStart,Entity,FromStart
frequency,Entity,frequency
XMLSchema#integer,Entity,XMLSchema#integer
"relates something to the date it arrived or was delivered, e.g., a loan application request",Entity,"relates something to the date it arrived or was delivered, e.g., a loan application request"
hasStartDate,Entity,hasStartDate
"The cmns-dt;hasDate property may be used to reify a date, if it is important to do so for a given application, or if not and typically, the inherited cmns-dt;hasObservedDateTime property may be used together with a cmns-dt;CombinedDateTime value, as long as the resulting schedule is consistent in using one or the other.",Entity,"The cmns-dt;hasDate property may be used to reify a date, if it is important to do so for a given application, or if not and typically, the inherited cmns-dt;hasObservedDateTime property may be used together with a cmns-dt;CombinedDateTime value, as long as the resulting schedule is consistent in using one or the other."
time interval of seven calendar days starting on a Monday,Entity,time interval of seven calendar days starting on a Monday
fixed reference point within a series or timeline,Entity,fixed reference point within a series or timeline
N168402a0b65543589ec561f13043a343,Entity,N168402a0b65543589ec561f13043a343
hasInitialStub,Entity,hasInitialStub
has opening date time,Entity,has opening date time
calendar period,Entity,calendar period
DatedCollectionConstituent,Entity,DatedCollectionConstituent
time interval that has duration 1 day and that meets a Tuesday,Entity,time interval that has duration 1 day and that meets a Tuesday
"Copyright (c) 2014-2024 EDM Council, Inc.",Entity,"Copyright (c) 2014-2024 EDM Council, Inc."
anchor date,Entity,anchor date
"specifies the total number of things in a collection, such as the number of entries in a regular schedule",Entity,"specifies the total number of things in a collection, such as the number of entries in a regular schedule"
Na6c89ed621994afabaa6f31ccab184cc,Entity,Na6c89ed621994afabaa6f31ccab184cc
hasAsOfDate,Entity,hasAsOfDate
calendar year,Entity,calendar year
" version of this ontology was revised by the FIBO FND 1.2 RTF in order to introduce the definition of a time interval, which is a location, to ground some of the concepts such as a date period, and duration as well as to support the definition of business recurrence intervals for use in parametric schedules for securities.",Entity," version of this ontology was revised by the FIBO FND 1.2 RTF in order to introduce the definition of a time interval, which is a location, to ground some of the concepts such as a date period, and duration as well as to support the definition of business recurrence intervals for use in parametric schedules for securities."
calculation period,Entity,calculation period
has anchor date,Entity,has anchor date
owl#Restriction,Entity,owl#Restriction
CalculationPeriodLength,Entity,CalculationPeriodLength
 version of this ontology was revised to add the concept of age and a corresponding property that supports its use.,Entity, version of this ontology was revised to add the concept of age and a corresponding property that supports its use.
dated collection constituent,Entity,dated collection constituent
hasDateReceived,Entity,hasDateReceived
hasAge,Entity,hasAge
It is different from the creation date and need not be the last date of the DatePeriod covered.,Entity,It is different from the creation date and need not be the last date of the DatePeriod covered.
Thursday,Entity,Thursday
owl#NamedIndividual,Entity,owl#NamedIndividual
ad hoc schedule entry,Entity,ad hoc schedule entry
AdHocSchedule,Entity,AdHocSchedule
explicit recurrence interval,Entity,explicit recurrence interval
XMLSchema#string,Entity,XMLSchema#string
"Other ontologies can extend AdHocScheduleEntry as needed. In particular, the Occurrences ontology extends AdHocScheduleEntry to consist of occurrences (events) of a given OccurrenceKind. The meaning is that an ad hoc schedule entry comprises a date and an event which is scheduled to occur on that date.",Entity,"Other ontologies can extend AdHocScheduleEntry as needed. In particular, the Occurrences ontology extends AdHocScheduleEntry to consist of occurrences (events) of a given OccurrenceKind. The meaning is that an ad hoc schedule entry comprises a date and an event which is scheduled to occur on that date."
"One Saturday is the time interval that has duration 1 day and that starts Gregorian year 2000. This requirement anchors the repeating sequence of days of week to specific Gregorian days. It requires that January 1, 2000 is a Saturday. It follows that January 2, 2000 must be the Sunday that it meets, and so on.",Entity,"One Saturday is the time interval that has duration 1 day and that starts Gregorian year 2000. This requirement anchors the repeating sequence of days of week to specific Gregorian days. It requires that January 1, 2000 is a Saturday. It follows that January 2, 2000 must be the Sunday that it meets, and so on."
Saturday,Entity,Saturday
"A settlement date, defined as T+3: three days after the trade date. The 'hasRelativeDuration' property is set to '3D'.",Entity,"A settlement date, defined as T+3: three days after the trade date. The 'hasRelativeDuration' property is set to '3D'."
The first day of a calendar quarter. (The offsetDay is zero.),Entity,The first day of a calendar quarter. (The offsetDay is zero.)
has closing date time,Entity,has closing date time
1,Entity,1
"time interval resulting from the division of a calendar year in 12 time intervals, each with a specific name and containing a specific number of calendar days",Entity,"time interval resulting from the division of a calendar year in 12 time intervals, each with a specific name and containing a specific number of calendar days"
"A corporate bond pays interest for 10 years starting on the first day of 2015. Interest payments are due 15 days after the expiration of each 6 month period: on July 15 and January 16.

The payment schedule is a RegularSchedule, with these properties:

* comprises: identifies the interest payment details
* overall DatePeriod starting date is '2015-01-01', ending date is '2025-01-15', and duration is 'P10Y15D'
* hasCount is 20 (2 payments per year for 10 years)
* hasRecurrenceInterval is 'P6M'
* hasRecurrenceStartDate is '2015-01-15'",Entity,"A corporate bond pays interest for 10 years starting on the first day of 2015. Interest payments are due 15 days after the expiration of each 6 month period: on July 15 and January 16.

The payment schedule is a RegularSchedule, with these properties:

* comprises: identifies the interest payment details
* overall DatePeriod starting date is '2015-01-01', ending date is '2025-01-15', and duration is 'P10Y15D'
* hasCount is 20 (2 payments per year for 10 years)
* hasRecurrenceInterval is 'P6M'
* hasRecurrenceStartDate is '2015-01-15'"
schedule,Entity,schedule
hasDatePeriod,Entity,hasDatePeriod
A relative duration may be negative.,Entity,A relative duration may be negative.
hasCalendarPeriod,Entity,hasCalendarPeriod
FinancialDates.rdf version of this ontology was modified to address hygiene issues with respect to text formatting.,Entity,FinancialDates.rdf version of this ontology was modified to address hygiene issues with respect to text formatting.
calendar-specified interval,Entity,calendar-specified interval
" version of this ontology was revised by the FIBO 2.0 RFC in order to introduce the definition of a time instant, to eliminate a reasoning issue with relative dates, and remove a circular dependency inadvertently incorporated in the ontology with a FIBO FND 1.2 modification.",Entity," version of this ontology was revised by the FIBO 2.0 RFC in order to introduce the definition of a time instant, to eliminate a reasoning issue with relative dates, and remove a circular dependency inadvertently incorporated in the ontology with a FIBO FND 1.2 modification."
This ontology provides definitions of date and schedule concepts for use in other FIBO ontologies.,Entity,This ontology provides definitions of date and schedule concepts for use in other FIBO ontologies.
the day and time at which something closes,Entity,the day and time at which something closes
CalendarWeek,Entity,CalendarWeek
"This ontology was added to Foundations in advance of the December 2014 Long Beach meeting in support of the SEC specification. It is also needed to provide temporal relationships for Ownership and Control.

These three ontologies are designed for use together:

	* FinancialDates -- financial Dates and Schedules
	* BusinessDates -- business day adjustments
	* Occurrences -- occurrences (events) and kinds of occurrences

They are modularized this way to minimize the ontological committments that are imposed upon ontologies that rely upon them. Ontologies can import FinancialDates alone, or FinancialDates + BusinessDates, or FinancialDates + Occurrences, or all three together.",Entity,"This ontology was added to Foundations in advance of the December 2014 Long Beach meeting in support of the SEC specification. It is also needed to provide temporal relationships for Ownership and Control.

These three ontologies are designed for use together:

	* FinancialDates -- financial Dates and Schedules
	* BusinessDates -- business day adjustments
	* Occurrences -- occurrences (events) and kinds of occurrences

They are modularized this way to minimize the ontological committments that are imposed upon ontologies that rely upon them. Ontologies can import FinancialDates alone, or FinancialDates + BusinessDates, or FinancialDates + Occurrences, or all three together."
specifies a fixed reference point within a series or timeline,Entity,specifies a fixed reference point within a series or timeline
duration between two explicit dates,Entity,duration between two explicit dates
CalendarSpecifiedInterval,Entity,CalendarSpecifiedInterval
element of a collection that is associated with a date and time,Entity,element of a collection that is associated with a date and time
hasOpeningDateTime,Entity,hasOpeningDateTime
relates something to the date on which it is accurate or valid (e.g. a credit report has an asOfDate that means the date when the information was drawn),Entity,relates something to the date on which it is accurate or valid (e.g. a credit report has an asOfDate that means the date when the information was drawn)
indicates the frequency with which some event or publication occurs,Entity,indicates the frequency with which some event or publication occurs
 version of this ontology was revised to add hasOpeningDateTime and hasClosingDateTime for use in defining trading days and sessions and eliminated the functional property declaration on hasExplicitDate.,Entity, version of this ontology was revised to add hasOpeningDateTime and hasClosingDateTime for use in defining trading days and sessions and eliminated the functional property declaration on hasExplicitDate.
