id,type,name
VND,Entity,VND
104,Entity,104
CaymanIslands,Entity,CaymanIslands
925,Entity,925
Cordoba Oro,Entity,Cordoba Oro
the currency Zambian Kwacha,Entity,the currency Zambian Kwacha
INR,Entity,INR
UnitedStatesOfAmerica,Entity,UnitedStatesOfAmerica
Uganda,Entity,Uganda
Curacao,Entity,Curacao
CFP Franc,Entity,CFP Franc
Ghana,Entity,Ghana
XUA,Entity,XUA
Mexico,Entity,Mexico
SaintLucia,Entity,SaintLucia
Georgia,Entity,Georgia
the currency Costa Rican Colon,Entity,the currency Costa Rican Colon
Finland,Entity,Finland
BWP,Entity,BWP
238,Entity,238
UnidaddeValorReal,Entity,UnidaddeValorReal
the currency Jamaican Dollar,Entity,the currency Jamaican Dollar
NewTaiwanDollar,Entity,NewTaiwanDollar
Djibouti,Entity,Djibouti
HongKong,Entity,HongKong
the funds US Dollar (Next day),Entity,the funds US Dollar (Next day)
BurkinaFaso,Entity,BurkinaFaso
826,Entity,826
Mexican Peso,Entity,Mexican Peso
985,Entity,985
940,Entity,940
Serbia,Entity,Serbia
760,Entity,760
Dominica,Entity,Dominica
682,Entity,682
IRR,Entity,IRR
the set of currency identifiers that comprise the ISO 4217 specification,Entity,the set of currency identifiers that comprise the ISO 4217 specification
the currency Pound Sterling,Entity,the currency Pound Sterling
Bulgaria,Entity,Bulgaria
957,Entity,957
NorwegianKrone,Entity,NorwegianKrone
Brunei Dollar,Entity,Brunei Dollar
Uruguay,Entity,Uruguay
the funds Unidad de Valor Real,Entity,the funds Unidad de Valor Real
the currency identifier for Costa Rican Colon,Entity,the currency identifier for Costa Rican Colon
the Bond Markets Unit European Monetary Unit (E.M.U.-6),Entity,the Bond Markets Unit European Monetary Unit (E.M.U.-6)
the currency identifier for Guarani,Entity,the currency identifier for Guarani
DjiboutiFranc,Entity,DjiboutiFranc
Mongolia,Entity,Mongolia
CordobaOro,Entity,CordobaOro
068,Entity,068
the currency identifier for Rufiyaa,Entity,the currency identifier for Rufiyaa
Kazakhstan,Entity,Kazakhstan
496,Entity,496
Sudan,Entity,Sudan
the currency identifier for Denar,Entity,the currency identifier for Denar
Japan,Entity,Japan
the funds Unidad Previsional,Entity,the funds Unidad Previsional
the currency identifier for Liberian Dollar,Entity,the currency identifier for Liberian Dollar
203,Entity,203
Moroccan Dirham,Entity,Moroccan Dirham
SyrianPound,Entity,SyrianPound
Silver,Entity,Silver
064,Entity,064
the currency CFP Franc,Entity,the currency CFP Franc
Unidad de Fomento,Entity,Unidad de Fomento
the currency identifier for Dominican Peso,Entity,the currency identifier for Dominican Peso
SCR,Entity,SCR
CubanPeso,Entity,CubanPeso
the currency identifier for Bermudian Dollar,Entity,the currency identifier for Bermudian Dollar
967,Entity,967
Bond Markets Unit European Composite Unit (EURCO),Entity,Bond Markets Unit European Composite Unit (EURCO)
Malawi,Entity,Malawi
the currency identifier for Comorian Franc,Entity,the currency identifier for Comorian Franc
Bahamian Dollar,Entity,Bahamian Dollar
953,Entity,953
TND,Entity,TND
USDollar_Nextday,Entity,USDollar_Nextday
the currency identifier for UAE Dirham,Entity,the currency identifier for UAE Dirham
SaintMartin,Entity,SaintMartin
BZD,Entity,BZD
090,Entity,090
NGN,Entity,NGN
ADB Unit of Account,Entity,ADB Unit of Account
EastCaribbeanDollar,Entity,EastCaribbeanDollar
BelarusianRuble,Entity,BelarusianRuble
222,Entity,222
Colombian Peso,Entity,Colombian Peso
SintMaarten,Entity,SintMaarten
UYI,Entity,UYI
the currency Lao Kip,Entity,the currency Lao Kip
Malagasy Ariary,Entity,Malagasy Ariary
the currency Falkland Islands Pound,Entity,the currency Falkland Islands Pound
the currency whose unit is one troy ounce of the precious metal Silver,Entity,the currency whose unit is one troy ounce of the precious metal Silver
Cayman Islands Dollar,Entity,Cayman Islands Dollar
FundsIdentifier,Entity,FundsIdentifier
PKR,Entity,PKR
051,Entity,051
Paraguay,Entity,Paraguay
Bermuda,Entity,Bermuda
Ethiopia,Entity,Ethiopia
the currency Ghana Cedi,Entity,the currency Ghana Cedi
Iranian Rial,Entity,Iranian Rial
the currency identifier for New Israeli Sheqel,Entity,the currency identifier for New Israeli Sheqel
756,Entity,756
ANG,Entity,ANG
CHW,Entity,CHW
identifier for the currency whose unit is one troy ounce of the precious metal Silver,Entity,identifier for the currency whose unit is one troy ounce of the precious metal Silver
Portugal,Entity,Portugal
the Bond Markets Unit European Composite Unit (EURCO),Entity,the Bond Markets Unit European Composite Unit (EURCO)
Ouguiya,Entity,Ouguiya
the currency Moldovan Leu,Entity,the currency Moldovan Leu
SaintVincentAndTheGrenadines,Entity,SaintVincentAndTheGrenadines
AzerbaijanManat,Entity,AzerbaijanManat
Gold,Entity,Gold
Chile,Entity,Chile
BouvetIsland,Entity,BouvetIsland
the currency identifier for Bulgarian Lev,Entity,the currency identifier for Bulgarian Lev
the funds identifier for Mexican Unidad de Inversion (UDI),Entity,the funds identifier for Mexican Unidad de Inversion (UDI)
SerbianDinar,Entity,SerbianDinar
the currency identifier for Loti,Entity,the currency identifier for Loti
BermudianDollar,Entity,BermudianDollar
BritishIndianOceanTerritory,Entity,BritishIndianOceanTerritory
