id,type,name
IdentifiersAndIndices.rdf version of the ontology was modified to replace additional content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,IdentifiersAndIndices.rdf version of the ontology was modified to replace additional content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
hasObservedDateTime,Entity,hasObservedDateTime
owl#AnnotationProperty,Entity,owl#AnnotationProperty
Reference,Entity,Reference
parse regex,Entity,parse regex
N722d0e93ca9e4d8ca8498b0eafa64653,Entity,N722d0e93ca9e4d8ca8498b0eafa64653
isDefinedIn,Entity,isDefinedIn
parseRegex,Entity,parseRegex
constructRegex,Entity,constructRegex
ReassignableIdentifier,Entity,ReassignableIdentifier
refersTo,Entity,refersTo
"Copyright (c) 2014-2024 EDM Council, Inc.",Entity,"Copyright (c) 2014-2024 EDM Council, Inc."
.,Entity,.
N8f99d1f8d742462dae5e062a1a6b51f4,Entity,N8f99d1f8d742462dae5e062a1a6b51f4
"IdentifiersAndIndices.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"IdentifiersAndIndices.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
owl#Restriction,Entity,owl#Restriction
Identifiers and Indices Ontology,Entity,Identifiers and Indices Ontology
"identifier that uniquely identifies something for a given time period, and that may be reused to identify something else at a different point in time",Entity,"identifier that uniquely identifies something for a given time period, and that may be reused to identify something else at a different point in time"
"Copyright (c) 2014-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2014-2024 Object Management Group, Inc."
"indirect shortcut derived from and pointing into, a greater volume of values, data, information or knowledge",Entity,"indirect shortcut derived from and pointing into, a greater volume of values, data, information or knowledge"
Identifier,Entity,Identifier
hasAssignmentTerminationDate,Entity,hasAssignmentTerminationDate
Index,Entity,Index
XMLSchema#string,Entity,XMLSchema#string
Release,Entity,Release
,Entity,
has initial assignment date,Entity,has initial assignment date
N44bf2d7e93b045b2bca630428d11e551,Entity,N44bf2d7e93b045b2bca630428d11e551
Nca86da30730f4305b6e9a3112500ad84,Entity,Nca86da30730f4305b6e9a3112500ad84
owl#ObjectProperty,Entity,owl#ObjectProperty
"If no assignment termination date is provided, the identifier is considered to be assigned and valid. If there is no initial assignment date, then the identifier is assumed to be assigned up until the termination date, if any.",Entity,"If no assignment termination date is provided, the identifier is considered to be assigned and valid. If there is no initial assignment date, then the identifier is assumed to be assigned up until the termination date, if any."
index,Entity,index
owl#Class,Entity,owl#Class
1,Entity,1
the date on which an identifier is released from its assignment to some resource,Entity,the date on which an identifier is released from its assignment to some resource
