id,type,name
Jurisdiction,Entity,Jurisdiction
Jurisdiction.rdf version of the ontology was modified to integrate jurisdictions with context from the Commons Ontology Library (Commons).,Entity,Jurisdiction.rdf version of the ontology was modified to integrate jurisdictions with context from the Commons Ontology Library (Commons).
Jurisdiction Ontology,Entity,Jurisdiction Ontology
statute law,Entity,statute law
indicates the geopolitical area covered by the jurisdiction,Entity,indicates the geopolitical area covered by the jurisdiction
Law,Entity,Law
"ontology structure
	(5) to incorporate changes to the specification metadata to support documentation at the family, specification, module, and ontology level, similar to the abbreviations
	(6) to revise definitions using more formal sources.",Entity,"ontology structure
	(5) to incorporate changes to the specification metadata to support documentation at the family, specification, module, and ontology level, similar to the abbreviations
	(6) to revise definitions using more formal sources."
.,Entity,.
TaxIdentificationScheme,Entity,TaxIdentificationScheme
N169ded4efbb748838b78f61bea756108,Entity,N169ded4efbb748838b78f61bea756108
Jurisdiction.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old.,Entity,Jurisdiction.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old.
"In the United States, statutes may also be called acts, such as the Civil Rights Act of 1964 or the Sarbanes-Oxley Act. Federal laws must be passed by both houses of Congress, the House of Representative and the Senate, and then usually require approval from the president before they can take effect.",Entity,"In the United States, statutes may also be called acts, such as the Civil Rights Act of 1964 or the Sarbanes-Oxley Act. Federal laws must be passed by both houses of Congress, the House of Representative and the Senate, and then usually require approval from the president before they can take effect."
owl#Restriction,Entity,owl#Restriction
jurisdiction,Entity,jurisdiction
Jurisdiction.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,Jurisdiction.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
Nc2e1dbd7b3154b5685e7bb41afce513a,Entity,Nc2e1dbd7b3154b5685e7bb41afce513a
"power of a court to adjudicate cases, issue orders, and interpret and apply the law with respect to some specific geographic area",Entity,"power of a court to adjudicate cases, issue orders, and interpret and apply the law with respect to some specific geographic area"
"Copyright (c) 2013-2023 EDM Council, Inc.",Entity,"Copyright (c) 2013-2023 EDM Council, Inc."
Jurisdiction.rdf version of the ontology was modified to extend the concept of a tax identifier and identification scheme with the applicable jurisdiction.,Entity,Jurisdiction.rdf version of the ontology was modified to extend the concept of a tax identifier and identification scheme with the applicable jurisdiction.
has reach,Entity,has reach
owl#ObjectProperty,Entity,owl#ObjectProperty
"This ontology defines high level concepts relating to jurisdictions for use in other FIBO ontology elements. This includes a general definition of jurisdiction along with some basic types of jurisdiction, along with the factors which distinguish one type of jurisdiction from another.",Entity,"This ontology defines high level concepts relating to jurisdictions for use in other FIBO ontology elements. This includes a general definition of jurisdiction along with some basic types of jurisdiction, along with the factors which distinguish one type of jurisdiction from another."
,Entity,
statutory law,Entity,statutory law
Release,Entity,Release
owl#Class,Entity,owl#Class
isInForceIn,Entity,isInForceIn
Jurisdiction.rdf version of the ontology was modified to address hygiene issues with respect to text formatting.,Entity,Jurisdiction.rdf version of the ontology was modified to address hygiene issues with respect to text formatting.
StatuteLaw,Entity,StatuteLaw
isApplicableIn,Entity,isApplicableIn
law enacted by a legislature,Entity,law enacted by a legislature
N2ecad03a4a724ea6a6a139e5ebd72c42,Entity,N2ecad03a4a724ea6a6a139e5ebd72c42
"Copyright (c) 2013-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2013-2023 Object Management Group, Inc."
N5d3610aa85e34c41bbace6017f829ce9,Entity,N5d3610aa85e34c41bbace6017f829ce9
owl#Ontology,Entity,owl#Ontology
LegalAge,Entity,LegalAge
Jurisdiction.rdf version of the ontology was was modified per the FIBO 2.0 RFC to integrate LCC.,Entity,Jurisdiction.rdf version of the ontology was was modified per the FIBO 2.0 RFC to integrate LCC.
Jurisdiction.rdf version of the ontology was modified to extend the concept of legal age with the applicable jurisdiction.,Entity,Jurisdiction.rdf version of the ontology was modified to extend the concept of legal age with the applicable jurisdiction.
GeographicRegion,Entity,GeographicRegion
Context,Entity,Context
Na15d018459df40bfa15cb812a6d04998,Entity,Na15d018459df40bfa15cb812a6d04998
MIT,Entity,MIT
hasReach,Entity,hasReach
TaxIdentifier,Entity,TaxIdentifier
"Jurisdiction.rdf version of the ontology was modified to remove the constraint on jurisdiction that it is governed by some legal system, eliminate the class legal system and its children, which were very general and not used anywhere in FIBO, clean up remaining definitions with better sources, and eliminate an unused import.",Entity,"Jurisdiction.rdf version of the ontology was modified to remove the constraint on jurisdiction that it is governed by some legal system, eliminate the class legal system and its children, which were very general and not used anywhere in FIBO, clean up remaining definitions with better sources, and eliminate an unused import."
statute,Entity,statute
"Statutes may originate with national, state legislatures or local municipalities. Statutory laws are subordinate to the higher constitutional laws of the land.",Entity,"Statutes may originate with national, state legislatures or local municipalities. Statutory laws are subordinate to the higher constitutional laws of the land."
