id,type,name
MarketTransactionPaymentTerms,Entity,MarketTransactionPaymentTerms
Nce947488ae2441df9d5bbda577269cc6,Entity,Nce947488ae2441df9d5bbda577269cc6
TransactionCounterparty,Entity,TransactionCounterparty
EconomicContractTermsSet,Entity,EconomicContractTermsSet
Informative,Entity,Informative
N593f7583108a40d992668b2f16651d99,Entity,N593f7583108a40d992668b2f16651d99
Counterparty,Entity,Counterparty
TransactionPrincipal,Entity,TransactionPrincipal
ContractPrincipal,Entity,ContractPrincipal
market transaction payment terms,Entity,market transaction payment terms
N24666bd5409147e783e88e73cce45f43,Entity,N24666bd5409147e783e88e73cce45f43
EconomicTransaction,Entity,EconomicTransaction
TransactionParty,Entity,TransactionParty
owl#Restriction,Entity,owl#Restriction
EconomicResource,Entity,EconomicResource
payment terms,Entity,payment terms
MarketTransaction,Entity,MarketTransaction
"Copyright (c) 2013-2023 EDM Council, Inc.",Entity,"Copyright (c) 2013-2023 EDM Council, Inc."
consideration,Entity,consideration
paymentTerms,Entity,paymentTerms
owl#ObjectProperty,Entity,owl#ObjectProperty
,Entity,
market transaction,Entity,market transaction
owl#Class,Entity,owl#Class
subject,Entity,subject
MarketTransactionInvoicingTerms,Entity,MarketTransactionInvoicingTerms
Payment,Entity,Payment
Market Transactions Ontology,Entity,Market Transactions Ontology
governs,Entity,governs
transaction principal,Entity,transaction principal
hasCounterparty,Entity,hasCounterparty
owl#Ontology,Entity,owl#Ontology
N9fe4e92182154180ac825e46c7c1fb88,Entity,N9fe4e92182154180ac825e46c7c1fb88
transaction counterparty,Entity,transaction counterparty
transactsWith,Entity,transactsWith
transactedUnder,Entity,transactedUnder
MIT,Entity,MIT
N8a6c739fc7fa495aba2e1771b64ef79c,Entity,N8a6c739fc7fa495aba2e1771b64ef79c
hasPrincipalParty,Entity,hasPrincipalParty
"Defines the concepts for market transactions in general, on any kind of marketplace. 
		This ontology is not used directly in FIBO content but provides the conceptual underpinnings for securities market transactions.",Entity,"Defines the concepts for market transactions in general, on any kind of marketplace. 
		This ontology is not used directly in FIBO content but provides the conceptual underpinnings for securities market transactions."
market transaction invoicing terms,Entity,market transaction invoicing terms
"Any transaction which defines a supply of some negotiable item in return for some Consideration. The Market Transaction has a Principal and a Counterparty, i.e. it is not symmetrical.",Entity,"Any transaction which defines a supply of some negotiable item in return for some Consideration. The Market Transaction has a Principal and a Counterparty, i.e. it is not symmetrical."
Ndb5d683b8c1e4711a34edb8abf5ed4ef,Entity,Ndb5d683b8c1e4711a34edb8abf5ed4ef
