source_id,target_id,relationship
,,owl#imports
AccountingModule,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
,MIT,license
AccountingModule,FIBO FND Accounting Module,title
AccountingModule,,hasPart
,,owl#versionIRI
AccountingModule,This module contains ontologies of general accounting concepts including currency and the ISO 4217 reference currency codes.,abstract
,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
AccountingModule,owl#NamedIndividual,22-rdf-syntax-ns#type
AccountingModule,Module,22-rdf-syntax-ns#type
,owl#Ontology,22-rdf-syntax-ns#type
,Metadata for the EDMC-FIBO Foundations (FND) Accounting Module,rdf-schema#label
AccountingModule,,rdf-schema#seeAlso
,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
AccountingModule,MIT,license
,2023-01-06T18:00:00,modified
AccountingModule,accounting module,rdf-schema#label
,This module contains ontologies of general accounting concepts including currency and the ISO 4217 reference currency codes.,abstract
AccountingModule,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
,2020-02-24T18:00:00,issued
AccountingModule,Financial Industry Business Ontology (FIBO) Foundations (FND) Accounting Module,title
