id,type,name
This module contains ontologies of general accounting concepts including currency and the ISO 4217 reference currency codes.,Entity,This module contains ontologies of general accounting concepts including currency and the ISO 4217 reference currency codes.
Financial Industry Business Ontology (FIBO) Foundations (FND) Accounting Module,Entity,Financial Industry Business Ontology (FIBO) Foundations (FND) Accounting Module
owl#Ontology,Entity,owl#Ontology
AccountingModule,Entity,AccountingModule
2020-02-24T18:00:00,Entity,2020-02-24T18:00:00
Module,Entity,Module
Metadata for the EDMC-FIBO Foundations (FND) Accounting Module,Entity,Metadata for the EDMC-FIBO Foundations (FND) Accounting Module
2023-01-06T18:00:00,Entity,2023-01-06T18:00:00
accounting module,Entity,accounting module
MIT,Entity,MIT
"Copyright (c) 2017-2023 EDM Council, Inc.",Entity,"Copyright (c) 2017-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
"Copyright (c) 2017-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2017-2023 Object Management Group, Inc."
FIBO FND Accounting Module,Entity,FIBO FND Accounting Module
,Entity,
