source_id,target_id,relationship
,,owl#imports
,MIT,license
AgentsAndPeopleModule,agents and people module,rdf-schema#label
AgentsAndPeopleModule,Financial Industry Business Ontology (FIBO) Foundations (FND) Agents and People Module,title
AgentsAndPeopleModule,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
AgentsAndPeopleModule,"This module contains ontologies of concepts relating to types of autonomous entity, that is things in the world which are able to determine their own behavior. Includes ontologies for people and for autononomous entities in general.",abstract
,2018-08-27T18:00:00,issued
AgentsAndPeopleModule,FIBO FND Agents and People Module,title
,Metadata for the EDMC-FIBO Foundations (FND) Agents and People Module,rdf-schema#label
,,owl#versionIRI
AgentsAndPeopleModule,owl#NamedIndividual,22-rdf-syntax-ns#type
AgentsAndPeopleModule,,hasPart
,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
,owl#Ontology,22-rdf-syntax-ns#type
AgentsAndPeopleModule,Module,22-rdf-syntax-ns#type
,2023-01-20T18:00:00,modified
AgentsAndPeopleModule,MIT,license
,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
AgentsAndPeopleModule,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
AgentsAndPeopleModule,,rdf-schema#seeAlso
,This is the metadata ontology used to describe the Foundations Agents and People Module.,abstract
