id,type,name
owl#Ontology,Entity,owl#Ontology
agents and people module,Entity,agents and people module
Module,Entity,Module
"This module contains ontologies of concepts relating to types of autonomous entity, that is things in the world which are able to determine their own behavior. Includes ontologies for people and for autononomous entities in general.",Entity,"This module contains ontologies of concepts relating to types of autonomous entity, that is things in the world which are able to determine their own behavior. Includes ontologies for people and for autononomous entities in general."
2023-01-20T18:00:00,Entity,2023-01-20T18:00:00
FIBO FND Agents and People Module,Entity,FIBO FND Agents and People Module
Metadata for the EDMC-FIBO Foundations (FND) Agents and People Module,Entity,Metadata for the EDMC-FIBO Foundations (FND) Agents and People Module
MIT,Entity,MIT
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
"Copyright (c) 2017-2023 EDM Council, Inc.",Entity,"Copyright (c) 2017-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
"Copyright (c) 2017-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2017-2023 Object Management Group, Inc."
Financial Industry Business Ontology (FIBO) Foundations (FND) Agents and People Module,Entity,Financial Industry Business Ontology (FIBO) Foundations (FND) Agents and People Module
,Entity,
This is the metadata ontology used to describe the Foundations Agents and People Module.,Entity,This is the metadata ontology used to describe the Foundations Agents and People Module.
AgentsAndPeopleModule,Entity,AgentsAndPeopleModule
