id,type,name
agreements module,Entity,agreements module
Financial Industry Business Ontology (FIBO) Foundations (FND) Agreements Module,Entity,Financial Industry Business Ontology (FIBO) Foundations (FND) Agreements Module
This is the metadata ontology used to describe the Foundations Agreements Module.,Entity,This is the metadata ontology used to describe the Foundations Agreements Module.
owl#Ontology,Entity,owl#Ontology
Metadata for the EDMC-FIBO Foundations (FND) Agreements Module,Entity,Metadata for the EDMC-FIBO Foundations (FND) Agreements Module
Module,Entity,Module
2023-01-20T18:00:00,Entity,2023-01-20T18:00:00
FIBO FND Agreements Module,Entity,FIBO FND Agreements Module
"This module includes ontologies describing agreements between parties and contracts that formalize those agreements. These cover written and verbal contracts, including contracts which may be transferred from one party to another. The latter form the basis for financial securities contracts. The Contracts ontology also describes fundamental properties of contracts such as contractual terms, contract parties and so on, many of which form the basis for more specialized financial industry concepts such as interest payment terms, bond issuers and so on.",Entity,"This module includes ontologies describing agreements between parties and contracts that formalize those agreements. These cover written and verbal contracts, including contracts which may be transferred from one party to another. The latter form the basis for financial securities contracts. The Contracts ontology also describes fundamental properties of contracts such as contractual terms, contract parties and so on, many of which form the basis for more specialized financial industry concepts such as interest payment terms, bond issuers and so on."
MIT,Entity,MIT
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
AgreementsModule,Entity,AgreementsModule
"Copyright (c) 2017-2023 EDM Council, Inc.",Entity,"Copyright (c) 2017-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
"Copyright (c) 2017-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2017-2023 Object Management Group, Inc."
,Entity,
