source_id,target_id,relationship
,This is the metadata ontology used to describe the Foundations Arrangements Module.,abstract
,2021-03-29T18:00:00,issued
ArrangementsModule,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
ArrangementsModule,,rdf-schema#seeAlso
,,owl#imports
ArrangementsModule,MIT,license
,MIT,license
ArrangementsModule,arrangements module,rdf-schema#label
,,owl#versionIRI
,Metadata for the EDMC-FIBO Foundations (FND) Arrangements Module,rdf-schema#label
,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
,owl#Ontology,22-rdf-syntax-ns#type
ArrangementsModule,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
,2023-03-31T18:00:00,modified
ArrangementsModule,"This module contains ontologies that define abstract concepts, structures and schemata, such as identifiers and identification schemes, indices and indexing schemes, codes and coding schemes, and classification strategies.",abstract
ArrangementsModule,,hasPart
ArrangementsModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
ArrangementsModule,Module,22-rdf-syntax-ns#type
ArrangementsModule,FIBO FND Arrangements Module,title
ArrangementsModule,Financial Industry Business Ontology (FIBO) Foundations (FND) Arrangements Module,title
